"Schlauch  Hose  DN";"DN  Bore  in.";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"14,0 ";"26,5 ";"PF-R7-DN 05 ";"5,95 ";"";"17 "
"06 ";"1/4'' ";"18,0 ";"34,5 ";"PF-R7-DN 06 ";"6,05 ";"";"18 "
"08 ";"5/16'' ";"19,0 ";"34,5 ";"PF-R7-DN 08 ";"6,8 ";"";"19 "
"10 ";"3/8'' ";"22,0 ";"35,0 ";"PF-R7-DN 10 ";"6,8 ";"";"20 "
"12 ";"1/2'' ";"25,0 ";"37,0 ";"PF-R7-DN 12 ";"7,5 ";"";"21 "
"16 ";"5/8'' ";"30,0 ";"40,0 ";"PF-R7-DN 16 ";"11,35 ";"";"22 "
"19 ";"3/4'' ";"33,0 ";"45,0 ";"PF-R7-DN 19 ";"15 ";"";"23 "
"25 ";"1'' ";"40,0 ";"50,0 ";"PF-R7-DN 25 ";"21 ";"";"24 "
