"Baugrˆﬂe  Size  DN";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"10,0 ";"35 ";"46,5 ";"SS-HSKS-10 ";"20 ";"";"10586 "
"12,5 ";"38 ";"51,0 ";"SS-HSKS-12,5 ";"22,7 ";"";"10587 "
"20,0 ";"50 ";"60,5 ";"SS-HSKS-20 ";"28,4 ";"";"10588 "
"25,0 ";"58 ";"67,0 ";"SS-HSKS-25 ";"32,65 ";"";"10589 "
"31,5 ";"74 ";"81,0 ";"SS-HSKS-31,5 ";"42,35 ";"";"10590 "
"38,0 ";"85 ";"100,0 ";"SS-HSKS-38 ";"74,8 ";"";"10591 "
