"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"800 ";"8 ";"6 ";"52,5 ";"18,0 ";"17 ";"17 ";"19 ";"GRV-S-08/06 ";"16,87 ";"S ";"2771 "
"800 ";"10 ";"6 ";"53,5 ";"17,5 ";"19 ";"17 ";"22 ";"GRV-S-10/06 ";"19,15 ";"S ";"2772 "
"800 ";"10 ";"8 ";"54,0 ";"17,5 ";"19 ";"19 ";"22 ";"GRV-S-10/08 ";"21,04 ";"S ";"2773 "
"630 ";"12 ";"6 ";"55,5 ";"19,5 ";"22 ";"17 ";"24 ";"GRV-S-12/06 ";"22,09 ";"S ";"2774 "
"630 ";"12 ";"8 ";"55,5 ";"19,5 ";"22 ";"19 ";"24 ";"GRV-S-12/08 ";"23,01 ";"S ";"2775 "
"630 ";"12 ";"10 ";"56,5 ";"19,0 ";"22 ";"22 ";"24 ";"GRV-S-12/10 ";"22,98 ";"S ";"2776 "
"630 ";"14 ";"6 ";"";"";"24 ";"17 ";"27 ";"GRV-S-14/06 ";"25,21 ";"S ";"2777 "
"630 ";"14 ";"8 ";"58,0 ";"20,5 ";"24 ";"19 ";"27 ";"GRV-S-14/08 ";"25,31 ";"S ";"2778 "
"630 ";"14 ";"10 ";"60,0 ";"20,5 ";"24 ";"22 ";"27 ";"GRV-S-14/10 ";"25,36 ";"S ";"2779 "
"630 ";"14 ";"12 ";"60,0 ";"20,5 ";"24 ";"24 ";"27 ";"GRV-S-14/12 ";"27,94 ";"S ";"2780 "
"630 ";"16 ";"6 ";"59,5 ";"20,0 ";"27 ";"17 ";"30 ";"GRV-S-16/06 ";"32,98 ";"S ";"2781 "
