"Druck  Pressure  PB";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"6 ";"M 10 x 1 ";"41 ";"26,5 ";"8 ";"17 ";"17 ";"14 ";"RZ-L-06-M 10x1-wd-SC ";"54,01 ";"L ";"7510 "
"250 ";"8 ";"M 12 x 1,5 ";"43 ";"28,5 ";"12 ";"19 ";"17 ";"17 ";"RZ-L-08-M 12x1,5-wd-SC ";"59,24 ";"L ";"7511 "
"250 ";"10 ";"M 14 x 1,5 ";"53 ";"38,5 ";"12 ";"24 ";"22 ";"19 ";"RZ-L-10-M 14x1,5-wd-SC ";"69,47 ";"L ";"7512 "
"250 ";"12 ";"M 16 x 1,5 ";"55 ";"40,5 ";"12 ";"30 ";"27 ";"22 ";"RZ-L-12-M 16x1,5-wd-SC ";"82,37 ";"L ";"7513 "
"250 ";"15 ";"M 18 x 1,5 ";"58 ";"42,5 ";"12 ";"30 ";"27 ";"27 ";"RZ-L-15-M 18x1,5-wd-SC ";"93,11 ";"L ";"7514 "
"160 ";"18 ";"M 22 x 1,5 ";"64 ";"48,0 ";"14 ";"36 ";"36 ";"32 ";"RZ-L-18-M 22x1,5-wd-SC ";"121,8 ";"L ";"7515 "
"160 ";"22 ";"M 26 x 1,5 ";"72 ";"56,0 ";"16 ";"46 ";"41 ";"36 ";"RZ-L-22-M 26x1,5-wd-SC ";"173,56 ";"L ";"7516 "
"100 ";"28 ";"M 33 x 2 ";"81 ";"64,0 ";"18 ";"55 ";"50 ";"41 ";"RZ-L-28-M 33x2-wd-SC ";"234,64 ";"L ";"7517 "
"100 ";"35 ";"M 42 x 2 ";"92 ";"70,0 ";"20 ";"60 ";"60 ";"50 ";"RZ-L-35-M 42x2-wd-SC ";"338,62 ";"L ";"7518 "
"100 ";"42 ";"M 48 x 2 ";"104 ";"71,5 ";"22 ";"70 ";"65 ";"60 ";"RZ-L-42-M 48x2-wd-SC ";"477,27 ";"L ";"7519 "
"630 ";"6 ";"M 12 x 1,5 ";"46 ";"31,5 ";"12 ";"19 ";"19 ";"17 ";"RZ-S-06-M 12x1,5-wd-SC ";"59,24 ";"S ";"7520 "
"630 ";"8 ";"M 14 x 1,5 ";"46 ";"31,5 ";"12 ";"22 ";"19 ";"19 ";"RZ-S-08-M 14x1,5-wd-SC ";"61,8 ";"S ";"7521 "
"630 ";"10 ";"M 16 x 1,5 ";"54 ";"38,0 ";"12 ";"27 ";"24 ";"22 ";"RZ-S-10-M 16x1,5-wd-SC ";"72,14 ";"S ";"7522 "
"630 ";"12 ";"M 18 x 1,5 ";"57 ";"41,0 ";"12 ";"30 ";"27 ";"24 ";"RZ-S-12-M 18x1,5-wd-SC ";"77,53 ";"S ";"7523 "
"630 ";"14 ";"M 20 x 1,5 ";"61 ";"43,5 ";"14 ";"32 ";"27 ";"27 ";"RZ-S-14-M 20x1,5-wd-SC ";"88,48 ";"S ";"7524 "
"400 ";"16 ";"M 22 x 1,5 ";"64 ";"46,0 ";"14 ";"36 ";"32 ";"30 ";"RZ-S-16-M 22x1,5-wd-SC ";"106,38 ";"S ";"7525 "
"400 ";"20 ";"M 27 x 2 ";"72 ";"50,0 ";"16 ";"46 ";"41 ";"36 ";"RZ-S-20-M 27x2-wd-SC ";"168,05 ";"S ";"7526 "
"400 ";"25 ";"M 33 x 2 ";"79 ";"54,5 ";"18 ";"50 ";"46 ";"46 ";"RZ-S-25-M 33x2-wd-SC ";"215,19 ";"S ";"7527 "
"250 ";"30 ";"M 42 x 2 ";"91 ";"64,0 ";"20 ";"60 ";"55 ";"50 ";"RZ-S-30-M 42x2-wd-SC ";"310,94 ";"S ";"7528 "
"250 ";"38 ";"M 48 x 2 ";"102 ";"71,5 ";"22 ";"70 ";"65 ";"60 ";"RZ-S-38-M 48x2-wd-SC ";"419,79 ";"S ";"7529 "
