"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"1/8'' NPT ";"19,0 ";"26,0 ";"11,6 ";"14 ";"GAI-L-06-1/8''-NPT-OMD ";"14,4 ";"L ";"6611 "
"315 ";"6 ";"1/4'' NPT ";"23,5 ";"31,0 ";"16,4 ";"19 ";"GAI-L-06-1/4''-NPT-OMD ";"14,4 ";"L ";"6612 "
"315 ";"6 ";"3/8'' NPT ";"";"";"17,4 ";"24 ";"GAI-L-06-3/8''-NPT-OMD ";"";"L ";"6613 "
"315 ";"8 ";"1/4'' NPT ";"23,5 ";"31,0 ";"16,4 ";"19 ";"GAI-L-08-1/4''-NPT-OMD ";"14,6 ";"L ";"6614 "
"315 ";"8 ";"3/8'' NPT ";"25,0 ";"32,0 ";"17,4 ";"24 ";"GAI-L-08-3/8''-NPT-OMD ";"27,1 ";"L ";"6615 "
"315 ";"10 ";"1/4'' NPT ";"24,0 ";"32,0 ";"16,4 ";"19 ";"GAI-L-10-1/4''-NPT-OMD ";"14,6 ";"L ";"6616 "
"315 ";"10 ";"3/8'' NPT ";"26,0 ";"33,0 ";"17,4 ";"24 ";"GAI-L-10-3/8''-NPT-OMD ";"18,53 ";"L ";"6617 "
"315 ";"10 ";"1/2'' NPT ";"";"";"22,6 ";"27 ";"GAI-L-10-1/2''-NPT-OMD ";"18,75 ";"L ";"6618 "
"315 ";"12 ";"1/4'' NPT ";"25,0 ";"32,0 ";"16,4 ";"19 ";"GAI-L-12-1/4''-NPT-OMD ";"14,6 ";"L ";"6619 "
"315 ";"12 ";"3/8'' NPT ";"27,0 ";"32,0 ";"17,4 ";"24 ";"GAI-L-12-3/8''-NPT-OMD ";"18 ";"L ";"6620 "
"315 ";"12 ";"1/2'' NPT ";"32,0 ";"39,0 ";"22,6 ";"27 ";"GAI-L-12-1/2''-NPT-OMD ";"19,12 ";"L ";"6621 "
"315 ";"15 ";"3/8'' NPT ";"26,0 ";"33,0 ";"17,4 ";"24 ";"GAI-L-15-3/8''-NPT-OMD ";"";"L ";"6622 "
"315 ";"15 ";"1/2'' NPT ";"31,0 ";"38,0 ";"22,6 ";"27 ";"GAI-L-15-1/2''-NPT-OMD ";"24,75 ";"L ";"6623 "
"315 ";"18 ";"1/2'' NPT ";"32,5 ";"40,0 ";"22,6 ";"27 ";"GAI-L-18-1/2''-NPT-OMD ";"26,6 ";"L ";"6624 "
"160 ";"22 ";"3/4'' NPT ";"35,5 ";"43,0 ";"23,1 ";"36 ";"GAI-L-22-3/4''-NPT-OMD ";"52,2 ";"L ";"6625 "
"160 ";"28 ";"1'' NPT ";"40,5 ";"48,0 ";"27,8 ";"41 ";"GAI-L-28-1''-NPT-OMD ";"73,65 ";"L ";"6626 "
"160 ";"35 ";"1 1/4'' NPT ";"40,5 ";"51,0 ";"28,3 ";"55 ";"GAI-L-35-1 1/4''-NPT-OMD ";"99,95 ";"L ";"6627 "
"160 ";"42 ";"1 1/2'' NPT ";"42,0 ";"53,0 ";"28,3 ";"55 ";"GAI-L-42-1 1/2''-NPT-OMD ";"113,4 ";"L ";"6628 "
"630 ";"6 ";"1/4'' NPT ";"26,0 ";"33,0 ";"16,4 ";"19 ";"GAI-S-06-1/4''-NPT-OMD ";"16,25 ";"S ";"6629 "
"630 ";"8 ";"1/4'' NPT ";"26,0 ";"32,0 ";"16,4 ";"19 ";"GAI-S-08-1/4''-NPT-OMD ";"16,5 ";"S ";"6630 "
"630 ";"10 ";"3/8'' NPT ";"27,0 ";"34,5 ";"17,4 ";"24 ";"GAI-S-10-3/8''-NPT-OMD ";"18 ";"S ";"6631 "
"630 ";"12 ";"3/8'' NPT ";"27,5 ";"35,0 ";"17,4 ";"24 ";"GAI-S-12-3/8''-NPT-OMD ";"18,9 ";"S ";"6632 "
"630 ";"12 ";"1/2'' NPT ";"33,5 ";"40,0 ";"22,6 ";"27 ";"GAI-S-12-1/2''-NPT-OMD ";"26,6 ";"S ";"6633 "
"630 ";"14 ";"1/2'' NPT ";"35,0 ";"41,0 ";"22,6 ";"27 ";"GAI-S-14-1/2''-NPT-OMD ";"29,31 ";"S ";"6634 "
"400 ";"16 ";"3/8'' NPT ";"27,5 ";"35,0 ";"17,4 ";"27 ";"GAI-S-16-3/8''-NPT-OMD ";"26,6 ";"S ";"6635 "
"400 ";"16 ";"1/2'' NPT ";"34,5 ";"43,0 ";"22,6 ";"27 ";"GAI-S-16-1/2''-NPT-OMD ";"26,6 ";"S ";"6636 "
"400 ";"20 ";"3/4'' NPT ";"35,5 ";"45,0 ";"23,1 ";"36 ";"GAI-S-20-3/4''-NPT-OMD ";"57,9 ";"S ";"6637 "
"400 ";"25 ";"1'' NPT ";"41,0 ";"53,0 ";"27,8 ";"41 ";"GAI-S-25-1''-NPT-OMD ";"79,9 ";"S ";"6638 "
"400 ";"30 ";"1 1/4'' NPT ";"43,5 ";"57,0 ";"28,3 ";"55 ";"GAI-S-30-1 1/4''-NPT-OMD ";"123,56 ";"S ";"6639 "
"315 ";"38 ";"1 1/2'' NPT ";"43,0 ";"59,0 ";"28,3 ";"60 ";"GAI-S-38-1 1/2''-NPT-OMD ";"127,09 ";"S ";"6640 "
