"Druck  Pressure  PN";"Gewinde  Thread  G = BSPT";"Gewinde  Thread  G1 = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"1/8''-28 ";"23,0 ";"8 ";"4,0 ";"12 ";"14 ";"2070511-02-02 ";"15,8 ";"";"1618 "
"400 ";"1/4''-19 ";"1/4''-19 ";"28,0 ";"12 ";"5,0 ";"14 ";"19 ";"2070511-04-04 ";"15,8 ";"";"1619 "
"400 ";"3/8''-19 ";"3/8''-19 ";"30,6 ";"12 ";"8,0 ";"19 ";"22 ";"2070511-06-06 ";"18,3 ";"";"1620 "
"400 ";"1/2''-14 ";"1/2''-14 ";"37,0 ";"14 ";"9,5 ";"24 ";"27 ";"2070511-08-08 ";"22,55 ";"";"1621 "
"400 ";"3/4''-14 ";"3/4''-14 ";"39,0 ";"16 ";"16,5 ";"27 ";"32 ";"2070511-12-12 ";"26,9 ";"";"1622 "
"400 ";"1''-11 ";"1''-11 ";"44,3 ";"18 ";"22,5 ";"36 ";"41 ";"2070511-16-16 ";"35,3 ";"";"1623 "
"200 ";"1 1/4''-11 ";"1 1/4''-11 ";"51,9 ";"20 ";"29,0 ";"46 ";"50 ";"2070511-20-20 ";"70,55 ";"";"1624 "
"200 ";"1 1/2''-11 ";"1 1/2''-11 ";"54,6 ";"22 ";"33,5 ";"50 ";"55 ";"2070511-24-24 ";"95,95 ";"";"1625 "
"100 ";"2''-11 ";"2''-11 ";"69,0 ";"26 ";"42,0 ";"65 ";"70 ";"2070511-32-32 ";"130,55 ";"";"1626 "
