"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"800 ";"8 ";"6 ";"18,0 ";"32,0 ";"17,0 ";"GRV-S-08/06-OMD ";"10,88 ";"S ";"2853 "
"800 ";"10 ";"6 ";"17,5 ";"32,0 ";"19,0 ";"GRV-S-10/06-OMD ";"12,42 ";"S ";"2854 "
"800 ";"10 ";"8 ";"17,5 ";"32,0 ";"19,0 ";"GRV-S-10/08-OMD ";"13,9 ";"S ";"2855 "
"630 ";"12 ";"6 ";"19,5 ";"34,0 ";"22,0 ";"GRV-S-12/06-OMD ";"14,85 ";"S ";"2856 "
"630 ";"12 ";"8 ";"19,5 ";"34,0 ";"22,0 ";"GRV-S-12/08-OMD ";"15,36 ";"S ";"2857 "
"630 ";"12 ";"10 ";"19,0 ";"34,0 ";"22,0 ";"GRV-S-12/10-OMD ";"14,59 ";"S ";"2858 "
"630 ";"14 ";"6 ";"";"";"24,0 ";"GRV-S-14/06-OMD ";"16,92 ";"S ";"2859 "
"630 ";"14 ";"8 ";"20,5 ";"35,0 ";"24,0 ";"GRV-S-14/08-OMD ";"16,61 ";"S ";"2860 "
"630 ";"14 ";"10 ";"20,5 ";"36,0 ";"24,0 ";"GRV-S-14/10-OMD ";"15,92 ";"S ";"2861 "
"630 ";"14 ";"12 ";"20,5 ";"36,0 ";"24,0 ";"GRV-S-14/12-OMD ";"17,99 ";"S ";"2862 "
"630 ";"16 ";"6 ";"20,0 ";"36,0 ";"27,0 ";"GRV-S-16/06-OMD ";"21,98 ";"S ";"2863 "
"630 ";"16 ";"8 ";"20,0 ";"36,0 ";"27,0 ";"GRV-S-16/08-OMD ";"21,67 ";"S ";"2864 "
"630 ";"16 ";"10 ";"20,0 ";"36,0 ";"27,0 ";"GRV-S-16/10-OMD ";"20,45 ";"S ";"2865 "
"630 ";"16 ";"12 ";"20,0 ";"36,0 ";"27,0 ";"GRV-S-16/12-OMD ";"20,42 ";"S ";"2866 "
"630 ";"16 ";"14 ";"21,5 ";"38,0 ";"27,0 ";"GRV-S-16/14-OMD ";"24,13 ";"S ";"2867 "
"420 ";"20 ";"6 ";"23,5 ";"40,0 ";"32,0 ";"GRV-S-20/06-OMD ";"30,35 ";"S ";"2868 "
"420 ";"20 ";"8 ";"21,0 ";"40,0 ";"32,0 ";"GRV-S-20/08-OMD ";"29,94 ";"S ";"2869 "
"420 ";"20 ";"10 ";"22,0 ";"40,0 ";"32,0 ";"GRV-S-20/10-OMD ";"29,25 ";"S ";"2870 "
"420 ";"20 ";"12 ";"22,0 ";"40,0 ";"32,0 ";"GRV-S-20/12-OMD ";"31,06 ";"S ";"2871 "
"420 ";"20 ";"14 ";"23,0 ";"42,0 ";"32,0 ";"GRV-S-20/14-OMD ";"33,95 ";"S ";"2872 "
"420 ";"20 ";"16 ";"23,0 ";"42,0 ";"32,0 ";"GRV-S-20/16-OMD ";"33,36 ";"S ";"2873 "
"420 ";"25 ";"6 ";"";"";"41,0 ";"GRV-S-25/06-OMD ";"";"S ";"2874 "
"420 ";"25 ";"8 ";"26,5 ";"44,0 ";"41,0 ";"GRV-S-25/08-OMD ";"59,89 ";"S ";"2875 "
"420 ";"25 ";"10 ";"27,5 ";"44,0 ";"41,0 ";"GRV-S-25/10-OMD ";"59,15 ";"S ";"2876 "
"420 ";"25 ";"12 ";"24,0 ";"44,0 ";"41,0 ";"GRV-S-25/12-OMD ";"58,64 ";"S ";"2877 "
"420 ";"25 ";"14 ";"26,5 ";"46,5 ";"41,0 ";"GRV-S-25/14-OMD ";"57,69 ";"S ";"2878 "
"420 ";"25 ";"16 ";"25,5 ";"44,0 ";"41,0 ";"GRV-S-25/16-OMD ";"54,98 ";"S ";"2879 "
"420 ";"25 ";"20 ";"25,5 ";"48,0 ";"41,0 ";"GRV-S-25/20-OMD ";"57,72 ";"S ";"2880 "
"420 ";"30 ";"10 ";"25,0 ";"46,0 ";"46,0 ";"GRV-S-30/10-OMD ";"86,64 ";"S ";"2881 "
"420 ";"30 ";"12 ";"27,0 ";"46,0 ";"46,0 ";"GRV-S-30/12-OMD ";"86,13 ";"S ";"2882 "
"420 ";"30 ";"14 ";"";"";"46,0 ";"GRV-S-30/14-OMD ";"85,08 ";"S ";"2883 "
"420 ";"30 ";"16 ";"26,0 ";"48,0 ";"46,0 ";"GRV-S-30/16-OMD ";"82,88 ";"S ";"2884 "
"420 ";"30 ";"20 ";"26,0 ";"50,0 ";"46,0 ";"GRV-S-30/20-OMD ";"81,02 ";"S ";"2885 "
"420 ";"30 ";"25 ";"26,5 ";"52,0 ";"46,0 ";"GRV-S-30/25-OMD ";"78,1 ";"S ";"2886 "
"420 ";"38 ";"10 ";"24,5 ";"48,0 ";"55,0 ";"GRV-S-38/10-OMD ";"110,99 ";"S ";"2887 "
"420 ";"38 ";"12 ";"";"48,0 ";"55,0 ";"GRV-S-38/12-OMD ";"110,48 ";"S ";"2888 "
"420 ";"38 ";"14 ";"";"";"55,0 ";"GRV-S-38/14-OMD ";"109,43 ";"S ";"2889 "
"420 ";"38 ";"16 ";"26,0 ";"51,0 ";"55,0 ";"GRV-S-38/16-OMD ";"107,75 ";"S ";"2890 "
"420 ";"38 ";"20 ";"28,0 ";"55,0 ";"55,0 ";"GRV-S-38/20-OMD ";"105,89 ";"S ";"2891 "
