"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 keg ";"12,0 ";"20 ";"19,0 ";"12 ";"12 ";"LE-L-06-M 10x1-k-OMD ";"21,97 ";"L ";"5815 "
"315 ";"8 ";"M 12 x 1,5 keg ";"14,0 ";"26 ";"21,0 ";"12 ";"14 ";"LE-L-08-M 12x1,5-k-OMD ";"23,08 ";"L ";"5816 "
"315 ";"10 ";"M 14 x 1,5 keg ";"15,0 ";"27 ";"22,0 ";"12 ";"17 ";"LE-L-10-M 14x1,5-k-OMD ";"24,98 ";"L ";"5817 "
"315 ";"12 ";"M 16 x 1,5 keg ";"17,0 ";"28 ";"24,0 ";"12 ";"17 ";"LE-L-12-M 16x1,5-k-OMD ";"29,26 ";"L ";"5818 "
"315 ";"15 ";"M 18 x 1,5 keg ";"21,0 ";"32 ";"28,0 ";"14 ";"19 ";"LE-L-15-M 18x1,5-k-OMD ";"40,49 ";"L ";"5819 "
"315 ";"18 ";"M 22 x 1,5 keg ";"23,0 ";"36 ";"";"14 ";"24 ";"LE-L-18-M 22x1,5-k-OMD ";"64,57 ";"L ";"5820 "
"100 ";"4 ";"M 6 x 1 keg ";"11,0 ";"17 ";"";"8 ";"9 ";"LE-LL-04-M 6x1-k-OMD ";"";"LL ";"5808 "
"100 ";"4 ";"M 8 x 1 keg ";"11,0 ";"17 ";"";"8 ";"9 ";"LE-LL-04-M 8x1-k-OMD ";"";"LL ";"5809 "
"100 ";"6 ";"M 6 x 1 keg ";"";"";"";"8 ";"9 ";"LE-LL-06-M 6x1-k-OMD ";"";"LL ";"5810 "
"100 ";"6 ";"M 8 x 1 keg ";"";"";"";"8 ";"9 ";"LE-LL-06-M 8x1-k-OMD ";"";"LL ";"5811 "
"100 ";"6 ";"M 10 x 1 keg ";"9,5 ";"17 ";"15,0 ";"8 ";"8 ";"LE-LL-06-M 10x1-k-OMD ";"";"LL ";"5812 "
"100 ";"8 ";"M 8 x 1 keg ";"";"";"";"8 ";"12 ";"LE-LL-08-M 8x1-k-OMD ";"";"LL ";"5813 "
"100 ";"8 ";"M 10 x 1 keg ";"11,5 ";"20 ";"17,0 ";"8 ";"12 ";"LE-LL-08-M 10x1-k-OMD ";"";"LL ";"5814 "
"630 ** ";"6 ";"M 12 x 1,5 keg ";"16,0 ";"26 ";"23,0 ";"12 ";"12 ";"LE-S-06-M 12x1,5-k-OMD ";"22,62 ";"S ";"5821 "
"630 ** ";"8 ";"M 14 x 1,5 keg ";"17,0 ";"27 ";"24,0 ";"12 ";"14 ";"LE-S-08-M 14x1,5-k-OMD ";"24,79 ";"S ";"5822 "
"630 ** ";"10 ";"M 16 x 1,5 keg ";"17,5 ";"28 ";"25,0 ";"12 ";"17 ";"LE-S-10-M 16x1,5-k-OMD ";"29,06 ";"S ";"5823 "
"630 ** ";"12 ";"M 18 x 1,5 keg ";"21,5 ";"28 ";"";"12 ";"17 ";"LE-S-12-M 18x1,5-k-OMD ";"32,92 ";"S ";"5824 "
"630 ** ";"14 ";"M 20 x 1,5 keg ";"22,0 ";"34 ";"30,0 ";"14 ";"19 ";"LE-S-14-M 20x1,5-k-OMD ";"40,59 ";"S ";"5825 "
"400 ** ";"16 ";"M 22 x 1,5 keg ";"24,5 ";"32 ";"";"14 ";"24 ";"LE-S-16-M 22x1,5-k-OMD ";"62,83 ";"S ";"5826 "
