"Schlauch  Hose  DN";"DN  Bore  in.";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"6 ";"25,0 ";"4,0 ";"20,0 ";"PL-BEL-06-DN 06 ";"17,25 ";"";"1054 "
"06 ";"1/4'' ";"8 ";"27,0 ";"4,0 ";"22,0 ";"PL-BEL-08-DN 06 ";"16,25 ";"";"1055 "
"10 ";"3/8'' ";"10 ";"30,0 ";"7,0 ";"25,0 ";"PL-BEL-10-DN 10 ";"17,5 ";"";"1056 "
"10 ";"3/8'' ";"12 ";"30,0 ";"7,0 ";"25,0 ";"PL-BEL-12-DN 10 ";"17,5 ";"";"1057 "
"12 ";"1/2'' ";"15 ";"32,0 ";"10,0 ";"25,0 ";"PL-BEL-15-DN 12 ";"22,25 ";"";"1058 "
"16 ";"5/8'' ";"18 ";"33,0 ";"13,5 ";"27,0 ";"PL-BEL-18-DN 16 ";"23,75 ";"";"1059 "
"19 ";"3/4'' ";"22 ";"33,0 ";"15,0 ";"27,0 ";"PL-BEL-22-DN 19 ";"29,5 ";"";"1060 "
"25 ";"1'' ";"28 ";"";"";"30,0 ";"PL-BEL-28-DN 25 ";"39,75 ";"";"1061 "
