"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"M 12 x 1,5 ";"13,0 ";"32,0 ";"12 ";"17 ";"GE-S-06-M 12x1,5-OMD ";"6,92 ";"S ";"4177 "
"630 ";"6 ";"M 14 x 1,5 ";"13,0 ";"32,0 ";"12 ";"19 ";"GE-S-06-M 14x1,5-OMD ";"7,82 ";"S ";"4178 "
"630 ";"8 ";"M 12 x 1,5 ";"15,0 ";"34,0 ";"12 ";"17 ";"GE-S-08-M 12x1,5-OMD ";"13,3 ";"S ";"4179 "
"630 ";"8 ";"M 14 x 1,5 ";"15,0 ";"34,0 ";"12 ";"19 ";"GE-S-08-M 14x1,5-OMD ";"8,02 ";"S ";"4180 "
"630 ";"8 ";"M 16 x 1,5 ";"15,5 ";"34,5 ";"12 ";"22 ";"GE-S-08-M 16x1,5-OMD ";"13,3 ";"S ";"4181 "
"630 ";"10 ";"M 14 x 1,5 ";"14,5 ";"33,5 ";"12 ";"19 ";"GE-S-10-M 14x1,5-OMD ";"13,3 ";"S ";"4182 "
"630 ";"10 ";"M 16 x 1,5 ";"15,0 ";"34,5 ";"12 ";"22 ";"GE-S-10-M 16x1,5-OMD ";"8,41 ";"S ";"4183 "
"630 ";"10 ";"M 18 x 1,5 ";"15,0 ";"34,5 ";"12 ";"24 ";"GE-S-10-M 18x1,5-OMD ";"9,84 ";"S ";"4184 "
"630 ";"12 ";"M 12 x 1,5 ";"16,5 ";"36,0 ";"12 ";"22 ";"GE-S-12-M 12x1,5-OMD ";"12,05 ";"S ";"4185 "
"630 ";"12 ";"M 14 x 1,5 ";"16,0 ";"35,5 ";"12 ";"22 ";"GE-S-12-M 14x1,5-OMD ";"11,05 ";"S ";"4186 "
"630 ";"12 ";"M 16 x 1,5 ";"17,0 ";"36,5 ";"12 ";"22 ";"GE-S-12-M 16x1,5-OMD ";"11,05 ";"S ";"4187 "
"630 ";"12 ";"M 18 x 1,5 ";"17,0 ";"36,5 ";"12 ";"24 ";"GE-S-12-M 18x1,5-OMD ";"8,84 ";"S ";"4188 "
"630 ";"12 ";"M 20 x 1,5 ";"17,5 ";"38,5 ";"14 ";"27 ";"GE-S-12-M 20x1,5-OMD ";"12,05 ";"S ";"4189 "
"400 ";"12 ";"M 22 x 1,5 ";"17,5 ";"39,0 ";"14 ";"27 ";"GE-S-12-M 22x1,5-OMD ";"12,05 ";"S ";"4190 "
"630 ";"14 ";"M 20 x 1,5 ";"19,0 ";"41,0 ";"14 ";"27 ";"GE-S-14-M 20x1,5-OMD ";"11,09 ";"S ";"4191 "
"400 ";"14 ";"M 22 x 1,5 ";"18,5 ";"40,5 ";"14 ";"27 ";"GE-S-14-M 22x1,5-OMD ";"21 ";"S ";"4192 "
"400 ";"16 ";"M 18 x 1,5 ";"18,0 ";"38,5 ";"12 ";"27 ";"GE-S-16-M 18x1,5-OMD ";"15,05 ";"S ";"4193 "
"400 ";"16 ";"M 22 x 1,5 ";"18,5 ";"41,0 ";"14 ";"27 ";"GE-S-16-M 22x1,5-OMD ";"12,75 ";"S ";"4194 "
"400 ";"20 ";"M 27 x 2 ";"20,5 ";"47,0 ";"16 ";"32 ";"GE-S-20-M 27x2-OMD ";"18,21 ";"S ";"4195 "
"400 ";"25 ";"M 33 x 2 ";"23,0 ";"53,0 ";"18 ";"41 ";"GE-S-25-M 33x2-OMD ";"30,85 ";"S ";"4196 "
"250 ";"30 ";"M 42 x 2 ";"23,5 ";"57,0 ";"20 ";"50 ";"GE-S-30-M 42x2-OMD ";"34,08 ";"S ";"4197 "
"250 ";"38 ";"M 48 x 2 ";"26,0 ";"64,0 ";"22 ";"55 ";"GE-S-38-M 48x2-OMD ";"42,84 ";"S ";"4198 "
