"Druck  Pressure  PB";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"6 ";"1/8'' ";"47,0 ";"26,5 ";"16,5 ";"27 ";"14 ";"DGWE-L-06-G 1/8''-wd-SC ";"256,32 ";"L ";"9904 "
"250 ";"6 ";"1/4'' ";"47,5 ";"26,5 ";"16,5 ";"27 ";"14 ";"DGWE-L-06-G 1/4''-wd-SC ";"256,32 ";"L ";"9905 "
"250 ";"6 ";"3/8'' ";"47,5 ";"26,5 ";"16,5 ";"27 ";"14 ";"DGWE-L-06-G 3/8''-wd-SC ";"300,32 ";"L ";"9906 "
"250 ";"8 ";"1/4'' ";"47,5 ";"26,5 ";"16,5 ";"27 ";"17 ";"DGWE-L-08-G 1/4''-wd-SC ";"256,44 ";"L ";"9907 "
"250 ";"8 ";"3/8'' ";"47,5 ";"26,5 ";"16,5 ";"27 ";"17 ";"DGWE-L-08-G 3/8''-wd-SC ";"300,44 ";"L ";"9908 "
"250 ";"10 ";"1/4'' ";"47,5 ";"26,5 ";"17,5 ";"27 ";"19 ";"DGWE-L-10-G 1/4''-wd-SC ";"256,44 ";"L ";"9909 "
"250 ";"10 ";"3/8'' ";"47,5 ";"26,5 ";"17,5 ";"27 ";"19 ";"DGWE-L-10-G 3/8''-wd-SC ";"300,44 ";"L ";"9910 "
"250 ";"12 ";"1/4'' ";"47,5 ";"26,5 ";"17,5 ";"27 ";"22 ";"DGWE-L-12-G 1/4''-wd-SC ";"256,56 ";"L ";"9911 "
"250 ";"12 ";"3/8'' ";"47,5 ";"26,5 ";"17,5 ";"27 ";"22 ";"DGWE-L-12-G 3/8''-wd-SC ";"300,56 ";"L ";"9912 "
"250 ";"12 ";"1/2'' ";"58,5 ";"33,5 ";"23,0 ";"36 ";"22 ";"DGWE-L-12-G 1/2''-wd-SC ";"340,56 ";"L ";"9913 "
"250 ";"15 ";"1/2'' ";"58,5 ";"33,5 ";"24,0 ";"36 ";"27 ";"DGWE-L-15-G 1/2''-wd-SC ";"341,08 ";"L ";"9914 "
"160 ";"18 ";"1/2'' ";"58,5 ";"33,5 ";"23,5 ";"36 ";"32 ";"DGWE-L-18-G 1/2''-wd-SC ";"341,64 ";"L ";"9915 "
"160 ";"22 ";"3/4'' ";"66,0 ";"38,0 ";"27,5 ";"41 ";"36 ";"DGWE-L-22-G 3/4''-wd-SC ";"385,76 ";"L ";"9916 "
"100 ";"28 ";"1'' ";"72,0 ";"42,5 ";"29,5 ";"46 ";"41 ";"DGWE-L-28-G 1''-wd-SC ";"438 ";"L ";"9917 "
"100 ";"35 ";"1 1/4'' ";"92,5 ";"52,0 ";"39,5 ";"65 ";"50 ";"DGWE-L-35-G 1 1/4''-wd-SC ";"835 ";"L ";"9918 "
"100 ";"42 ";"1 1/2'' ";"102,0 ";"56,0 ";"42,0 ";"75 ";"60 ";"DGWE-L-42-G 1 1/2''-wd-SC ";"959 ";"L ";"9919 "
"400 ";"6 ";"1/4'' ";"47,5 ";"26,5 ";"18,5 ";"27 ";"17 ";"DGWE-S-06-G 1/4''-wd-SC ";"256,44 ";"S ";"9920 "
"400 ";"6 ";"3/8'' ";"47,5 ";"26,5 ";"18,5 ";"27 ";"17 ";"DGWE-S-06-G 3/8''-wd-SC ";"300,44 ";"S ";"9921 "
"400 ";"8 ";"1/4'' ";"47,5 ";"26,5 ";"18,5 ";"27 ";"19 ";"DGWE-S-08-G 1/4''-wd-SC ";"256,44 ";"S ";"9922 "
"400 ";"8 ";"3/8'' ";"47,5 ";"26,5 ";"18,5 ";"27 ";"19 ";"DGWE-S-08-G 3/8''-wd-SC ";"300,44 ";"S ";"9923 "
"400 ";"10 ";"1/4'' ";"47,5 ";"26,5 ";"18,0 ";"27 ";"22 ";"DGWE-S-10-G 1/4''-wd-SC ";"300,56 ";"S ";"9924 "
"400 ";"10 ";"3/8'' ";"47,5 ";"26,5 ";"18,0 ";"27 ";"22 ";"DGWE-S-10-G 3/8''-wd-SC ";"300,56 ";"S ";"9925 "
"400 ";"12 ";"3/8'' ";"47,5 ";"26,5 ";"18,0 ";"27 ";"24 ";"DGWE-S-12-G 3/8''-wd-SC ";"300,84 ";"S ";"9926 "
"400 ";"14 ";"1/2'' ";"58,5 ";"33,5 ";"25,0 ";"36 ";"27 ";"DGWE-S-14-G 1/2''-wd-SC ";"341,56 ";"S ";"9927 "
"400 ";"16 ";"1/2'' ";"58,5 ";"33,5 ";"24,5 ";"36 ";"30 ";"DGWE-S-16-G 1/2''-wd-SC ";"341,56 ";"S ";"9928 "
"250 ";"20 ";"3/4'' ";"66,0 ";"38,0 ";"26,5 ";"41 ";"36 ";"DGWE-S-20-G 3/4''-wd-SC ";"385,88 ";"S ";"9929 "
"250 ";"25 ";"1'' ";"72,0 ";"42,5 ";"29,0 ";"46 ";"46 ";"DGWE-S-25-G 1''-wd-SC ";"439 ";"S ";"9930 "
"250 ";"30 ";"1 1/4'' ";"92,5 ";"52,0 ";"38,5 ";"65 ";"50 ";"DGWE-S-30-G 1 1/4''-wd-SC ";"835 ";"S ";"9931 "
"250 ";"38 ";"1 1/2'' ";"102,0 ";"56,0 ";"43,5 ";"75 ";"60 ";"DGWE-S-38-G 1 1/2''-wd-SC ";"995 ";"S ";"9932 "
