"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"1/8'' NPT ";"27 ";"12,0 ";"20,0 ";"10,0 ";"12 ";"14 ";"LE-L-06-1/8''-NPT-SC ";"30,81 ";"L ";"5884 "
"315 ";"6 ";"1/4'' NPT ";"29 ";"14,0 ";"26,0 ";"15,0 ";"12 ";"14 ";"LE-L-06-1/4''-NPT-SC ";"31,27 ";"L ";"5885 "
"315 ";"8 ";"1/4'' NPT ";"29 ";"14,0 ";"26,0 ";"15,0 ";"12 ";"17 ";"LE-L-08-1/4''-NPT-SC ";"32,81 ";"L ";"5886 "
"315 ";"10 ";"1/4'' NPT ";"30 ";"15,0 ";"27,0 ";"15,0 ";"14 ";"19 ";"LE-L-10-1/4''-NPT-SC ";"36,16 ";"L ";"5887 "
"315 ";"10 ";"3/8'' NPT ";"30 ";"15,0 ";"28,0 ";"15,3 ";"14 ";"19 ";"LE-L-10-3/8''-NPT-SC ";"";"L ";"5888 "
"315 ";"10 ";"1/2'' NPT ";"";"";"";"20,0 ";"17 ";"19 ";"LE-L-10-1/2''-NPT-SC ";"";"L ";"5889 "
"315 ";"12 ";"1/4'' NPT ";"32 ";"17,0 ";"28,0 ";"15,0 ";"17 ";"22 ";"LE-L-12-1/4''-NPT-SC ";"45,55 ";"L ";"5890 "
"315 ";"12 ";"3/8'' NPT ";"32 ";"17,0 ";"28,0 ";"15,3 ";"17 ";"22 ";"LE-L-12-3/8''-NPT-SC ";"43,69 ";"L ";"5891 "
"315 ";"12 ";"1/2'' NPT ";"";"";"";"20,0 ";"17 ";"22 ";"LE-L-12-1/2''-NPT-SC ";"47,09 ";"L ";"5892 "
"315 ";"15 ";"3/8'' NPT ";"36 ";"21,0 ";"32,0 ";"15,3 ";"19 ";"27 ";"LE-L-15-3/8''-NPT-SC ";"";"L ";"5893 "
"315 ";"15 ";"1/2'' NPT ";"36 ";"21,0 ";"34,0 ";"20,0 ";"19 ";"27 ";"LE-L-15-1/2''-NPT-SC ";"60,7 ";"L ";"5894 "
"315 ";"18 ";"1/2'' NPT ";"40 ";"23,5 ";"36,0 ";"20,0 ";"24 ";"32 ";"LE-L-18-1/2''-NPT-SC ";"97,87 ";"L ";"5895 "
"160 ";"22 ";"3/4'' NPT ";"44 ";"27,5 ";"42,0 ";"20,0 ";"27 ";"36 ";"LE-L-22-3/4''-NPT-SC ";"103,22 ";"L ";"5896 "
"160 ";"28 ";"1'' NPT ";"47 ";"30,5 ";"48,0 ";"25,0 ";"36 ";"41 ";"LE-L-28-1''-NPT-SC ";"167,62 ";"L ";"5897 "
"160 ";"35 ";"1 1/4'' NPT ";"56 ";"34,5 ";"54,0 ";"25,5 ";"41 ";"50 ";"LE-L-35-1 1/4''-NPT-SC ";"318,31 ";"L ";"5898 "
"160 ";"42 ";"1 1/2'' NPT ";"63 ";"40,0 ";"61,0 ";"26,0 ";"50 ";"60 ";"LE-L-42-1 1/2''-NPT-SC ";"327,95 ";"L ";"5899 "
"630 ";"6 ";"1/4'' NPT ";"31 ";"16,0 ";"26,0 ";"15,0 ";"12 ";"17 ";"LE-S-06-1/4''-NPT-SC ";"33,76 ";"S ";"5900 "
"630 ";"8 ";"1/4'' NPT ";"32 ";"17,0 ";"27,0 ";"15,0 ";"14 ";"19 ";"LE-S-08-1/4''-NPT-SC ";"34,47 ";"S ";"5901 "
"630 ";"10 ";"1/4'' NPT ";"34 ";"17,5 ";"28,0 ";"15,0 ";"17 ";"22 ";"LE-S-10-1/4''-NPT-SC ";"";"S ";"5902 "
"630 ";"10 ";"3/8'' NPT ";"34 ";"17,5 ";"28,0 ";"15,3 ";"17 ";"22 ";"LE-S-10-3/8''-NPT-SC ";"42,1 ";"S ";"5903 "
"630 ";"10 ";"1/2'' NPT ";"";"";"";"20,0 ";"17 ";"22 ";"LE-S-10-1/2''-NPT-SC ";"";"S ";"5904 "
"630 ";"12 ";"1/4'' NPT ";"";"";"";"15,0 ";"17 ";"24 ";"LE-S-12-1/4''-NPT-SC ";"";"S ";"5905 "
"630 ";"12 ";"3/8'' NPT ";"38 ";"21,5 ";"28,0 ";"15,3 ";"17 ";"24 ";"LE-S-12-3/8''-NPT-SC ";"49,61 ";"S ";"5906 "
"630 ";"12 ";"1/2'' NPT ";"38 ";"21,5 ";"32,5 ";"20,0 ";"17 ";"24 ";"LE-S-12-1/2''-NPT-SC ";"60,48 ";"S ";"5907 "
