"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"12,0 ";"24 ";"19,0 ";"17 ";"18 ";"WHV-L-06-G 1/8''-WDS-OMD ";"85,43 ";"L ";"10851 "
"400 ";"8 ";"G 1/4'' ";"15,5 ";"30 ";"22,5 ";"19 ";"22 ";"WHV-L-08-G 1/4''-WDS-OMD ";"93,29 ";"L ";"10852 "
"350 ";"10 ";"G 1/4'' ";"15,5 ";"30 ";"22,5 ";"19 ";"22 ";"WHV-L-10-G 1/4''-WDS-OMD ";"100,4 ";"L ";"10853 "
"350 ";"10 ";"G 3/8'' ";"17,5 ";"35 ";"24,5 ";"24 ";"27 ";"WHV-L-10-G 3/8''-WDS-OMD ";"129,34 ";"L ";"10854 "
"350 ";"12 ";"G 1/4'' ";"15,5 ";"30 ";"22,5 ";"19 ";"22 ";"WHV-L-12-G 1/4''-WDS-OMD ";"127,79 ";"L ";"10855 "
"350 ";"12 ";"G 3/8'' ";"18,0 ";"36 ";"25,5 ";"24 ";"27 ";"WHV-L-12-G 3/8''-WDS-OMD ";"119,31 ";"L ";"10856 "
"315 ";"12 ";"G 1/2'' ";"21,5 ";"45 ";"28,5 ";"30 ";"32 ";"WHV-L-12-G 1/2''-WDS-OMD ";"147,27 ";"L ";"10857 "
"315 ";"15 ";"G 1/2'' ";"21,5 ";"45 ";"28,5 ";"30 ";"32 ";"WHV-L-15-G 1/2''-WDS-OMD ";"147,27 ";"L ";"10858 "
"315 ";"18 ";"G 1/2'' ";"21,0 ";"45 ";"28,5 ";"30 ";"32 ";"WHV-L-18-G 1/2''-WDS-OMD ";"179,58 ";"L ";"10859 "
"200 ";"22 ";"G 3/4'' ";"27,5 ";"53 ";"35,0 ";"36 ";"40 ";"WHV-L-22-G 3/4''-WDS-OMD ";"285,39 ";"L ";"10860 "
"200 ";"28 ";"G 1'' ";"32,0 ";"66 ";"39,5 ";"46 ";"50 ";"WHV-L-28-G 1''-WDS-OMD ";"415,26 ";"L ";"10861 "
"200 ";"35 ";"G 1 1/4'' ";"36,0 ";"76 ";"46,5 ";"55 ";"60 ";"WHV-L-35-G 1 1/4''-WDS-OMD ";"609,36 ";"L ";"10862 "
"200 ";"42 ";"G 1 1/2'' ";"40,5 ";"87 ";"51,0 ";"60 ";"70 ";"WHV-L-42-G 1 1/2''-WDS-OMD ";"864,16 ";"L ";"10863 "
"100 ";"4 ";"G 1/8'' ";"11,0 ";"24 ";"17,0 ";"17 ";"18 ";"WHV-LL-04-G 1/8''-WDS-OMD ";"85,85 ";"LL ";"10848 "
"100 ";"6 ";"G 1/8'' ";"11,5 ";"24 ";"17,0 ";"17 ";"18 ";"WHV-LL-06-G 1/8''-WDS-OMD ";"85,47 ";"LL ";"10849 "
"100 ";"8 ";"G 1/8'' ";"12,5 ";"24 ";"18,0 ";"17 ";"18 ";"WHV-LL-08-G 1/8''-WDS-OMD ";"86,7 ";"LL ";"10850 "
"500 ";"6 ";"G 1/4'' ";"16,5 ";"30 ";"22,5 ";"19 ";"22 ";"WHV-S-06-G 1/4''-WDS-OMD ";"95,85 ";"S ";"10864 "
"450 ";"8 ";"G 1/4'' ";"16,5 ";"30 ";"22,5 ";"19 ";"22 ";"WHV-S-08-G 1/4''-WDS-OMD ";"103,11 ";"S ";"10865 "
"400 ";"10 ";"G 1/4'' ";"16,5 ";"30 ";"23,5 ";"19 ";"22 ";"WHV-S-10-G 1/4''-WDS-OMD ";"126,24 ";"S ";"10866 "
"400 ";"10 ";"G 3/8'' ";"18,5 ";"36 ";"23,5 ";"24 ";"27 ";"WHV-S-10-G 3/8''-WDS-OMD ";"116,71 ";"S ";"10867 "
"400 ";"12 ";"G 3/8'' ";"18,5 ";"36 ";"25,5 ";"24 ";"27 ";"WHV-S-12-G 3/8''-WDS-OMD ";"128,98 ";"S ";"10868 "
"400 ";"14 ";"G 1/2'' ";"22,5 ";"45 ";"30,5 ";"30 ";"32 ";"WHV-S-14-G 1/2''-WDS-OMD ";"154,58 ";"S ";"10869 "
"400 ";"16 ";"G 1/2'' ";"22,0 ";"45 ";"30,5 ";"30 ";"32 ";"WHV-S-16-G 1/2''-WDS-OMD ";"185,11 ";"S ";"10870 "
"400 ";"20 ";"G 3/4'' ";"26,5 ";"53 ";"37,0 ";"36 ";"40 ";"WHV-S-20-G 3/4''-WDS-OMD ";"287,67 ";"S ";"10871 "
"250 ";"25 ";"G 1'' ";"31,5 ";"66 ";"43,5 ";"46 ";"50 ";"WHV-S-25-G 1''-WDS-OMD ";"439,62 ";"S ";"10872 "
"250 ";"30 ";"G 1 1/4'' ";"37,0 ";"76 ";"51,0 ";"55 ";"60 ";"WHV-S-30-G 1 1/4''-WDS-OMD ";"647,94 ";"S ";"10873 "
"250 ";"38 ";"G 1 1/2'' ";"841,5 ";"87 ";"57,0 ";"60 ";"70 ";"WHV-S-38-G 1 1/2''-WDS-OMD ";"913,47 ";"S ";"10874 "
