"Schlauch  Hose  DN";"DN  Bore  in.";"Flanschgrˆﬂe  Flange Dimensions  D";"Flanschgrˆﬂe  Flange Dimensions  in.";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"12 ";"1/2ì ";"30,2 ";"1/2'' ";"45,0 ";"54,0 ";"9,5 ";"SFL3-1/2''-90∞-DN 12 ";"40,2 ";"3.000 P.S.I. ";"850 "
"16 ";"5/8ì ";"30,2 ";"1/2'' ";"58,0 ";"58,0 ";"12,0 ";"SFL3-1/2''-90∞-DN 16 ";"85,5 ";"3.000 P.S.I. ";"851 "
"12 ";"1/2ì ";"38,1 ";"3/4'' ";"56,0 ";"60,0 ";"9,5 ";"SFL3-3/4''-90∞-DN 12 ";"56,55 ";"3.000 P.S.I. ";"852 "
"16 ";"5/8ì ";"38,1 ";"3/4'' ";"74,0 ";"61,0 ";"12,0 ";"SFL3-3/4''-90∞-DN 16 ";"66,65 ";"3.000 P.S.I. ";"853 "
"19 ";"3/4ì ";"38,1 ";"3/4'' ";"75,0 ";"68,0 ";"14,5 ";"SFL3-3/4''-90∞-DN 19 ";"66,65 ";"3.000 P.S.I. ";"854 "
"19 ";"3/4ì ";"44,5 ";"1'' ";"75,0 ";"73,0 ";"14,5 ";"SFL3-1''-90∞-DN 19 ";"93,1 ";"3.000 P.S.I. ";"855 "
"25 ";"1ì ";"44,5 ";"1'' ";"85,0 ";"77,0 ";"20,0 ";"SFL3-1''-90∞-DN 25 ";"93,1 ";"3.000 P.S.I. ";"856 "
"25 ";"1ì ";"50,8 ";"1 1/4'' ";"104,0 ";"89,0 ";"20,0 ";"SFL3-1 1/4''-90∞-DN 25 ";"122,9 ";"3.000 P.S.I. ";"857 "
"31 ";"1 1/4ì ";"50,8 ";"1 1/4'' ";"102,0 ";"92,0 ";"25,0 ";"SFL3-1 1/4''-90∞-DN 31 ";"122,9 ";"3.000 P.S.I. ";"858 "
"38 ";"1 1/2'' ";"50,8 ";"1 1/4'' ";"121,0 ";"101,0 ";"31,0 ";"SFL3-1 1/4''-90∞-DN 38 ";"498 ";"3.000 P.S.I. ";"11510 "
"31 ";"1 1/4ì ";"60,3 ";"1 1/2'' ";"124,0 ";"92,5 ";"25,0 ";"SFL3-1 1/2''-90∞-DN 31 ";"202 ";"3.000 P.S.I. ";"859 "
"38 ";"1 1/2ì ";"60,3 ";"1 1/2'' ";"118,0 ";"106,0 ";"31,0 ";"SFL3-1 1/2''-90∞-DN 38 ";"186,2 ";"3.000 P.S.I. ";"860 "
"38 ";"1 1/2ì ";"71,4 ";"2'' ";"120,0 ";"120,0 ";"31,0 ";"SFL3-2''-90∞-DN 38 ";"290,1 ";"3.000 P.S.I. ";"861 "
"51 ";"2ì ";"71,4 ";"2'' ";"146,0 ";"144,0 ";"42,0 ";"SFL3-2''-90∞-DN 51 ";"260,7 ";"3.000 P.S.I. ";"862 "
"60 ";"2 3/8ì ";"84,1 ";"2 1/2'' ";"";"";"";"SFL3-2 1/2''-90∞-DN 60 ";"389,5 ";"3.000 P.S.I. ";"863 "
"63 ";"2 1/2'' ";"84,1 ";"2 1/2'' ";"213,0 ";"183,0 ";"55,0 ";"SFL3-2 1/2''-90∞-DN 63 ";"1150 ";"3.000 P.S.I. ";"11511 "
"76 ";"3ì ";"101,5 ";"3'' ";"";"";"";"SFL3-3''-90∞-DN 76 ";"750 ";"3.000 P.S.I. ";"864 "
"80 ";"";"101,5 ";"3'' ";"";"";"";"SFL3-3''-90∞-DN 80 ";"1520 ";"3.000 P.S.I. ";"865 "
"12 ";"1/2ì ";"31,7 ";"1/2'' ";"44,0 ";"56,0 ";"9,5 ";"SFS6-1/2''-90∞-DN 12 ";"40,2 ";"6.000 P.S.I. ";"866 "
"16 ";"5/8ì ";"31,7 ";"1/2'' ";"59,0 ";"60,0 ";"12,0 ";"SFS6-1/2''-90∞-DN 16 ";"81 ";"6.000 P.S.I. ";"867 "
"12 ";"1/2ì ";"41,3 ";"3/4'' ";"55,5 ";"62,0 ";"9,5 ";"SFS6-3/4''-90∞-DN 12 ";"56,55 ";"6.000 P.S.I. ";"868 "
"16 ";"5/8ì ";"41,3 ";"3/4'' ";"56,0 ";"61,0 ";"12,0 ";"SFS6-3/4''-90∞-DN 16 ";"66,65 ";"6.000 P.S.I. ";"869 "
"19 ";"3/4ì ";"41,3 ";"3/4'' ";"75,0 ";"70,0 ";"14,5 ";"SFS6-3/4''-90∞-DN 19 ";"66,65 ";"6.000 P.S.I. ";"870 "
"19 ";"3/4ì ";"47,6 ";"1'' ";"77,0 ";"72,0 ";"14,5 ";"SFS6-1''-90∞-DN 19 ";"93,1 ";"6.000 P.S.I. ";"871 "
"25 ";"1ì ";"47,6 ";"1'' ";"84,0 ";"78,0 ";"20,0 ";"SFS6-1''-90∞-DN 25 ";"93,1 ";"6.000 P.S.I. ";"872 "
"25 ";"1ì ";"54,0 ";"1 1/4'' ";"105,0 ";"91,0 ";"20,0 ";"SFS6-1 1/4''-90∞-DN 25 ";"126,6 ";"6.000 P.S.I. ";"873 "
"31 ";"1 1/4ì ";"54,0 ";"1 1/4'' ";"103,0 ";"92,0 ";"25,0 ";"SFS6-1 1/4''-90∞-DN 31 ";"126,6 ";"6.000 P.S.I. ";"874 "
"31 ";"1 1/4ì ";"63,5 ";"1 1/2'' ";"124,0 ";"95,0 ";"25,0 ";"SFS6-1 1/2''-90∞-DN 31 ";"202 ";"6.000 P.S.I. ";"875 "
"38 ";"1 1/2ì ";"63,5 ";"1 1/2'' ";"124,0 ";"104,0 ";"31,0 ";"SFS6-1 1/2''-90∞-DN 38 ";"186,2 ";"6.000 P.S.I. ";"876 "
"38 ";"1 1/2ì ";"79,4 ";"2'' ";"120,0 ";"122,0 ";"31,0 ";"SFS6-2''-90∞-DN 38 ";"290 ";"6.000 P.S.I. ";"877 "
"51 ";"2ì ";"79,4 ";"2'' ";"147,0 ";"139,0 ";"41,0 ";"SFS6-2''-90∞-DN 51 ";"260,7 ";"6.000 P.S.I. ";"878 "
