"Schlauch  Hose  DN";"DN  Bore  in.";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"18,0 ";"33,0 ";"PF-W-PTFE-DN 06 ";"6 ";"";"9 "
"08 ";"5/16'' ";"20,0 ";"33,0 ";"PF-W-PTFE-DN 08 ";"6 ";"";"10 "
"10 ";"3/8'' ";"23,5 ";"33,0 ";"PF-W-PTFE-DN 10 ";"6,15 ";"";"11 "
"12 ";"1/2'' ";"26,3 ";"35,0 ";"PF-W-PTFE-DN 12 ";"6,3 ";"";"12 "
"16 ";"5/8'' ";"30,0 ";"38,0 ";"PF-W-PTFE-DN 16 ";"7,95 ";"";"13 "
"19 ";"3/4'' ";"34,3 ";"44,0 ";"PF-W-PTFE-DN 19 ";"15 ";"";"14 "
"25 ";"1'' ";"40,6 ";"50,0 ";"PF-W-PTFE-DN 25 ";"21 ";"";"15 "
"31 ";"1 1/4'' ";"51,0 ";"66,0 ";"PF-W-PTFE-DN 31 ";"39,5 ";"";"16 "
