"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 12 x 1,5 ";"12,0 ";"26,0 ";"19,0 ";"12 ";"";"EW-DKOL-06-OMD ";"21,47 ";"L ";"8581 "
"500 ";"8 ";"M 14 x 1,5 ";"14,0 ";"27,5 ";"21,0 ";"12 ";"";"EW-DKOL-08-OMD ";"21,41 ";"L ";"8582 "
"500 ";"10 ";"M 16 x 1,5 ";"15,0 ";"29,0 ";"22,0 ";"14 ";"";"EW-DKOL-10-OMD ";"28,11 ";"L ";"8583 "
"400 ";"12 ";"M 18 x 1,5 ";"17,0 ";"29,5 ";"24,0 ";"17 ";"";"EW-DKOL-12-OMD ";"30,57 ";"L ";"8584 "
"400 ";"15 ";"M 22 x 1,5 ";"21,0 ";"32,5 ";"28,0 ";"19 ";"";"EW-DKOL-15-OMD ";"35,15 ";"L ";"8585 "
"400 ";"18 ";"M 26 x 1,5 ";"23,5 ";"35,5 ";"31,0 ";"24 ";"";"EW-DKOL-18-OMD ";"52,74 ";"L ";"8586 "
"250 ";"22 ";"M 30 x 2 ";"27,5 ";"38,5 ";"35,0 ";"27 ";"";"EW-DKOL-22-OMD ";"66,38 ";"L ";"8587 "
"250 ";"28 ";"M 36 x 2 ";"30,5 ";"41,5 ";"38,0 ";"36 ";"";"EW-DKOL-28-OMD ";"105,31 ";"L ";"8588 "
"250 ";"35 ";"M 45 x 2 ";"34,5 ";"51,0 ";"45,0 ";"41 ";"";"EW-DKOL-35-OMD ";"147,62 ";"L ";"8589 "
"250 ";"42 ";"M 52 x 2 ";"40,0 ";"56,0 ";"51,0 ";"50 ";"";"EW-DKOL-42-OMD ";"223,11 ";"L ";"8590 "
"800 ";"6 ";"M 14 x 1,5 ";"16,0 ";"27,0 ";"23,0 ";"12 ";"";"EW-DKOS-06-OMD ";"23,36 ";"S ";"8591 "
"800 ";"8 ";"M 16 x 1,5 ";"17,0 ";"27,5 ";"24,0 ";"14 ";"";"EW-DKOS-08-OMD ";"26,12 ";"S ";"8592 "
"800 ";"10 ";"M 18 x 1,5 ";"17,5 ";"30,0 ";"25,0 ";"17 ";"";"EW-DKOS-10-OMD ";"31,44 ";"S ";"8593 "
"630 ";"12 ";"M 20 x 1,5 ";"21,5 ";"31,0 ";"29,0 ";"17 ";"";"EW-DKOS-12-OMD ";"36,43 ";"S ";"8594 "
"630 ";"14 ";"M 22 x 1,5 ";"22,0 ";"35,0 ";"30,0 ";"19 ";"";"EW-DKOS-14-OMD ";"43,61 ";"S ";"8595 "
"630 ";"16 ";"M 24 x 1,5 ";"24,5 ";"36,5 ";"33,0 ";"24 ";"";"EW-DKOS-16-OMD ";"55,7 ";"S ";"8596 "
"420 ";"20 ";"M 30 x 2 ";"26,5 ";"44,5 ";"37,0 ";"27 ";"";"EW-DKOS-20-OMD ";"71,23 ";"S ";"8597 "
"420 ";"25 ";"M 36 x 2 ";"30,0 ";"50,0 ";"42,0 ";"36 ";"";"EW-DKOS-25-OMD ";"114,32 ";"S ";"8598 "
"420 ";"30 ";"M 42 x 2 ";"35,5 ";"55,0 ";"49,0 ";"41 ";"";"EW-DKOS-30-OMD ";"158,07 ";"S ";"8599 "
"420 ";"38 ";"M 52 x 2 ";"41,0 ";"63,0 ";"57,0 ";"50 ";"";"EW-DKOS-38-OMD ";"231,51 ";"S ";"8600 "
