"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/8'' ";"27 ";"12,0 ";"34,5 ";"26,0 ";"8 ";"14 ";"12 ";"14 ";"EVW-L-06-G 1/8'' ";"22,31 ";"L ";"6983 "
"315 ";"8 ";"G 1/4'' ";"29 ";"14,0 ";"37,5 ";"27,5 ";"12 ";"19 ";"12 ";"17 ";"EVW-L-08-G 1/4'' ";"24,07 ";"L ";"6984 "
"315 ";"10 ";"G 1/4'' ";"30 ";"15,0 ";"40,0 ";"29,0 ";"12 ";"19 ";"14 ";"19 ";"EVW-L-10-G 1/4'' ";"30,59 ";"L ";"6985 "
"315 ";"12 ";"G 1/4'' ";"32 ";"17,0 ";"42,0 ";"29,5 ";"12 ";"19 ";"17 ";"22 ";"EVW-L-12-G 1/4'' ";"38,9 ";"L ";"6986 "
"315 ";"12 ";"G 3/8'' ";"32 ";"17,0 ";"42,0 ";"29,5 ";"12 ";"22 ";"17 ";"22 ";"EVW-L-12-G 3/8'' ";"36,12 ";"L ";"6987 "
"315 ";"12 ";"G 1/2'' ";"32 ";"17,0 ";"43,0 ";"29,5 ";"14 ";"27 ";"17 ";"22 ";"EVW-L-12-G 1/2'' ";"42,59 ";"L ";"6988 "
"315 ";"15 ";"G 1/2'' ";"36 ";"21,0 ";"46,5 ";"32,5 ";"14 ";"27 ";"19 ";"27 ";"EVW-L-15-G 1/2'' ";"48,15 ";"L ";"6989 "
"315 ";"18 ";"G 1/2'' ";"40 ";"23,5 ";"50,0 ";"35,5 ";"14 ";"27 ";"24 ";"32 ";"EVW-L-18-G 1/2'' ";"66,03 ";"L ";"6990 "
"160 ";"22 ";"G 3/4'' ";"44 ";"27,5 ";"55,0 ";"38,5 ";"16 ";"32 ";"27 ";"36 ";"EVW-L-22-G 3/4'' ";"82,19 ";"L ";"6991 "
"160 ";"28 ";"G 1'' ";"47 ";"30,5 ";"61,0 ";"43,5 ";"18 ";"41 ";"36 ";"41 ";"EVW-L-28-G 1'' ";"121,56 ";"L ";"6992 "
"160 ";"35 ";"G 1 1/4'' ";"56 ";"34,5 ";"71,5 ";"54,0 ";"20 ";"50 ";"41 ";"50 ";"EVW-L-35-G 1 1/4'' ";"173,18 ";"L ";"6993 "
"160 ";"42 ";"G 1 1/2'' ";"63 ";"40,0 ";"75,0 ";"56,0 ";"22 ";"55 ";"50 ";"60 ";"EVW-L-42-G 1 1/2'' ";"246,11 ";"L ";"6994 "
"630 ";"6 ";"G 1/4'' ";"31 ";"16,0 ";"40,0 ";"27,0 ";"12 ";"19 ";"12 ";"17 ";"EVW-S-06-G 1/4'' ";"26,2 ";"S ";"6995 "
"630 ";"8 ";"G 1/4'' ";"32 ";"17,0 ";"42,5 ";"27,5 ";"12 ";"19 ";"14 ";"19 ";"EVW-S-08-G 1/4'' ";"30,63 ";"S ";"6996 "
"630 ";"10 ";"G 3/8'' ";"34 ";"17,5 ";"45,0 ";"30,0 ";"12 ";"22 ";"17 ";"22 ";"EVW-S-10-G 3/8'' ";"36,56 ";"S ";"6997 "
"630 ";"12 ";"G 3/8'' ";"38 ";"21,5 ";"48,0 ";"31,0 ";"12 ";"22 ";"17 ";"24 ";"EVW-S-12-G 3/8'' ";"42,13 ";"S ";"6998 "
"630 ";"12 ";"G 1/2'' ";"38 ";"21,5 ";"50,0 ";"31,0 ";"14 ";"27 ";"17 ";"24 ";"EVW-S-12-G 1/2'' ";"47,86 ";"S ";"6999 "
"630 ";"14 ";"G 1/2'' ";"40 ";"22,0 ";"54,0 ";"35,0 ";"14 ";"27 ";"19 ";"27 ";"EVW-S-14-G 1/2'' ";"52,61 ";"S ";"7000 "
"400 ";"16 ";"G 1/2'' ";"43 ";"24,5 ";"55,0 ";"36,5 ";"14 ";"27 ";"24 ";"30 ";"EVW-S-16-G 1/2'' ";"67,47 ";"S ";"7001 "
"400 ";"20 ";"G 3/4'' ";"48 ";"26,5 ";"65,0 ";"44,5 ";"16 ";"32 ";"27 ";"36 ";"EVW-S-20-G 3/4'' ";"86,03 ";"S ";"7002 "
"400 ";"25 ";"G 1'' ";"54 ";"30,0 ";"73,0 ";"50,0 ";"18 ";"41 ";"36 ";"46 ";"EVW-S-25-G 1'' ";"130,33 ";"S ";"7003 "
"400 ";"30 ";"G 1 1/4'' ";"62 ";"35,5 ";"78,5 ";"55,0 ";"20 ";"50 ";"41 ";"50 ";"EVW-S-30-G 1 1/4'' ";"178,52 ";"S ";"7004 "
"250 ";"38 ";"G 1 1/2'' ";"72 ";"41,0 ";"89,0 ";"63,0 ";"22 ";"55 ";"50 ";"60 ";"EVW-S-38-G 1 1/2'' ";"249,41 ";"S ";"7005 "
