"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 ";"19,5 ";"26,0 ";"12,5 ";"14 ";"GAI-L-06-M 10x1-OMD ";"11,8 ";"L ";"6531 "
"315 ";"8 ";"M 12 x 1,5 ";"24,0 ";"31,0 ";"17,0 ";"17 ";"GAI-L-08-M 12x1,5-OMD ";"13,82 ";"L ";"6532 "
"315 ";"10 ";"M 14 x 1,5 ";"25,0 ";"32,0 ";"17,0 ";"19 ";"GAI-L-10-M 14x1,5-OMD ";"16,09 ";"L ";"6533 "
"315 ";"12 ";"M 16 x 1,5 ";"26,0 ";"33,0 ";"17,0 ";"22 ";"GAI-L-12-M 16x1,5-OMD ";"19,27 ";"L ";"6534 "
"315 ";"15 ";"M 18 x 1,5 ";"28,0 ";"34,0 ";"17,0 ";"24 ";"GAI-L-15-M 18x1,5-OMD ";"27,71 ";"L ";"6535 "
"315 ";"18 ";"M 22 x 1,5 ";"29,5 ";"37,0 ";"19,0 ";"30 ";"GAI-L-18-M 22x1,5-OMD ";"26,97 ";"L ";"6536 "
"315 ";"18 ";"M 26 x 1,5 ";"29,5 ";"";"19,0 ";"32 ";"GAI-L-18-M 26x1,5-OMD ";"34,18 ";"L ";"11908 "
"160 ";"22 ";"M 26 x 1,5 ";"34,5 ";"42,0 ";"21,0 ";"32 ";"GAI-L-22-M 26x1,5-OMD ";"31,77 ";"L ";"6537 "
"160 ";"28 ";"M 33 x 2 ";"37,5 ";"";"24,0 ";"41 ";"GAI-L-28-M 33x2-OMD ";"46,51 ";"L ";"6538 "
"160 ";"35 ";"M 42 x 2 ";"40,5 ";"51,0 ";"26,0 ";"55 ";"GAI-L-35-M 42x2-OMD ";"82,68 ";"L ";"6539 "
"160 ";"42 ";"M 48 x 2 ";"42,0 ";"";"28,0 ";"55 ";"GAI-L-42-M 48x2-OMD ";"110,31 ";"L ";"6540 "
"630 ";"6 ";"M 12 x 1,5 ";"26,0 ";"33,0 ";"17,0 ";"17 ";"GAI-S-06-M 12x1,5-OMD ";"14,03 ";"S ";"6541 "
"630 ";"8 ";"M 14 x 1,5 ";"26,0 ";"33,0 ";"17,0 ";"19 ";"GAI-S-08-M 14x1,5-OMD ";"15,95 ";"S ";"6542 "
"630 ";"10 ";"M 16 x 1,5 ";"26,5 ";"34,0 ";"17,0 ";"22 ";"GAI-S-10-M 16x1,5-OMD ";"19,38 ";"S ";"6543 "
"630 ";"12 ";"M 18 x 1,5 ";"27,5 ";"34,0 ";"17,0 ";"24 ";"GAI-S-12-M 18x1,5-OMD ";"23,11 ";"S ";"6544 "
"630 ";"14 ";"M 20 x 1,5 ";"31,0 ";"35,0 ";"19,0 ";"27 ";"GAI-S-14-M 20x1,5-OMD ";"27,99 ";"S ";"6545 "
"400 ";"16 ";"M 22 x 1,5 ";"30,5 ";"39,0 ";"19,0 ";"30 ";"GAI-S-16-M 22x1,5-OMD ";"28,55 ";"S ";"6546 "
"400 ";"20 ";"M 27 x 2 ";"34,5 ";"";"22,0 ";"32 ";"GAI-S-20-M 27x2-OMD ";"36,46 ";"S ";"6547 "
"400 ";"25 ";"M 33 x 2 ";"37,0 ";"49,0 ";"24,0 ";"41 ";"GAI-S-25-M 33x2-OMD ";"47,34 ";"S ";"6548 "
"400 ";"30 ";"M 42 x 2 ";"41,5 ";"";"26,0 ";"50 ";"GAI-S-30-M 42x2-OMD ";"84,96 ";"S ";"6549 "
"315 ";"38 ";"M 48 x 2 ";"43,0 ";"";"28,0 ";"55 ";"GAI-S-38-M 48x2-OMD ";"108,29 ";"S ";"11909 "
