"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 12 x 1,5 ";"27 ";"12,0 ";"26,0 ";"12 ";"14 ";"EVW-L-06 ";"18,74 ";"L ";"6923 "
"315 ";"8 ";"M 14 x 1,5 ";"29 ";"14,0 ";"27,5 ";"12 ";"17 ";"EVW-L-08 ";"19,4 ";"L ";"6924 "
"315 ";"10 ";"M 16 x 1,5 ";"30 ";"15,0 ";"29,0 ";"14 ";"19 ";"EVW-L-10 ";"25,56 ";"L ";"6925 "
"315 ";"12 ";"M 18 x 1,5 ";"32 ";"17,0 ";"29,5 ";"17 ";"22 ";"EVW-L-12 ";"29,81 ";"L ";"6926 "
"315 ";"15 ";"M 22 x 1,5 ";"36 ";"21,0 ";"32,5 ";"19 ";"27 ";"EVW-L-15 ";"38,42 ";"L ";"6927 "
"315 ";"18 ";"M 26 x 1,5 ";"40 ";"23,5 ";"35,5 ";"24 ";"32 ";"EVW-L-18 ";"55,32 ";"L ";"6928 "
"160 ";"22 ";"M 30 x 2 ";"44 ";"27,5 ";"38,5 ";"27 ";"36 ";"EVW-L-22 ";"66,47 ";"L ";"6929 "
"160 ";"28 ";"M 36 x 2 ";"47 ";"30,5 ";"43,5 ";"36 ";"41 ";"EVW-L-28 ";"94,59 ";"L ";"6930 "
"160 ";"35 ";"M 45 x 2 ";"56 ";"34,5 ";"54,0 ";"41 ";"50 ";"EVW-L-35 ";"140,61 ";"L ";"6931 "
"160 ";"42 ";"M 52 x 2 ";"63 ";"40,0 ";"56,0 ";"50 ";"60 ";"EVW-L-42 ";"201,96 ";"L ";"6932 "
"630 ";"6 ";"M 14 x 1,5 ";"31 ";"16,0 ";"27,0 ";"12 ";"17 ";"EVW-S-06 ";"21,73 ";"S ";"6933 "
"630 ";"8 ";"M 16 x 1,5 ";"32 ";"17,0 ";"27,5 ";"14 ";"19 ";"EVW-S-08 ";"25,33 ";"S ";"6934 "
"630 ";"10 ";"M 18 x 1,5 ";"34 ";"17,5 ";"30,0 ";"17 ";"22 ";"EVW-S-10 ";"29,55 ";"S ";"6935 "
"630 ";"12 ";"M 20 x 1,5 ";"38 ";"21,5 ";"31,0 ";"17 ";"24 ";"EVW-S-12 ";"34,72 ";"S ";"6936 "
"630 ";"14 ";"M 22 x 1,5 ";"40 ";"22,0 ";"35,0 ";"19 ";"27 ";"EVW-S-14 ";"41,44 ";"S ";"6937 "
"400 ";"16 ";"M 24 x 1,5 ";"43 ";"24,5 ";"36,5 ";"24 ";"30 ";"EVW-S-16 ";"54,71 ";"S ";"6938 "
"400 ";"20 ";"M 30 x 2 ";"48 ";"26,5 ";"44,5 ";"27 ";"36 ";"EVW-S-20 ";"68,08 ";"S ";"6939 "
"400 ";"25 ";"M 36 x 2 ";"54 ";"30,0 ";"50,0 ";"36 ";"46 ";"EVW-S-25 ";"99,7 ";"S ";"6940 "
"400 ";"30 ";"M 42 x 2 ";"62 ";"35,5 ";"55,0 ";"41 ";"50 ";"EVW-S-30 ";"143,16 ";"S ";"6941 "
"250 ";"38 ";"M 52 x 2 ";"72 ";"41,0 ";"63,0 ";"50 ";"60 ";"EVW-S-38 ";"207,08 ";"S ";"6942 "
