"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 ";"34 ";"19,5 ";"12,5 ";"14 ";"14 ";"GAI-L-06-M 10x1-SC ";"14,43 ";"L ";"6511 "
"315 ";"8 ";"M 12 x 1,5 ";"39 ";"24,0 ";"17,0 ";"17 ";"17 ";"GAI-L-08-M 12x1,5-SC ";"17,06 ";"L ";"6512 "
"315 ";"10 ";"M 14 x 1,5 ";"40 ";"25,0 ";"17,0 ";"19 ";"19 ";"GAI-L-10-M 14x1,5-SC ";"19,89 ";"L ";"6513 "
"315 ";"12 ";"M 16 x 1,5 ";"41 ";"26,0 ";"17,0 ";"22 ";"22 ";"GAI-L-12-M 16x1,5-SC ";"23,72 ";"L ";"6514 "
"315 ";"15 ";"M 18 x 1,5 ";"43 ";"28,0 ";"17,0 ";"24 ";"27 ";"GAI-L-15-M 18x1,5-SC ";"33,93 ";"L ";"6515 "
"315 ";"18 ";"M 22 x 1,5 ";"46 ";"29,5 ";"19,0 ";"30 ";"32 ";"GAI-L-18-M 22x1,5-SC ";"37,23 ";"L ";"6516 "
"315 ";"18 ";"M 26 x 1,5 ";"46 ";"29,5 ";"19,0 ";"32 ";"32 ";"GAI-L-18-M 26x1,5-SC ";"44,8 ";"L ";"11905 "
"160 ";"22 ";"M 26 x 1,5 ";"51 ";"34,5 ";"21,0 ";"32 ";"36 ";"GAI-L-22-M 26x1,5-SC ";"43,84 ";"L ";"6517 "
"160 ";"28 ";"M 33 x 2 ";"54 ";"37,5 ";"24,0 ";"41 ";"41 ";"GAI-L-28-M 33x2-SC ";"63,36 ";"L ";"6518 "
"160 ";"35 ";"M 42 x 2 ";"62 ";"40,5 ";"26,0 ";"55 ";"50 ";"GAI-L-35-M 42x2-SC ";"107,51 ";"L ";"6519 "
"160 ";"42 ";"M 48 x 2 ";"65 ";"42,0 ";"28,0 ";"55 ";"60 ";"GAI-L-42-M 48x2-SC ";"142,06 ";"L ";"6520 "
"630 ";"6 ";"M 12 x 1,5 ";"41 ";"26,0 ";"17,0 ";"17 ";"17 ";"GAI-S-06-M 12x1,5-SC ";"17,26 ";"S ";"6521 "
"630 ";"10 ";"M 16 x 1,5 ";"43 ";"26,5 ";"17,0 ";"22 ";"22 ";"GAI-S-10-M 16x1,5-SC ";"23,88 ";"S ";"6523 "
"630 ";"8 ";"M 14 x 1,5 ";"41 ";"26,0 ";"17,0 ";"19 ";"19 ";"GAI-S-08-M 14x1,5-SC ";"19,59 ";"S ";"6522 "
"630 ";"12 ";"M 18 x 1,5 ";"44 ";"27,5 ";"17,0 ";"24 ";"24 ";"GAI-S-12-M 18x1,5-SC ";"28,4 ";"S ";"6524 "
"630 ";"14 ";"M 20 x 1,5 ";"49 ";"31,0 ";"19,0 ";"27 ";"27 ";"GAI-S-14-M 20x1,5-SC ";"35,05 ";"S ";"6525 "
"400 ";"16 ";"M 22 x 1,5 ";"49 ";"30,5 ";"19,0 ";"30 ";"30 ";"GAI-S-16-M 22x1,5-SC ";"38,32 ";"S ";"6526 "
"400 ";"20 ";"M 27 x 2 ";"56 ";"34,5 ";"22,0 ";"32 ";"36 ";"GAI-S-20-M 27x2-SC ";"48,92 ";"S ";"6527 "
"400 ";"25 ";"M 33 x 2 ";"61 ";"37,0 ";"24,0 ";"41 ";"46 ";"GAI-S-25-M 33x2-SC ";"68,96 ";"S ";"6528 "
"400 ";"30 ";"M 42 x 2 ";"68 ";"41,5 ";"26,0 ";"50 ";"50 ";"GAI-S-30-M 42x2-SC ";"112,56 ";"S ";"6529 "
"315 ";"38 ";"M 48 x 2 ";"74 ";"43,0 ";"28,0 ";"55 ";"60 ";"GAI-S-38-M 48x2-SC ";"145,74 ";"S ";"11907 "
