"Druck  Pressure  PN";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"20,0 ";"20,0 ";"4,0 ";"12 ";"1450510-02 ";"18,3 ";"";"1720 "
"400 ";"1/4''-19 ";"24,5 ";"24,5 ";"6,0 ";"14 ";"1450510-04 ";"18,5 ";"";"1721 "
"400 ";"3/8''-19 ";"25,5 ";"25,5 ";"8,0 ";"17 ";"1450510-06 ";"21,5 ";"";"1722 "
"400 ";"1/2''-14 ";"29,5 ";"29,5 ";"11,0 ";"19 ";"1450510-08 ";"22 ";"";"1723 "
"400 ";"3/4''-14 ";"37,0 ";"37,0 ";"16,0 ";"27 ";"1450510-12 ";"38,6 ";"";"1724 "
"400 ";"1''-11 ";"43,0 ";"43,0 ";"22,0 ";"36 ";"1450510-16 ";"53,6 ";"";"1725 "
"200 ";"1 1/4''-11 ";"51,0 ";"51,0 ";"28,5 ";"41 ";"1450510-20 ";"92,4 ";"";"1726 "
"200 ";"1 1/2''-11 ";"59,0 ";"59,0 ";"33,5 ";"50 ";"1450510-24 ";"159,2 ";"";"1727 "
"100 ";"2''-11 ";"77,5 ";"77,5 ";"45,0 ";"65 ";"1450510-32 ";"357,5 ";"";"1728 "
