"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 keg ";"12,0 ";"20 ";"19,0 ";"8 ";"12 ";"TE-L-06-M 10x1-k-OMD ";"21,97 ";"L ";"5552 "
"315 ";"8 ";"M 12 x 1,5 keg ";"14,0 ";"26 ";"21,0 ";"12 ";"12 ";"TE-L-08-M 12x1,5-k-OMD ";"22,88 ";"L ";"5553 "
"315 ";"10 ";"M 14 x 1,5 keg ";"15,0 ";"27 ";"22,0 ";"12 ";"14 ";"TE-L-10-M 14x1,5-k-OMD ";"24,72 ";"L ";"5554 "
"315 ";"12 ";"M 16 x 1,5 keg ";"17,0 ";"28 ";"24,0 ";"12 ";"17 ";"TE-L-12-M 16x1,5-k-OMD ";"29,26 ";"L ";"5555 "
"315 ";"15 ";"M 18 x 1,5 keg ";"21,0 ";"32 ";"28,0 ";"12 ";"19 ";"TE-L-15-M 18x1,5-k-OMD ";"40,44 ";"L ";"5556 "
"315 ";"18 ";"M 22 x 1,5 keg ";"23,5 ";"36 ";"";"14 ";"24 ";"TE-L-18-M 22x1,5-k-OMD ";"64,57 ";"L ";"5557 "
"100 ";"4 ";"M 6 x 1 keg ";"11,0 ";"17 ";"15,0 ";"8 ";"9 ";"TE-LL-04-M 6x1-k-OMD ";"22,8 ";"LL ";"5545 "
"100 ";"4 ";"M 8 x 1 keg ";"11,0 ";"17 ";"15,0 ";"8 ";"9 ";"TE-LL-04-M 8x1-k-OMD ";"22,8 ";"LL ";"5546 "
"100 ";"6 ";"M 6 x 1 keg ";"9,5 ";"17 ";"15,5 ";"8 ";"9 ";"TE-LL-06-M 6x1-k-OMD ";"24,09 ";"LL ";"5547 "
"100 ";"6 ";"M 8 x 1 keg ";"9,5 ";"17 ";"15,0 ";"8 ";"9 ";"TE-LL-06-M 8x1-k-OMD ";"24,09 ";"LL ";"5548 "
"100 ";"6 ";"M 10 x 1 keg ";"9,5 ";"17 ";"15,0 ";"8 ";"9 ";"TE-LL-06-M 10x1-k-OMD ";"23,06 ";"LL ";"5549 "
"100 ";"8 ";"M 8 x 1 keg ";"11,5 ";"20 ";"17,0 ";"8 ";"12 ";"TE-LL-08-M 8x1-k-OMD ";"";"LL ";"5550 "
"100 ";"8 ";"M 10 x 1 keg ";"11,5 ";"20 ";"17,0 ";"8 ";"12 ";"TE-LL-08-M 10x1-k-OMD ";"24,96 ";"LL ";"5551 "
"630 ** ";"6 ";"M 12 x 1,5 keg ";"16,0 ";"26 ";"23,0 ";"12 ";"12 ";"TE-S-06-M 12x1,5-k-OMD ";"22,62 ";"S ";"5558 "
"630 ** ";"8 ";"M 14 x 1,5 keg ";"17,0 ";"27 ";"24,0 ";"12 ";"14 ";"TE-S-08-M 14x1,5-k-OMD ";"24,79 ";"S ";"5559 "
"630 ** ";"10 ";"M 16 x 1,5 keg ";"17,5 ";"28 ";"25,0 ";"12 ";"17 ";"TE-S-10-M 16x1,5-k-OMD ";"29,06 ";"S ";"5560 "
"630 ** ";"12 ";"M 18 x 1,5 keg ";"21,5 ";"28 ";"29,0 ";"12 ";"17 ";"TE-S-12-M 18x1,5-k-OMD ";"32,95 ";"S ";"5561 "
"630 ** ";"14 ";"M 20 x 1,5 keg ";"22,0 ";"32 ";"30,0 ";"14 ";"17 ";"TE-S-14-M 20x1,5-k-OMD ";"40,62 ";"S ";"5562 "
"400 ** ";"16 ";"M 22 x 1,5 keg ";"24,5 ";"32 ";"33,0 ";"14 ";"19 ";"TE-S-16-M 22x1,5-k-OMD ";"62,83 ";"S ";"5563 "
