"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"12,0 ";"24 ";"17 ";"18 ";"14 ";"THV-L-06-G 1/8''-WDS ";"141,43 ";"L ";"10943 "
"400 ";"8 ";"G 1/4'' ";"14,5 ";"30 ";"19 ";"22 ";"17 ";"THV-L-08-G 1/4''-WDS ";"157,44 ";"L ";"10944 "
"350 ";"10 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"19 ";"THV-L-10-G 1/4''-WDS ";"180,45 ";"L ";"10945 "
"350 ";"12 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"22 ";"THV-L-12-G 1/4''-WDS ";"214,18 ";"L ";"10946 "
"350 ";"12 ";"G 3/8'' ";"18,0 ";"36 ";"24 ";"27 ";"22 ";"THV-L-12-G 3/8''-WDS ";"199,9 ";"L ";"10947 "
"315 ";"15 ";"G 1/2'' ";"21,5 ";"45 ";"30 ";"32 ";"27 ";"THV-L-15-G 1/2''-WDS ";"275,12 ";"L ";"10948 "
"315 ";"18 ";"G 1/2'' ";"21,0 ";"45 ";"30 ";"32 ";"32 ";"THV-L-18-G 1/2''-WDS ";"336,48 ";"L ";"10949 "
"200 ";"22 ";"G 3/4'' ";"27,5 ";"53 ";"36 ";"40 ";"36 ";"THV-L-22-G 3/4''-WDS ";"533,45 ";"L ";"10950 "
"200 ";"28 ";"G 1'' ";"32,0 ";"66 ";"46 ";"50 ";"41 ";"THV-L-28-G 1''-WDS ";"762,46 ";"L ";"10951 "
"200 ";"35 ";"G 1 1/4'' ";"36,0 ";"76 ";"55 ";"60 ";"50 ";"THV-L-35-G 1 1/4''-WDS ";"1024,17 ";"L ";"10952 "
"200 ";"42 ";"G 1 1/2'' ";"40,5 ";"87 ";"60 ";"70 ";"60 ";"THV-L-42-G 1 1/2''-WDS ";"1280,18 ";"L ";"10953 "
"100 ";"4 ";"G 1/8'' ";"11,0 ";"24 ";"17 ";"18 ";"10 ";"THV-LL-04-G 1/8''-WDS ";"141,43 ";"LL ";"10940 "
"100 ";"6 ";"G 1/8'' ";"11,5 ";"24 ";"17 ";"18 ";"12 ";"THV-LL-06-G 1/8''-WDS ";"141,43 ";"LL ";"10941 "
"100 ";"8 ";"G 1/8'' ";"12,5 ";"24 ";"17 ";"18 ";"14 ";"THV-LL-08-G 1/8''-WDS ";"141,43 ";"LL ";"10942 "
"500 ";"6 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"17 ";"THV-S-06-G 1/4''-WDS ";"157,44 ";"S ";"10954 "
"450 ";"8 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"19 ";"THV-S-08-G 1/4''-WDS ";"175,34 ";"S ";"10955 "
"400 ";"10 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"22 ";"THV-S-10-G 1/4''-WDS ";"213,78 ";"S ";"10956 "
"400 ";"10 ";"G 3/8'' ";"18,5 ";"36 ";"24 ";"27 ";"22 ";"THV-S-10-G 3/8''-WDS ";"205,01 ";"S ";"10957 "
"400 ";"12 ";"G 3/8'' ";"18,5 ";"36 ";"24 ";"27 ";"24 ";"THV-S-12-G 3/8''-WDS ";"217,79 ";"S ";"10958 "
"400 ";"14 ";"G 1/2'' ";"22,5 ";"45 ";"30 ";"32 ";"27 ";"THV-S-14-G 1/2''-WDS ";"282,79 ";"S ";"10959 "
"400 ";"16 ";"G 1/2'' ";"22,0 ";"45 ";"30 ";"32 ";"30 ";"THV-S-16-G 1/2''-WDS ";"351,82 ";"S ";"10960 "
"400 ";"20 ";"G 3/4'' ";"26,5 ";"53 ";"36 ";"40 ";"36 ";"THV-S-20-G 3/4''-WDS ";"528,34 ";"S ";"10961 "
"250 ";"25 ";"G 1'' ";"31,5 ";"66 ";"46 ";"50 ";"46 ";"THV-S-25-G 1''-WDS ";"711,33 ";"S ";"10962 "
"250 ";"30 ";"G 1 1/4'' ";"37,0 ";"76 ";"55 ";"60 ";"50 ";"THV-S-30-G 1 1/4''-WDS ";"950,04 ";"S ";"10963 "
"250 ";"38 ";"G 1 1/2'' ";"41,5 ";"87 ";"60 ";"70 ";"60 ";"THV-S-38-G 1 1/2''-WDS ";"1208,6 ";"S ";"10964 "
