"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"10 ";"14,0 ";"21,0 ";"12,0 ";"ASV-L-06-OMD ";"5,87 ";"L ";"9574 "
"500 ";"8 ";"12 ";"16,0 ";"23,0 ";"14,0 ";"ASV-L-08-OMD ";"6,22 ";"L ";"9575 "
"500 ";"10 ";"14 ";"18,0 ";"25,0 ";"17,0 ";"ASV-L-10-OMD ";"7,53 ";"L ";"9576 "
"400 ";"12 ";"16 ";"18,0 ";"25,0 ";"19,0 ";"ASV-L-12-OMD ";"7,38 ";"L ";"9577 "
"400 ";"15 ";"19 ";"22,0 ";"29,0 ";"22,0 ";"ASV-L-15-OMD ";"9,05 ";"L ";"9578 "
"400 ";"18 ";"22 ";"23,5 ";"31,0 ";"27,0 ";"ASV-L-18-OMD ";"14,8 ";"L ";"9579 "
"250 ";"22 ";"27 ";"28,5 ";"36,0 ";"32,0 ";"ASV-L-22-OMD ";"20,88 ";"L ";"9580 "
"250 ";"28 ";"32 ";"30,5 ";"38,0 ";"41,0 ";"ASV-L-28-OMD ";"30,66 ";"L ";"9581 "
"250 ";"35 ";"40 ";"32,5 ";"43,0 ";"46,0 ";"ASV-L-35-OMD ";"37,69 ";"L ";"9582 "
"250 ";"42 ";"46 ";"35,0 ";"46,0 ";"55,0 ";"ASV-L-42-OMD ";"51,82 ";"L ";"9583 "
"800 ";"6 ";"11 ";"19,0 ";"26,0 ";"14,0 ";"ASV-S-06-OMD ";"8 ";"S ";"9584 "
"800 ";"8 ";"13 ";"21,0 ";"28,0 ";"17,0 ";"ASV-S-08-OMD ";"9,02 ";"S ";"9585 "
"800 ";"10 ";"15 ";"22,5 ";"30,0 ";"19,0 ";"ASV-S-10-OMD ";"9,43 ";"S ";"9586 "
"630 ";"12 ";"17 ";"24,5 ";"32,0 ";"22,0 ";"ASV-S-12-OMD ";"9,1 ";"S ";"9587 "
"630 ";"14 ";"19 ";"27,0 ";"35,0 ";"24,0 ";"ASV-S-14-OMD ";"12,55 ";"S ";"9588 "
"630 ";"16 ";"21 ";"26,5 ";"35,0 ";"27,0 ";"ASV-S-16-OMD ";"15,67 ";"S ";"9589 "
"420 ";"20 ";"26 ";"29,5 ";"40,0 ";"32,0 ";"ASV-S-20-OMD ";"22,65 ";"S ";"9590 "
"420 ";"25 ";"31 ";"32,0 ";"44,0 ";"41,0 ";"ASV-S-25-OMD ";"32,77 ";"S ";"9591 "
"420 ";"30 ";"36 ";"35,5 ";"49,0 ";"46,0 ";"ASV-S-30-OMD ";"39,96 ";"S ";"9592 "
"420 ";"38 ";"44 ";"38,0 ";"54,0 ";"55,0 ";"ASV-S-38-OMD ";"52,55 ";"S ";"9593 "
