"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Gewinde  Thread  G1";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 ";"M 12 x 1,5 ";"32,5 ";"19,0 ";"8 ";"14 ";"14 ";"EVGE-L-06-M 10x1-wd ";"13,73 ";"L ";"6177 "
"315 ";"8 ";"M 12 x 1,5 ";"M 14 x 1,5 ";"39,5 ";"19,5 ";"12 ";"17 ";"17 ";"EVGE-L-08-M 12x1,5-wd ";"14,96 ";"L ";"6178 "
"315 ";"10 ";"M 14 x 1,5 ";"M 16 x 1,5 ";"39,5 ";"20,5 ";"12 ";"19 ";"19 ";"EVGE-L-10-M 14x1,5-wd ";"16,46 ";"L ";"6179 "
"315 ";"12 ";"M 16 x 1,5 ";"M 18 x 1,5 ";"42,0 ";"22,0 ";"12 ";"22 ";"22 ";"EVGE-L-12-M 16x1,5-wd ";"18,76 ";"L ";"6180 "
"315 ";"15 ";"M 18 x 1,5 ";"M 22 x 1,5 ";"43,5 ";"23,0 ";"12 ";"24 ";"27 ";"EVGE-L-15-M 18x1,5-wd ";"23,39 ";"L ";"6181 "
"315 ";"18 ";"M 22 x 1,5 ";"M 26 x,1,5 ";"47,0 ";"24,0 ";"14 ";"27 ";"32 ";"EVGE-L-18-M 22x1,5-wd ";"33,23 ";"L ";"6182 "
"160 ";"22 ";"M 26 x 1,5 ";"M 30 x 2 ";"50,5 ";"24,5 ";"16 ";"32 ";"36 ";"EVGE-L-22-M 26x1,5-wd ";"40,73 ";"L ";"6183 "
"160 ";"28 ";"M 33 x 2 ";"M 36 x 2 ";"54,0 ";"25,5 ";"18 ";"41 ";"41 ";"EVGE-L-28-M 33x2-wd ";"61,36 ";"L ";"6184 "
"160 ";"35 ";"M 42 x 2 ";"M 45 x 2 ";"62,5 ";"30,5 ";"20 ";"50 ";"50 ";"EVGE-L-35-M 42x2-wd ";"99,7 ";"L ";"6185 "
"160 ";"42 ";"M 48 x 2 ";"M 52 x 2 ";"68,5 ";"32,5 ";"22 ";"55 ";"60 ";"EVGE-L-42-M 48x2-wd ";"109,93 ";"L ";"6186 "
"630 ";"6 ";"M 12 x 1,5 ";"M 14 x 1,5 ";"39,5 ";"19,0 ";"12 ";"17 ";"17 ";"EVGE-S-06-M 12x1,5-wd ";"14,42 ";"S ";"6187 "
"630 ";"8 ";"M 14 x 1,5 ";"M 16 x 1,5 ";"40,5 ";"19,5 ";"12 ";"19 ";"19 ";"EVGE-S-08-M 14x1,5-wd ";"15,8 ";"S ";"6188 "
"630 ";"10 ";"M 16 x 1,5 ";"M 18 x 1,5 ";"44,0 ";"21,5 ";"12 ";"22 ";"22 ";"EVGE-S-10-M 16x1,5-wd ";"18,23 ";"S ";"6189 "
"630 ";"12 ";"M 18 x 1,5 ";"M 20 x 1,5 ";"46,0 ";"22,5 ";"12 ";"24 ";"24 ";"EVGE-S-12-M 18x1,5-wd ";"20,17 ";"S ";"6190 "
"630 ";"14 ";"M 20 x 1,5 ";"M 22 x 1,5 ";"50,0 ";"23,5 ";"14 ";"27 ";"27 ";"EVGE-S-14-M 20x1,5-wd ";"24,36 ";"S ";"6191 "
"400 ";"16 ";"M 22 x 1,5 ";"M 24 x 1,5 ";"51,0 ";"26,0 ";"14 ";"27 ";"30 ";"EVGE-S-16-M 22x1,5-wd ";"33,46 ";"S ";"6192 "
"400 ";"20 ";"M 27 x 2 ";"M 30 x 2 ";"59,0 ";"28,0 ";"16 ";"32 ";"36 ";"EVGE-S-20-M 27x2-wd ";"46,32 ";"S ";"6193 "
"400 ";"25 ";"M 33 x 2 ";"M 36 x 2 ";"65,5 ";"31,0 ";"18 ";"41 ";"46 ";"EVGE-S-25-M 33x2-wd ";"69,03 ";"S ";"6194 "
"400 ";"30 ";"M 42 x 2 ";"M 42 x 2 ";"71,0 ";"34,0 ";"20 ";"50 ";"50 ";"EVGE-S-30-M 42x2-wd ";"81,81 ";"S ";"6195 "
"315 ";"38 ";"M 48 x 2 ";"M 52 x 2 ";"83,5 ";"40,0 ";"22 ";"55 ";"60 ";"EVGE-S-38-M 48x2-wd ";"125,27 ";"S ";"6196 "
