"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 keg ";"27 ";"12,0 ";"20 ";"8 ";"12 ";"14 ";"TE-L-06-M 10x1-k ";"26,59 ";"L ";"5521 "
"315 ";"8 ";"M 12 x 1,5 keg ";"29 ";"14,0 ";"26 ";"12 ";"12 ";"17 ";"TE-L-08-M 12x1,5-k ";"28,48 ";"L ";"5522 "
"315 ";"10 ";"M 14 x 1,5 keg ";"30 ";"15,0 ";"27 ";"12 ";"14 ";"19 ";"TE-L-10-M 14x1,5-k ";"31,44 ";"L ";"5523 "
"315 ";"12 ";"M 16 x 1,5 keg ";"32 ";"17,0 ";"28 ";"12 ";"17 ";"22 ";"TE-L-12-M 16x1,5-k ";"37,04 ";"L ";"5524 "
"315 ";"15 ";"M 18 x 1,5 keg ";"36 ";"21,0 ";"32 ";"12 ";"19 ";"27 ";"TE-L-15-M 18x1,5-k ";"50,72 ";"L ";"5525 "
"315 ";"18 ";"M 22 x 1,5 keg ";"40 ";"23,5 ";"36 ";"14 ";"24 ";"32 ";"TE-L-18-M 22x1,5-k ";"81,81 ";"L ";"5526 "
"100 ";"4 ";"M 6 x 1 keg ";"21 ";"11,0 ";"17 ";"8 ";"9 ";"10 ";"TE-LL-04-M 6x1-k ";"28,12 ";"LL ";"5514 "
"100 ";"4 ";"M 8 x 1 keg ";"21 ";"11,0 ";"17 ";"8 ";"9 ";"10 ";"TE-LL-04-M 8x1-k ";"28,12 ";"LL ";"5515 "
"100 ";"6 ";"M 6 x 1 keg ";"21 ";"9,5 ";"17 ";"8 ";"9 ";"12 ";"TE-LL-06-M 6x1-k ";"30,17 ";"LL ";"5516 "
"100 ";"6 ";"M 8 x 1 keg ";"21 ";"9,5 ";"17 ";"8 ";"9 ";"12 ";"TE-LL-06-M 8x1-k ";"30,17 ";"LL ";"5517 "
"100 ";"6 ";"M 10 x 1 keg ";"21 ";"9,5 ";"17 ";"8 ";"9 ";"12 ";"TE-LL-06-M 10x1-k ";"29,14 ";"LL ";"5518 "
"100 ";"8 ";"M 8 x 1 keg ";"23 ";"11,5 ";"20 ";"8 ";"12 ";"14 ";"TE-LL-08-M 8x1-k ";"";"LL ";"5519 "
"100 ";"8 ";"M 10 x 1 keg ";"23 ";"11,5 ";"20 ";"8 ";"12 ";"14 ";"TE-LL-08-M 10x1-k ";"31,96 ";"LL ";"5520 "
"630 ** ";"6 ";"M 12 x 1,5 keg ";"31 ";"16,0 ";"26 ";"12 ";"12 ";"17 ";"TE-S-06-M 12x1,5-k ";"28,2 ";"S ";"5527 "
"630 ** ";"8 ";"M 14 x 1,5 keg ";"32 ";"17,0 ";"27 ";"12 ";"14 ";"19 ";"TE-S-08-M 14x1,5-k ";"31,19 ";"S ";"5528 "
"630 ** ";"10 ";"M 16 x 1,5 keg ";"34 ";"17,5 ";"28 ";"12 ";"17 ";"22 ";"TE-S-10-M 16x1,5-k ";"36,94 ";"S ";"5529 "
"630 ** ";"12 ";"M 18 x 1,5 keg ";"38 ";"21,5 ";"28 ";"12 ";"17 ";"24 ";"TE-S-12-M 18x1,5-k ";"41,85 ";"S ";"5530 "
"630 ** ";"14 ";"M 20 x 1,5 keg ";"40 ";"22,0 ";"32 ";"14 ";"17 ";"27 ";"TE-S-14-M 20x1,5-k ";"51,62 ";"S ";"5531 "
"400 ** ";"16 ";"M 22 x 1,5 keg ";"43 ";"24,5 ";"32 ";"14 ";"19 ";"30 ";"TE-S-16-M 22x1,5-k ";"79,25 ";"S ";"5532 "
