"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"9/16''-18 ";"27,0 ";"4,0 ";"19 ";"FORFS-9/16''-DN 06 ";"17,1 ";"";"998 "
"06 ";"1/4'' ";"11/16''-16 ";"27,0 ";"4,0 ";"22 ";"FORFS-11/16''-DN 06 ";"20,1 ";"";"999 "
"08 ";"5/16'' ";"11/16''-16 ";"29,5 ";"5,5 ";"22 ";"FORFS-11/16''-DN 08 ";"20,1 ";"";"1000 "
"10 ";"3/8'' ";"11/16''-16 ";"29,5 ";"7,0 ";"22 ";"FORFS-11/16''-DN 10 ";"20,1 ";"";"1001 "
"10 ";"3/8'' ";"13/16''-16 ";"29,5 ";"7,0 ";"24 ";"FORFS-13/16''-DN 10 ";"22,75 ";"";"1002 "
"12 ";"1/2'' ";"13/16''-16 ";"29,5 ";"9,5 ";"24 ";"FORFS-13/16''-DN 12 ";"22,75 ";"";"1003 "
"12 ";"1/2'' ";"1''-14 ";"34,5 ";"9,5 ";"30 ";"FORFS-1''-DN 12 ";"27,5 ";"";"1004 "
"16 ";"5/8'' ";"1''-14 ";"34,0 ";"12,5 ";"30 ";"FORFS-1''-DN 16 ";"33 ";"";"1005 "
"19 ";"3/4'' ";"1''-14 ";"36,0 ";"11,5 ";"30 ";"FORFS-1''-DN 19 ";"39,3 ";"";"1006 "
"12 ";"1/2'' ";"1. 3/16''-12 ";"35,0 ";"9,5 ";"36 ";"FORFS-1. 3/16''-DN 12 ";"33 ";"";"1007 "
"16 ";"5/8'' ";"1. 3/16''-12 ";"33,0 ";"12,5 ";"36 ";"FORFS-1. 3/16''-DN 16 ";"33,8 ";"";"1008 "
"19 ";"3/4'' ";"1. 3/16''-12 ";"37,0 ";"14,5 ";"36 ";"FORFS-1. 3/16''-DN 19 ";"33 ";"";"1009 "
"19 ";"3/4'' ";"1. 7/16''-23 ";"40,0 ";"14,5 ";"41 ";"FORFS-1. 7/16''-DN 19 ";"69 ";"";"1010 "
"25 ";"1'' ";"1. 7/16''-12 ";"39,5 ";"20,0 ";"41 ";"FORFS-1. 7/16''-DN 25 ";"48 ";"";"1011 "
"31 ";"1 1/4'' ";"1. 11/16''-12 ";"38,0 ";"25,5 ";"50 ";"FORFS-1. 11/16''-DN 31 ";"82,2 ";"";"1012 "
"38 ";"1 1/2'' ";"2''-12 ";"39,0 ";"31,5 ";"60 ";"FORFS-2''-DN 38 ";"100,3 ";"";"1013 "
