"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 ";"12,0 ";"34,5 ";"26,0 ";"19,0 ";"8 ";"14 ";"12 ";"14 ";"EVL-L-06-M 10x1-OMD ";"29,12 ";"L ";"7452 "
"315 ";"8 ";"M 12 x 1,5 ";"14,0 ";"37,5 ";"27,5 ";"21,0 ";"12 ";"17 ";"12 ";"17 ";"EVL-L-08-M 12x1,5-OMD ";"32,76 ";"L ";"7453 "
"315 ";"10 ";"M 14 x 1,5 ";"15,0 ";"40,0 ";"29,0 ";"22,0 ";"12 ";"19 ";"14 ";"19 ";"EVL-L-10-M 14x1,5-OMD ";"35,73 ";"L ";"7454 "
"315 ";"12 ";"M 16 x 1,5 ";"17,0 ";"42,0 ";"29,5 ";"24,0 ";"12 ";"22 ";"17 ";"22 ";"EVL-L-12-M 16x1,5-OMD ";"43,01 ";"L ";"7455 "
"315 ";"15 ";"M 18 x 1,5 ";"21,0 ";"46,0 ";"32,5 ";"28,0 ";"12 ";"24 ";"19 ";"27 ";"EVL-L-15-M 18x1,5-OMD ";"56,79 ";"L ";"7456 "
"315 ";"18 ";"M 22 x 1,5 ";"23,5 ";"50,0 ";"35,5 ";"31,0 ";"14 ";"27 ";"24 ";"32 ";"EVL-L-18-M 22x1,5-OMD ";"89,39 ";"L ";"7457 "
"160 ";"22 ";"M 26 x 1,5 ";"27,5 ";"55,0 ";"38,5 ";"35,0 ";"16 ";"32 ";"27 ";"36 ";"EVL-L-22-M 26x1,5-OMD ";"95,98 ";"L ";"7458 "
"160 ";"28 ";"M 33 x 2 ";"30,5 ";"61,0 ";"43,5 ";"38,0 ";"18 ";"41 ";"36 ";"41 ";"EVL-L-28-M 33x2-OMD ";"169,94 ";"L ";"7459 "
"160 ";"35 ";"M 42 x 2 ";"34,5 ";"71,5 ";"54,0 ";"45,0 ";"20 ";"50 ";"41 ";"50 ";"EVL-L-35-M 42x2-OMD ";"243,44 ";"L ";"7460 "
"160 ";"42 ";"M 48 x 2 ";"40,0 ";"75,0 ";"56,0 ";"51,0 ";"22 ";"55 ";"50 ";"60 ";"EVL-L-42-M 48x2-OMD ";"321,64 ";"L ";"7461 "
"630 ";"6 ";"M 12 x 1,5 ";"16,0 ";"40,0 ";"27,0 ";"23,0 ";"12 ";"17 ";"12 ";"17 ";"EVL-S-06-M 12x1,5-OMD ";"33,1 ";"S ";"7462 "
"630 ";"8 ";"M 14 x 1,5 ";"17,0 ";"42,5 ";"27,5 ";"24,0 ";"12 ";"19 ";"14 ";"19 ";"EVL-S-08-M 14x1,5-OMD ";"37,16 ";"S ";"7463 "
"630 ";"10 ";"M 16 x 1,5 ";"17,5 ";"45,0 ";"30,0 ";"25,0 ";"12 ";"22 ";"17 ";"22 ";"EVL-S-10-M 16x1,5-OMD ";"46,14 ";"S ";"7464 "
"630 ";"12 ";"M 18 x 1,5 ";"21,5 ";"48,0 ";"31,0 ";"29,0 ";"12 ";"24 ";"17 ";"24 ";"EVL-S-12-M 18x1,5-OMD ";"50,67 ";"S ";"7465 "
"630 ";"14 ";"M 20 x 1,5 ";"22,0 ";"54,0 ";"35,0 ";"30,0 ";"14 ";"27 ";"19 ";"27 ";"EVL-S-14-M 20x1,5-OMD ";"58,89 ";"S ";"7466 "
"400 ";"16 ";"M 22 x 1,5 ";"24,5 ";"55,0 ";"36,5 ";"33,0 ";"14 ";"27 ";"24 ";"30 ";"EVL-S-16-M 22x1,5-OMD ";"90,93 ";"S ";"7467 "
"400 ";"20 ";"M 27 x 2 ";"26,5 ";"65,0 ";"44,5 ";"37,0 ";"16 ";"32 ";"27 ";"36 ";"EVL-S-20-M 27x2-OMD ";"112,08 ";"S ";"7468 "
"400 ";"25 ";"M 33 x 2 ";"30,0 ";"73,0 ";"50,0 ";"42,0 ";"18 ";"41 ";"36 ";"46 ";"EVL-S-25-M 33x2-OMD ";"177,68 ";"S ";"7469 "
"400 ";"30 ";"M 42 x 2 ";"35,5 ";"78,5 ";"55,0 ";"49,0 ";"20 ";"50 ";"41 ";"50 ";"EVL-S-30-M 42x2-OMD ";"217,28 ";"S ";"7470 "
"250 ";"38 ";"M 48 x 2 ";"41,0 ";"89,0 ";"63,0 ";"57,0 ";"22 ";"55 ";"50 ";"60 ";"EVL-S-38-M 48x2-OMD ";"311,91 ";"S ";"7471 "
