"Schlauch  Hose  DN";"DN  Bore  in.";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"1/4'' = 6,35 mm ";"31,0 ";"4,0 ";"22,0 ";"BE-1/4''-DN 06 ";"7,9 ";"";"347 "
"06 ";"1/4'' ";"3/8'' = 9,52 mm ";"33,5 ";"4,0 ";"24,0 ";"BE-3/8''-DN 06 ";"8,7 ";"";"349 "
"10 ";"3/8'' ";"3/8'' = 9,52 mm ";"34,0 ";"7,0 ";"25,0 ";"BE-3/8''-DN 10 ";"8,7 ";"";"350 "
"08 ";"5/16'' ";"5/16'' = 7,94 mm ";"31,5 ";"5,5 ";"23,0 ";"BE-5/16''-DN 08 ";"7,9 ";"";"348 "
"10 ";"3/8'' ";"1/2'' = 12,70 mm ";"39,0 ";"7,0 ";"30,0 ";"BE-1/2''-DN 10 ";"10,2 ";"";"351 "
"12 ";"1/2'' ";"1/2'' = 12,70 mm ";"38,5 ";"9,5 ";"30,0 ";"BE-1/2''-DN 12 ";"10,2 ";"";"352 "
"16 ";"5/8'' ";"5/8'' = 15,88 mm ";"45,0 ";"12,5 ";"36,0 ";"BE-5/8''-DN 16 ";"13,5 ";"";"353 "
"19 ";"3/4'' ";"3/4'' = 19,05 mm ";"51,0 ";"14,5 ";"40,0 ";"BE-3/4''-DN 19 ";"15,9 ";"";"354 "
"25 ";"1'' ";"1'' = 25,40 mm ";"56,0 ";"20,0 ";"44,0 ";"BE-1''-DN 25 ";"18,95 ";"";"355 "
"31 ";"1 1/4'' ";"1 1/4'' = 31,75 mm ";"62,0 ";"25,5 ";"50,0 ";"BE-1 1/4''-DN 31 ";"35,9 ";"";"356 "
"38 ";"1 1/2'' ";"1 1/2'' = 38,10 mm ";"62,0 ";"31,5 ";"50,0 ";"BE-1 1/2''-DN 38 ";"39,9 ";"";"357 "
