"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"19 ";"3/4'' ";"3/4''-14 ";"32 ";"14,5 ";"32 ";"17,0 x 1,5 ";"I-DKOR-3/4''-DN 19 ";"29,75 ";"";"1213 "
"25 ";"1'' ";"1''-11 ";"39 ";"20,0 ";"41 ";"22,0 x 1,0 ";"I-DKOR-1''-DN 25 ";"47,5 ";"";"1214 "
"31 ";"1 1/4'' ";"1 1/4''-11 ";"42 ";"25,0 ";"50 ";"29,0 x 1,5 ";"I-DKOR-1 1/4''-DN 31 ";"77,5 ";"";"1215 "
"38 ";"1 1/2'' ";"1 1/2''-11 ";"40 ";"31,5 ";"60 ";"34,0 x 1,5 ";"I-DKOR-1 1/2''-DN 38 ";"99,95 ";"";"1216 "
"51 ";"2'' ";"2''-11 ";"39 ";"42,0 ";"70 ";"48,0 x 1,5 ";"I-DKOR-2''-DN 51 ";"187,5 ";"";"1217 "
