"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"27 ";"12,0 ";"12 ";"14 ";"KV-L-06-SC ";"41,88 ";"L ";"3331 "
"315 ";"8 ";"29 ";"14,0 ";"12 ";"17 ";"KV-L-08-SC ";"46,14 ";"L ";"3332 "
"315 ";"10 ";"30 ";"15,0 ";"14 ";"19 ";"KV-L-10-SC ";"58,51 ";"L ";"3333 "
"315 ";"12 ";"32 ";"17,0 ";"17 ";"22 ";"KV-L-12-SC ";"62,65 ";"L ";"3334 "
"315 ";"15 ";"36 ";"21,0 ";"19 ";"27 ";"KV-L-15-SC ";"82,09 ";"L ";"3335 "
"315 ";"18 ";"40 ";"23,5 ";"24 ";"32 ";"KV-L-18-SC ";"119,05 ";"L ";"3336 "
"160 ";"22 ";"44 ";"27,5 ";"27 ";"36 ";"KV-L-22-SC ";"158,38 ";"L ";"3337 "
"160 ";"28 ";"47 ";"30,5 ";"36 ";"41 ";"KV-L-28-SC ";"216,1 ";"L ";"3338 "
"160 ";"35 ";"56 ";"34,5 ";"41 ";"50 ";"KV-L-35-SC ";"283,31 ";"L ";"3339 "
"160 ";"42 ";"63 ";"40,0 ";"50 ";"60 ";"KV-L-42-SC ";"431,43 ";"L ";"3340 "
"630 ";"6 ";"31 ";"16,0 ";"12 ";"17 ";"KV-S-06-SC ";"46,75 ";"S ";"3341 "
"630 ";"8 ";"32 ";"17,0 ";"14 ";"19 ";"KV-S-08-SC ";"59,46 ";"S ";"3342 "
"630 ";"10 ";"34 ";"17,5 ";"17 ";"22 ";"KV-S-10-SC ";"66,15 ";"S ";"3343 "
"630 ";"12 ";"38 ";"21,5 ";"17 ";"24 ";"KV-S-12-SC ";"78,52 ";"S ";"3344 "
"630 ";"14 ";"40 ";"22,0 ";"19 ";"27 ";"KV-S-14-SC ";"85,49 ";"S ";"3345 "
"400 ";"16 ";"43 ";"24,5 ";"24 ";"30 ";"KV-S-16-SC ";"113,92 ";"S ";"3346 "
"400 ";"20 ";"48 ";"26,5 ";"27 ";"36 ";"KV-S-20-SC ";"157,33 ";"S ";"3347 "
"400 ";"25 ";"54 ";"30,0 ";"36 ";"46 ";"KV-S-25-SC ";"258,45 ";"S ";"3348 "
"400 ";"30 ";"62 ";"35,5 ";"41 ";"50 ";"KV-S-30-SC ";"288,14 ";"S ";"3349 "
"315 ";"38 ";"72 ";"41,0 ";"50 ";"60 ";"KV-S-38-SC ";"487,84 ";"S ";"3350 "
