"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 12 x 1,5 ";"24 ";"9,0 ";"26,0 ";"14 ";"14 ";"EV-DKOL-06-SC ";"32,18 ";"L ";"11325 "
"500 ";"8 ";"M 14 x 1,5 ";"27 ";"12,0 ";"27,5 ";"14 ";"17 ";"EV-DKOL-08-SC ";"35,57 ";"L ";"11326 "
"500 ";"10 ";"M 16 x 1,5 ";"27 ";"12,0 ";"29,0 ";"19 ";"19 ";"EV-DKOL-10-SC ";"43,39 ";"L ";"11327 "
"400 ";"12 ";"M 18 x 1,5 ";"29 ";"14,0 ";"29,5 ";"19 ";"22 ";"EV-DKOL-12-SC ";"50,85 ";"L ";"11328 "
"400 ";"15 ";"M 22 x 1,5 ";"32 ";"17,0 ";"32,5 ";"22 ";"27 ";"EV-DKOL-15-SC ";"53,56 ";"L ";"11329 "
"400 ";"18 ";"M 26 x 1,5 ";"33 ";"16,5 ";"35,5 ";"27 ";"32 ";"EV-DKOL-18-SC ";"104,45 ";"L ";"11330 "
"250 ";"22 ";"M 30 x 2 ";"35 ";"18,5 ";"38,5 ";"30 ";"36 ";"EV-DKOL-22-SC ";"133,64 ";"L ";"11331 "
"250 ";"28 ";"M 36 x 2 ";"40 ";"23,0 ";"41,5 ";"36 ";"41 ";"EV-DKOL-28-SC ";"184,96 ";"L ";"11332 "
"250 ";"35 ";"M 45 x 2 ";"48 ";"26,5 ";"51,0 ";"50 ";"50 ";"EV-DKOL-35-SC ";"264,65 ";"L ";"11333 "
"250 ";"42 ";"M 52 x 2 ";"49 ";"26,0 ";"56,0 ";"50 ";"60 ";"EV-DKOL-42-SC ";"389,52 ";"L ";"11334 "
"800 ";"6 ";"M 14 x 1,5 ";"24 ";"9,0 ";"27,0 ";"14 ";"17 ";"EV-DKOS-06-SC ";"35,56 ";"S ";"11335 "
"800 ";"8 ";"M 16 x 1,5 ";"27 ";"12,0 ";"27,5 ";"19 ";"19 ";"EV-DKOS-08-SC ";"43,24 ";"S ";"11336 "
"800 ";"10 ";"M 18 x 1,5 ";"30 ";"13,5 ";"30,0 ";"19 ";"22 ";"EV-DKOS-10-SC ";"50,91 ";"S ";"11337 "
"630 ";"12 ";"M 20 x 1,5 ";"33 ";"16,5 ";"31,0 ";"22 ";"24 ";"EV-DKOS-12-SC ";"52,5 ";"S ";"11338 "
"630 ";"16 ";"M 24 x 1,5 ";"34 ";"15,5 ";"36,5 ";"27 ";"30 ";"EV-DKOS-16-SC ";"101,09 ";"S ";"11339 "
"420 ";"20 ";"M 30 x 2 ";"38 ";"16,0 ";"44,5 ";"30 ";"36 ";"EV-DKOS-20-SC ";"134,05 ";"S ";"11340 "
"420 ";"25 ";"M 36 x 2 ";"43 ";"18,5 ";"50,0 ";"36 ";"46 ";"EV-DKOS-25-SC ";"194,58 ";"S ";"11341 "
"420 ";"30 ";"M 42 x 2 ";"50 ";"23,5 ";"55,0 ";"50 ";"50 ";"EV-DKOS-30-SC ";"267,57 ";"S ";"11342 "
"420 ";"38 ";"M 52 x 2 ";"52 ";"21,0 ";"63,0 ";"50 ";"60 ";"EV-DKOS-38-SC ";"459,33 ";"S ";"11343 "
