"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 10 x 1 ";"12,0 ";"24,0 ";"19,0 ";"17 ";"18 ";"WHV-L-06-M 10x1-WDS-OMD ";"88,32 ";"L ";"10920 "
"400 ";"8 ";"M 12 x 1,5 ";"14,5 ";"30,0 ";"22,5 ";"19 ";"22 ";"WHV-L-08-M 12x1,5-WDS-OMD ";"112,04 ";"L ";"10921 "
"350 ";"10 ";"M 14 x 1,5 ";"15,5 ";"30,0 ";"22,5 ";"19 ";"22 ";"WHV-L-10-M 14x1,5-WDS-OMD ";"100,04 ";"L ";"10922 "
"315 ";"12 ";"M 16 x 1,5 ";"18,0 ";"36,0 ";"25,5 ";"24 ";"27 ";"WHV-L-12-M 16x1,5-WDS-OMD ";"114,13 ";"L ";"10923 "
"315 ";"15 ";"M 18 x 1,5 ";"20,5 ";"39,5 ";"27,5 ";"27 ";"30 ";"WHV-L-15-M 18x1,5-WDS-OMD ";"141,94 ";"L ";"10924 "
"315 ";"18 ";"M 22 x 1,5 ";"21,0 ";"45,0 ";"28,5 ";"30 ";"32 ";"WHV-L-18-M 22x1,5-WDS-OMD ";"176,93 ";"L ";"10925 "
"200 ";"22 ";"M 26 x 1,5 ";"27,5 ";"53,0 ";"35,0 ";"36 ";"40 ";"WHV-L-22-M 26x1,5-WDS-OMD ";"269,73 ";"L ";"10926 "
"200 ";"28 ";"M 33 x 2 ";"32,0 ";"66,0 ";"39,5 ";"46 ";"50 ";"WHV-L-28-M 33x2-WDS-OMD ";"425,23 ";"L ";"10927 "
"200 ";"35 ";"M 42 x 2 ";"36,0 ";"76,0 ";"46,5 ";"55 ";"60 ";"WHV-L-35-M 42x2-WDS-OMD ";"637,42 ";"L ";"10928 "
"200 ";"42 ";"M 48 x 2 ";"40,5 ";"87,0 ";"51,0 ";"60 ";"70 ";"WHV-L-42-M 48x2-WDS-OMD ";"912,73 ";"L ";"10929 "
"100 ";"6 ";"M 10 x 1 ";"11,5 ";"24,0 ";"17,0 ";"17 ";"18 ";"WHV-LL-06-M 10x1-WDS-OMD ";"88,87 ";"LL ";"10918 "
"100 ";"8 ";"M 10 x 1 ";"12,5 ";"24,0 ";"18,0 ";"17 ";"18 ";"WHV-LL-08-M 10x1-WDS-OMD ";"88,41 ";"LL ";"10919 "
"500 ";"6 ";"M 12 x 1,5 ";"16,5 ";"30,0 ";"22,5 ";"19 ";"22 ";"WHV-S-06-M 12x1,5-WDS-OMD ";"112,05 ";"S ";"10930 "
"450 ";"8 ";"M 14 x 1,5 ";"16,5 ";"30,0 ";"22,5 ";"19 ";"22 ";"WHV-S-08-M 14x1,5-WDS-OMD ";"103,11 ";"S ";"10931 "
"400 ";"10 ";"M 16 x 1,5 ";"18,5 ";"36,0 ";"25,5 ";"24 ";"27 ";"WHV-S-10-M 16x1,5-WDS-OMD ";"116,64 ";"S ";"10932 "
"400 ";"12 ";"M 18 x 1,5 ";"20,0 ";"39,5 ";"27,5 ";"27 ";"30 ";"WHV-S-12-M 18x1,5-WDS-OMD ";"132,41 ";"S ";"10933 "
"400 ";"16 ";"M 22 x 1,5 ";"22,0 ";"45,0 ";"30,5 ";"30 ";"32 ";"WHV-S-16-M 22x1,5-WDS-OMD ";"192,67 ";"S ";"10935 "
"400 ";"20 ";"M 27 x 2 ";"26,5 ";"53,0 ";"37,0 ";"36 ";"40 ";"WHV-S-20-M 27x2-WDS-OMD ";"290,05 ";"S ";"10936 "
"250 ";"25 ";"M 33 x 2 ";"31,5 ";"66,0 ";"43,5 ";"46 ";"50 ";"WHV-S-25-M 33x2-WDS-OMD ";"406,12 ";"S ";"10937 "
"250 ";"30 ";"M 42 x 2 ";"37,0 ";"76,0 ";"51,0 ";"55 ";"60 ";"WHV-S-30-M 42x2-WDS-OMD ";"655,55 ";"S ";"10938 "
"250 ";"38 ";"M 48 x 2 ";"41,5 ";"87,0 ";"57,0 ";"60 ";"70 ";"WHV-S-38-M 48x2-WDS-OMD ";"949,26 ";"S ";"10939 "
