"Schlauch  Hose  DN";"DN  Bore  in.";"Ca. Maße  Approx. Dimensions  D";"Ca. Maße  Approx. Dimensions  L";"Für Schlauchtyp  For Hose Type  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"19 ";"3/4'' ";"38,0 ";"56 ";"R 13 ";"P6-I-DN 19 ";"25,2 ";"";"1088 "
"25 ";"1'' ";"46,0 ";"75 ";"R 13 ";"P6-I-DN 25 ";"32,22 ";"";"1089 "
"31 ";"1 1/4'' ";"60,0 ";"85 ";"R 13 ";"P6-I-DN 31 ";"49,15 ";"";"1090 "
"38 ";"1 1/2'' ";"70,0 ";"100 ";"R 13 ";"P6-I-DN 38 ";"74,35 ";"";"1091 "
"51 ";"2'' ";"84,5 ";"103 ";"R 13 ";"P6-I-DN 51 ";"119,99 ";"";"1092 "
