"Druck  Pressure  PB";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"6 ";"M 10 x 1 ";"41 ";"26,5 ";"8 ";"17 ";"17 ";"14 ";"RZ-L-06-M 10x1-wd ";"53,69 ";"L ";"7490 "
"250 ";"8 ";"M 12 x 1,5 ";"43 ";"28,5 ";"12 ";"19 ";"17 ";"17 ";"RZ-L-08-M 12x1,5-wd ";"58,8 ";"L ";"7491 "
"250 ";"10 ";"M 14 x 1,5 ";"53 ";"38,5 ";"12 ";"24 ";"22 ";"19 ";"RZ-L-10-M 14x1,5-wd ";"69,03 ";"L ";"7492 "
"250 ";"12 ";"M 16 x 1,5 ";"55 ";"40,5 ";"12 ";"30 ";"27 ";"22 ";"RZ-L-12-M 16x1,5-wd ";"81,81 ";"L ";"7493 "
"250 ";"15 ";"M 18 x 1,5 ";"58 ";"42,5 ";"12 ";"30 ";"27 ";"27 ";"RZ-L-15-M 18x1,5-wd ";"92,03 ";"L ";"7494 "
"160 ";"18 ";"M 22 x 1,5 ";"64 ";"48,0 ";"14 ";"36 ";"36 ";"32 ";"RZ-L-18-M 22x1,5-wd ";"120,16 ";"L ";"7495 "
"160 ";"22 ";"M 26 x 1,5 ";"72 ";"56,0 ";"16 ";"46 ";"41 ";"36 ";"RZ-L-22-M 26x1,5-wd ";"171,8 ";"L ";"7496 "
"100 ";"28 ";"M 33 x 2 ";"81 ";"64,0 ";"18 ";"55 ";"50 ";"41 ";"RZ-L-28-M 33x2-wd ";"232,64 ";"L ";"7497 "
"100 ";"35 ";"M 42 x 2 ";"92 ";"70,0 ";"20 ";"60 ";"60 ";"50 ";"RZ-L-35-M 42x2-wd ";"334,9 ";"L ";"7498 "
"100 ";"42 ";"M 48 x 2 ";"104 ";"71,5 ";"22 ";"70 ";"65 ";"60 ";"RZ-L-42-M 48x2-wd ";"472,95 ";"L ";"7499 "
"630 ";"6 ";"M 12 x 1,5 ";"46 ";"31,5 ";"12 ";"19 ";"19 ";"17 ";"RZ-S-06-M 12x1,5-wd ";"58,8 ";"S ";"7500 "
"630 ";"8 ";"M 14 x 1,5 ";"46 ";"31,5 ";"12 ";"22 ";"19 ";"19 ";"RZ-S-08-M 14x1,5-wd ";"61,36 ";"S ";"7501 "
"630 ";"10 ";"M 16 x 1,5 ";"54 ";"38,0 ";"12 ";"27 ";"24 ";"22 ";"RZ-S-10-M 16x1,5-wd ";"71,58 ";"S ";"7502 "
"630 ";"12 ";"M 18 x 1,5 ";"57 ";"41,0 ";"12 ";"30 ";"27 ";"24 ";"RZ-S-12-M 18x1,5-wd ";"76,69 ";"S ";"7503 "
"630 ";"14 ";"M 20 x 1,5 ";"61 ";"43,5 ";"14 ";"32 ";"27 ";"27 ";"RZ-S-14-M 20x1,5-wd ";"86,92 ";"S ";"7504 "
"400 ";"16 ";"M 22 x 1,5 ";"64 ";"46,0 ";"14 ";"36 ";"32 ";"30 ";"RZ-S-16-M 22x1,5-wd ";"104,82 ";"S ";"7505 "
"400 ";"20 ";"M 27 x 2 ";"72 ";"50,0 ";"16 ";"46 ";"41 ";"36 ";"RZ-S-20-M 27x2-wd ";"166,17 ";"S ";"7506 "
"400 ";"25 ";"M 33 x 2 ";"79 ";"54,5 ";"18 ";"50 ";"46 ";"46 ";"RZ-S-25-M 33x2-wd ";"212,19 ";"S ";"7507 "
"250 ";"30 ";"M 42 x 2 ";"91 ";"64,0 ";"20 ";"60 ";"55 ";"50 ";"RZ-S-30-M 42x2-wd ";"306,78 ";"S ";"7508 "
"250 ";"38 ";"M 48 x 2 ";"102 ";"71,5 ";"22 ";"70 ";"65 ";"60 ";"RZ-S-38-M 48x2-wd ";"414,15 ";"S ";"7509 "
