"Schlauch  Hose  DN";"DN  Bore  in.";"Flanschgrˆﬂe  Flange Dimensions  D";"Flanschgrˆﬂe  Flange Dimensions  in.";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"19 ";"3/4'' ";"38,1 ";"3/4'' ";"87,0 ";"38,0 ";"14,5 ";"I-SFL3-3/4''-45∞-DN 19 ";"85 ";"3.000 P.S.I. ";"1116 "
"19 ";"3/4'' ";"44,5 ";"1'' ";"89,0 ";"39,5 ";"14,5 ";"I-SFL3-1''-45∞-DN 19 ";"105 ";"3.000 P.S.I. ";"1117 "
"25 ";"1'' ";"44,5 ";"1'' ";"92,0 ";"39,0 ";"20,0 ";"I-SFL3-1''-45∞-DN 25 ";"98 ";"3.000 P.S.I. ";"1118 "
"25 ";"1'' ";"50,8 ";"1 1/4'' ";"117,0 ";"44,0 ";"20,0 ";"I-SFL3-1 1/4''-45∞-DN 25 ";"180 ";"3.000 P.S.I. ";"1119 "
"31 ";"1 1/4'' ";"50,8 ";"1 1/4'' ";"110,0 ";"45,0 ";"25,0 ";"I-SFL3-1 1/4''-45∞-DN 31 ";"170 ";"3.000 P.S.I. ";"1120 "
"31 ";"1 1/4'' ";"60,3 ";"1 1/2'' ";"137,0 ";"46,0 ";"25,0 ";"I-SFL3-1 1/2''-45∞-DN 31 ";"235 ";"3.000 P.S.I. ";"1121 "
"38 ";"1 1/2'' ";"60,3 ";"1 1/2'' ";"133,0 ";"49,0 ";"31,0 ";"I-SFL3-1 1/2''-45∞-DN 38 ";"215,5 ";"3.000 P.S.I. ";"1122 "
"38 ";"1 1/2'' ";"71,4 ";"2'' ";"141,5 ";"60,0 ";"31,0 ";"I-SFL3-2''-45∞-DN 38 ";"430 ";"3.000 P.S.I. ";"1123 "
"51 ";"2'' ";"71,4 ";"2'' ";"155,0 ";"65,0 ";"41,0 ";"I-SFL3-2''-45∞-DN 51 ";"410 ";"3.000 P.S.I. ";"1124 "
"19 ";"3/4'' ";"41,3 ";"3/4'' ";"86,0 ";"34,0 ";"14,5 ";"I-SFS6-3/4''-45∞-DN 19 ";"85 ";"6.000 P.S.I. ";"1125 "
"25 ";"1'' ";"41,3 ";"3/4'' ";"89,5 ";"41,0 ";"19,0 ";"I-SFS6-3/4''-45∞-DN 25 ";"174,5 ";"6.000 P.S.I. ";"1126 "
"19 ";"3/4'' ";"47,6 ";"1'' ";"90,0 ";"40,0 ";"14,5 ";"I-SFS6-1''-45∞-DN 19 ";"115 ";"6.000 P.S.I. ";"1127 "
"25 ";"1'' ";"47,6 ";"1'' ";"92,0 ";"40,0 ";"20,0 ";"I-SFS6-1''-45∞-DN 25 ";"98 ";"6.000 P.S.I. ";"1128 "
"25 ";"1'' ";"54,0 ";"1 1/4'' ";"120,0 ";"44,0 ";"20,0 ";"I-SFS6-1 1/4''-45∞-DN 25 ";"180 ";"6.000 P.S.I. ";"1129 "
"31 ";"1 1/4'' ";"54,0 ";"1 1/4'' ";"110,0 ";"46,0 ";"25,0 ";"I-SFS6-1 1/4''-45∞-DN 31 ";"170 ";"6.000 P.S.I. ";"1130 "
"31 ";"1 1/4'' ";"63,5 ";"1 1/2'' ";"137,0 ";"48,0 ";"25,0 ";"I-SFS6-1 1/2''-45∞-DN 31 ";"235 ";"6.000 P.S.I. ";"1131 "
"38 ";"1 1/2'' ";"63,5 ";"1 1/2'' ";"133,0 ";"48,0 ";"31,0 ";"I-SFS6-1 1/2''-45∞-DN 38 ";"215,5 ";"6.000 P.S.I. ";"1132 "
"38 ";"1 1/2'' ";"79,4 ";"2'' ";"143,0 ";"65,0 ";"31,0 ";"I-SFS6-2''-45∞-DN 38 ";"430 ";"6.000 P.S.I. ";"1133 "
"51 ";"2'' ";"79,4 ";"2'' ";"155,0 ";"65,0 ";"41,0 ";"I-SFS6-2''-45∞-DN 51 ";"410 ";"6.000 P.S.I. ";"1134 "
