"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"1/4'' NPT ";"16,0 ";"26,0 ";"23,0 ";"15,0 ";"12 ";"WE-S-06-1/4''-NPT-OMD ";"15,23 ";"S ";"5399 "
"630 ";"6 ";"3/8'' NPT ";"17,5 ";"27,0 ";"22,0 ";"15,3 ";"14 ";"WE-S-06-3/8''-NPT-OMD ";"19,81 ";"S ";"5400 "
"630 ";"6 ";"1/2'' NPT ";"21,0 ";"34,0 ";"29,0 ";"20,0 ";"17 ";"WE-S-06-1/2''-NPT-OMD ";"30,57 ";"S ";"5401 "
"630 ";"8 ";"1/4'' NPT ";"17,0 ";"27,0 ";"24,0 ";"15,0 ";"14 ";"WE-S-08-1/4''-NPT-OMD ";"18,53 ";"S ";"5402 "
"630 ";"8 ";"3/8'' NPT ";"18,0 ";"28,0 ";"24,0 ";"15,3 ";"14 ";"WE-S-08-3/8''-NPT-OMD ";"19,99 ";"S ";"5403 "
"630 ";"8 ";"1/2'' NPT ";"23,0 ";"34,0 ";"28,0 ";"20,0 ";"17 ";"WE-S-08-1/2''-NPT-OMD ";"29,6 ";"S ";"5404 "
"630 ";"10 ";"1/4'' NPT ";"17,5 ";"28,0 ";"25,0 ";"15,0 ";"17 ";"WE-S-10-1/4''-NPT-OMD ";"22,65 ";"S ";"5405 "
"630 ";"10 ";"3/8'' NPT ";"17,5 ";"28,0 ";"25,0 ";"15,3 ";"17 ";"WE-S-10-3/8''-NPT-OMD ";"19,58 ";"S ";"5406 "
"630 ";"10 ";"1/2'' NPT ";"22,5 ";"32,0 ";"30,0 ";"20,0 ";"17 ";"WE-S-10-1/2''-NPT-OMD ";"27,86 ";"S ";"5407 "
"630 ";"12 ";"1/4'' NPT ";"21,5 ";"29,0 ";"29,0 ";"15,0 ";"17 ";"WE-S-12-1/4''-NPT-OMD ";"25,15 ";"S ";"5408 "
"630 ";"12 ";"3/8'' NPT ";"21,5 ";"28,0 ";"29,0 ";"15,3 ";"17 ";"WE-S-12-3/8''-NPT-OMD ";"24,36 ";"S ";"5409 "
"630 ";"12 ";"1/2'' NPT ";"21,5 ";"32,5 ";"29,0 ";"20,0 ";"17 ";"WE-S-12-1/2''-NPT-OMD ";"27,61 ";"S ";"5410 "
"630 ";"14 ";"3/8'' NPT ";"22,0 ";"30,0 ";"30,0 ";"15,3 ";"19 ";"WE-S-14-3/8''-NPT-OMD ";"26,46 ";"S ";"5411 "
"630 ";"14 ";"1/2'' NPT ";"22,0 ";"34,0 ";"30,0 ";"20,0 ";"19 ";"WE-S-14-1/2''-NPT-OMD ";"26,71 ";"S ";"5412 "
"400 ";"16 ";"3/8'' NPT ";"24,5 ";"32,0 ";"33,0 ";"15,3 ";"24 ";"WE-S-16-3/8''-NPT-OMD ";"37,55 ";"S ";"5413 "
"400 ";"16 ";"1/2'' NPT ";"24,5 ";"36,0 ";"33,0 ";"20,0 ";"24 ";"WE-S-16-1/2''-NPT-OMD ";"36,25 ";"S ";"5414 "
"400 ";"16 ";"3/4'' NPT ";"24,5 ";"41,0 ";"33,0 ";"20,0 ";"24 ";"WE-S-16-3/4''-NPT-OMD ";"42,52 ";"S ";"5415 "
"400 ";"20 ";"1/2'' NPT ";"26,5 ";"42,0 ";"37,0 ";"20,0 ";"27 ";"WE-S-20-1/2''-NPT-OMD ";"41,57 ";"S ";"5416 "
"400 ";"20 ";"3/4'' NPT ";"26,5 ";"42,0 ";"37,0 ";"20,0 ";"27 ";"WE-S-20-3/4''-NPT-OMD ";"41,57 ";"S ";"5417 "
"400 ";"25 ";"1'' NPT ";"30,0 ";"48,0 ";"42,0 ";"25,0 ";"36 ";"WE-S-25-1''-NPT-OMD ";"96,42 ";"S ";"5418 "
"400 ";"30 ";"1 1/4'' NPT ";"35,5 ";"54,0 ";"49,0 ";"25,5 ";"41 ";"WE-S-30-1 1/4''-NPT-OMD ";"145,29 ";"S ";"5419 "
"315 ";"38 ";"1 1/2'' NPT ";"41,0 ";"61,0 ";"57,0 ";"26,0 ";"50 ";"WE-S-38-1 1/2''-NPT-OMD ";"195,72 ";"S ";"5420 "
