"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"10 ";"24 ";"12 ";"GV-L-06-OMD ";"3,41 ";"L ";"2648 "
"500 ";"8 ";"11 ";"25 ";"14 ";"GV-L-08-OMD ";"4,42 ";"L ";"2649 "
"500 ";"10 ";"13 ";"27 ";"17 ";"GV-L-10-OMD ";"5,68 ";"L ";"2650 "
"400 ";"12 ";"14 ";"28 ";"19 ";"GV-L-12-OMD ";"6,46 ";"L ";"2651 "
"400 ";"15 ";"16 ";"30 ";"24 ";"GV-L-15-OMD ";"8,56 ";"L ";"2652 "
"400 ";"18 ";"16 ";"31 ";"27 ";"GV-L-18-OMD ";"10,88 ";"L ";"2653 "
"250 ";"22 ";"20 ";"35 ";"32 ";"GV-L-22-OMD ";"15,99 ";"L ";"2654 "
"250 ";"28 ";"21 ";"36 ";"41 ";"GV-L-28-OMD ";"28,38 ";"L ";"2655 "
"250 ";"35 ";"20 ";"41 ";"46 ";"GV-L-35-OMD ";"34,73 ";"L ";"2656 "
"250 ";"42 ";"21 ";"43 ";"55 ";"GV-L-42-OMD ";"50,11 ";"L ";"2657 "
"100 ";"4 ";"12 ";"20 ";"9 ";"GV-LL-04-OMD ";"5,72 ";"LL ";"2645 "
"100 ";"6 ";"9 ";"20 ";"11 ";"GV-LL-06-OMD ";"6,24 ";"LL ";"2646 "
"100 ";"8 ";"12 ";"23 ";"12 ";"GV-LL-08-OMD ";"6,63 ";"LL ";"2647 "
"100 ";"12 ";"11 ";"23 ";"17 ";"GV-LL-12-OMD ";"11 ";"LL ";"11780 "
"800 ";"6 ";"16 ";"30 ";"14 ";"GV-S-06-OMD ";"4,52 ";"S ";"2658 "
"800 ";"8 ";"18 ";"32 ";"17 ";"GV-S-08-OMD ";"5,56 ";"S ";"2659 "
"800 ";"10 ";"17 ";"32 ";"19 ";"GV-S-10-OMD ";"7,13 ";"S ";"2660 "
"630 ";"12 ";"19 ";"34 ";"22 ";"GV-S-12-OMD ";"7,87 ";"S ";"2661 "
"630 ";"14 ";"22 ";"38 ";"24 ";"GV-S-14-OMD ";"10,22 ";"S ";"2662 "
"630 ";"16 ";"21 ";"38 ";"27 ";"GV-S-16-OMD ";"11,57 ";"S ";"2663 "
"420 ";"20 ";"23 ";"44 ";"32 ";"GV-S-20-OMD ";"18,72 ";"S ";"2664 "
"420 ";"25 ";"26 ";"50 ";"41 ";"GV-S-25-OMD ";"29,13 ";"S ";"2665 "
"420 ";"30 ";"27 ";"54 ";"46 ";"GV-S-30-OMD ";"42,6 ";"S ";"2666 "
"420 ";"38 ";"29 ";"61 ";"55 ";"GV-S-38-OMD ";"56,88 ";"S ";"2667 "
"350 ";"50 ";"34 ";"70 ";"70 ";"GV-S-50-OMD ";"229 ";"S ";"11781 "
