"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"M 12 x 1,5 ";"6 ";"28,0 ";"37,0 ";"3,0 ";"14 ";"4 x 1,5 ";"DKOL-06-90∞-DN 05 ";"24,9 ";"";"191 "
"06 ";"1/4ì ";"M 12 x 1,5 ";"6 ";"28,0 ";"28,5 ";"4,0 ";"14 ";"5 x 1,0 ";"DKOL-06-90∞-DN 06 ";"22,9 ";"";"192 "
"05 ";"3/16'' ";"M 14 x 1,5 ";"8 ";"28,0 ";"28,5 ";"3,0 ";"17 ";"6 x 1,5 ";"DKOL-08-90∞-DN 05 ";"24,5 ";"";"193 "
"06 ";"1/4ì ";"M 14 x 1,5 ";"8 ";"28,5 ";"29,5 ";"4,0 ";"17 ";"6 x 1,5 ";"DKOL-08-90∞-DN 06 ";"22 ";"";"194 "
"08 ";"5/16ì ";"M 14 x 1,5 ";"8 ";"35,0 ";"47,0 ";"4,5 ";"17 ";"6 x 1,5 ";"DKOL-08-90∞-DN 08 ";"25,5 ";"";"195 "
"06 ";"1/4ì ";"M 16 x 1,5 ";"10 ";"28,5 ";"29,5 ";"4,0 ";"19 ";"8 x 1,5 ";"DKOL-10-90∞-DN 06 ";"22,5 ";"";"196 "
"08 ";"5/16ì ";"M 16 x 1,5 ";"10 ";"31,5 ";"39,0 ";"5,5 ";"19 ";"8 x 1,5 ";"DKOL-10-90∞-DN 08 ";"23 ";"";"197 "
"10 ";"3/8ì ";"M 16 x 1,5 ";"10 ";"35,0 ";"37,5 ";"7,0 ";"19 ";"8 x 1,5 ";"DKOL-10-90∞-DN 10 ";"22,5 ";"";"198 "
"06 ";"1/4ì ";"M 18 x 1,5 ";"12 ";"29,0 ";"33,5 ";"4,0 ";"22 ";"10 x 1,5 ";"DKOL-12-90∞-DN 06 ";"26,5 ";"";"199 "
"08 ";"5/16ì ";"M 18 x 1,5 ";"12 ";"34,5 ";"37,0 ";"5,5 ";"22 ";"10 x 1,5 ";"DKOL-12-90∞-DN 08 ";"23,6 ";"";"200 "
"10 ";"3/8ì ";"M 18 x 1,5 ";"12 ";"34,0 ";"38,0 ";"7,0 ";"22 ";"10 x 1,5 ";"DKOL-12-90∞-DN 10 ";"21,3 ";"";"201 "
"12 ";"1/2ì ";"M 18 x 1,5 ";"12 ";"45,0 ";"53,0 ";"8,5 ";"22 ";"10 x 1,5 ";"DKOL-12-90∞-DN 12 ";"27,5 ";"";"202 "
"10 ";"3/8ì ";"M 22 x 1,5 ";"15 ";"42,5 ";"41,5 ";"7,0 ";"27 ";"12 x 2,0 ";"DKOL-15-90∞-DN 10 ";"27,5 ";"";"203 "
"12 ";"1/2ì ";"M 22 x 1,5 ";"15 ";"44,0 ";"43,0 ";"9,5 ";"27 ";"12 x 2,0 ";"DKOL-15-90∞-DN 12 ";"24,2 ";"";"204 "
"12 ";"1/2ì ";"M 26 x 1,5 ";"18 ";"46,5 ";"51,0 ";"9,5 ";"32 ";"15 x 2,0 ";"DKOL-18-90∞-DN 12 ";"35,5 ";"";"205 "
"16 ";"5/8ì ";"M 26 x 1,5 ";"18 ";"56,0 ";"52,0 ";"12,5 ";"32 ";"15 x 2,0 ";"DKOL-18-90∞-DN 16 ";"30,5 ";"";"206 "
"19 ";"3/4'' ";"M 26 x 1,5 ";"18 ";"59,0 ";"70,0 ";"13,0 ";"32 ";"15 x 2,0 ";"DKOL-18-90∞-DN 19 ";"69 ";"";"207 "
"16 ";"5/8ì ";"M 30 x 2 ";"22 ";"57,0 ";"63,5 ";"12,0 ";"36 ";"19 x 2,0 ";"DKOL-22-90∞-DN 16 ";"48,9 ";"";"208 "
"19 ";"3/4ì ";"M 30 x 2 ";"22 ";"61,0 ";"58,0 ";"14,5 ";"36 ";"19 x 2,0 ";"DKOL-22-90∞-DN 19 ";"41,5 ";"";"209 "
"19 ";"3/4ì ";"M 36 x 2 ";"28 ";"70,0 ";"62,5 ";"14,5 ";"41 ";"25 x 2,0 ";"DKOL-28-90∞-DN 19 ";"53,5 ";"";"210 "
"25 ";"1ì ";"M 36 x 2 ";"28 ";"82,0 ";"70,0 ";"20,0 ";"41 ";"25 x 2,0 ";"DKOL-28-90∞-DN 25 ";"46 ";"";"211 "
"31 ";"1 1/4ì ";"M 45 x 2 ";"35 ";"87,0 ";"85,0 ";"25,0 ";"50 ";"32 x 2,5 ";"DKOL-35-90∞-DN 31 ";"100 ";"";"212 "
"38 ";"1 1/2'' ";"M 45 x 2 ";"35 ";"105,0 ";"114,0 ";"28,0 ";"50 ";"32 x 2,5 ";"DKOL-35-90∞-DN 38 ";"193,75 ";"";"213 "
"31 ";"1 1/4'' ";"M 52 x 2 ";"42 ";"101,5 ";"97,0 ";"25,0 ";"60 ";"38 x 2,5 ";"DKOL-42-90∞-DN 31 ";"189 ";"";"214 "
"38 ";"1 1/2ì ";"M 52 x 2 ";"42 ";"104,0 ";"103,0 ";"31,0 ";"60 ";"38 x 2,5 ";"DKOL-42-90∞-DN 38 ";"130 ";"";"11634 "
