"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/8'' ";"12,0 ";"34,5 ";"26,0 ";"19,0 ";"8 ";"14 ";"12 ";"14 ";"EVT-L-06-G 1/8''-OMD ";"29,12 ";"L ";"7212 "
"315 ";"8 ";"G 1/4'' ";"14,0 ";"37,5 ";"27,5 ";"21,0 ";"12 ";"19 ";"12 ";"17 ";"EVT-L-08-G 1/4''-OMD ";"32,35 ";"L ";"7213 "
"315 ";"10 ";"G 1/4'' ";"15,0 ";"40,0 ";"29,0 ";"22,0 ";"12 ";"19 ";"14 ";"19 ";"EVT-L-10-G 1/4''-OMD ";"35,78 ";"L ";"7214 "
"315 ";"12 ";"G 3/8'' ";"17,0 ";"42,0 ";"29,5 ";"24,0 ";"12 ";"22 ";"17 ";"22 ";"EVT-L-12-G 3/8''-OMD ";"40,71 ";"L ";"7215 "
"315 ";"15 ";"G 1/2'' ";"21,0 ";"46,5 ";"32,5 ";"28,0 ";"14 ";"27 ";"19 ";"27 ";"EVT-L-15-G 1/2''-OMD ";"55,36 ";"L ";"7216 "
"315 ";"18 ";"G 1/2'' ";"23,5 ";"50,0 ";"35, ";"31,0 ";"14 ";"27 ";"24 ";"32 ";"EVT-L-18-G 1/2''-OMD ";"72,72 ";"L ";"7217 "
"160 ";"22 ";"G 3/4'' ";"27,5 ";"65,0 ";"38,5 ";"35,0 ";"16 ";"32 ";"27 ";"36 ";"EVT-L-22-G 3/4''-OMD ";"82,02 ";"L ";"7218 "
"160 ";"28 ";"G 1'' ";"30,5 ";"59,0 ";"41,5 ";"38,0 ";"18 ";"41 ";"36 ";"41 ";"EVT-L-28-G 1''-OMD ";"135,32 ";"L ";"7219 "
"160 ";"35 ";"G 1 1/4'' ";"34,5 ";"71,5 ";"54,0 ";"45,0 ";"20 ";"50 ";"41 ";"50 ";"EVT-L-35-G 1 1/4''-OMD ";"212,77 ";"L ";"7220 "
"160 ";"42 ";"G 1 1/2'' ";"40,0 ";"75,0 ";"56,0 ";"51,0 ";"22 ";"55 ";"50 ";"60 ";"EVT-L-42-G 1 1/2''-OMD ";"291,47 ";"L ";"7221 "
"630 ";"6 ";"G 1/4'' ";"16,0 ";"40,0 ";"27,0 ";"23,0 ";"12 ";"19 ";"12 ";"17 ";"EVT-S-06-G 1/4''-OMD ";"30,08 ";"S ";"7222 "
"630 ";"8 ";"G 1/4'' ";"17,0 ";"42,5 ";"27,5 ";"24,0 ";"12 ";"19 ";"14 ";"19 ";"EVT-S-08-G 1/4''-OMD ";"35,04 ";"S ";"7223 "
"630 ";"10 ";"G 3/8'' ";"17,5 ";"45,0 ";"30,0 ";"25,0 ";"12 ";"22 ";"17 ";"22 ";"EVT-S-10-G 3/8''-OMD ";"39,52 ";"S ";"7224 "
"630 ";"12 ";"G 3/8'' ";"21,5 ";"48,0 ";"31,0 ";"29,0 ";"12 ";"22 ";"17 ";"24 ";"EVT-S-12-G 3/8''-OMD ";"41,83 ";"S ";"7225 "
"630 ";"14 ";"G 1/2'' ";"22,0 ";"54,0 ";"35,0 ";"30,0 ";"14 ";"27 ";"19 ";"27 ";"EVT-S-14-G 1/2''-OMD ";"58,05 ";"S ";"7226 "
"400 ";"16 ";"G 1/2'' ";"24,5 ";"55,0 ";"36,5 ";"33,0 ";"14 ";"27 ";"24 ";"30 ";"EVT-S-16-G 1/2''-OMD ";"70,48 ";"S ";"7227 "
"400 ";"20 ";"G 3/4'' ";"26,5 ";"65,0 ";"44,5 ";"37,0 ";"16 ";"32 ";"27 ";"36 ";"EVT-S-20-G 3/4''-OMD ";"96,49 ";"S ";"7228 "
"400 ";"25 ";"G 1'' ";"30,0 ";"73,0 ";"50,0 ";"42,0 ";"18 ";"41 ";"36 ";"46 ";"EVT-S-25-G 1''-OMD ";"146,78 ";"S ";"7229 "
"400 ";"30 ";"G 1 1/4'' ";"35,5 ";"78,5 ";"55,0 ";"49,0 ";"20 ";"50 ";"41 ";"50 ";"EVT-S-30-G 1 1/4''-OMD ";"190,44 ";"S ";"7230 "
"250 ";"38 ";"G 1 1/2'' ";"41,0 ";"89,0 ";"63,0 ";"57,0 ";"22 ";"55 ";"50 ";"60 ";"EVT-S-38-G 1 1/2''-OMD ";"293,5 ";"S ";"7231 "
