"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 12 x 1,5 ";"27 ";"12,0 ";"26,0 ";"12 ";"14 ";"EVT-L-06 ";"30,17 ";"L ";"7112 "
"315 ";"8 ";"M 14 x 1,5 ";"29 ";"14,0 ";"27,5 ";"12 ";"17 ";"EVT-L-08 ";"33,29 ";"L ";"7113 "
"315 ";"10 ";"M 16 x 1,5 ";"30 ";"15,0 ";"29,0 ";"14 ";"19 ";"EVT-L-10 ";"37,48 ";"L ";"7114 "
"315 ";"12 ";"M 18 x 1,5 ";"32 ";"17,0 ";"29,5 ";"17 ";"22 ";"EVT-L-12 ";"42,18 ";"L ";"7115 "
"315 ";"15 ";"M 22 x 1,5 ";"36 ";"21,0 ";"32,5 ";"19 ";"27 ";"EVT-L-15 ";"55,91 ";"L ";"7116 "
"315 ";"18 ";"M 26 x 1,5 ";"40 ";"23,5 ";"35,5 ";"24 ";"32 ";"EVT-L-18 ";"79,25 ";"L ";"7117 "
"160 ";"22 ";"M 30 x 2 ";"44 ";"27,5 ";"38,5 ";"27 ";"36 ";"EVT-L-22 ";"86,92 ";"L ";"7118 "
"160 ";"28 ";"M 36 x 2 ";"47 ";"30,5 ";"41,5 ";"36 ";"41 ";"EVT-L-28 ";"138,05 ";"L ";"7119 "
"160 ";"35 ";"M 45 x 2 ";"56 ";"34,5 ";"54,0 ";"41 ";"50 ";"EVT-L-35 ";"222,42 ";"L ";"7120 "
"160 ";"42 ";"M 52 x 2 ";"63 ";"40,0 ";"56,0 ";"50 ";"60 ";"EVT-L-42 ";"302,18 ";"L ";"7121 "
"630 ";"6 ";"M 14 x 1,5 ";"31 ";"16,0 ";"27,0 ";"12 ";"17 ";"EVT-S-06 ";"31,19 ";"S ";"7122 "
"630 ";"8 ";"M 16 x 1,5 ";"32 ";"17,0 ";"27,5 ";"14 ";"19 ";"EVT-S-08 ";"36,15 ";"S ";"7123 "
"630 ";"10 ";"M 18 x 1,5 ";"34 ";"17,5 ";"30,0 ";"17 ";"22 ";"EVT-S-10 ";"40,39 ";"S ";"7124 "
"630 ";"12 ";"M 20 x 1,5 ";"38 ";"21,5 ";"31,0 ";"17 ";"24 ";"EVT-S-12 ";"43,31 ";"S ";"7125 "
"630 ";"14 ";"M 22 x 1,5 ";"40 ";"22,0 ";"35,0 ";"19 ";"27 ";"EVT-S-14 ";"57,88 ";"S ";"7126 "
"400 ";"16 ";"M 24 x 1,5 ";"43 ";"24,5 ";"36,5 ";"24 ";"30 ";"EVT-S-16 ";"74,14 ";"S ";"7127 "
"400 ";"20 ";"M 30 x 2 ";"48 ";"26,5 ";"44,5 ";"27 ";"36 ";"EVT-S-20 ";"99,7 ";"S ";"7128 "
"400 ";"25 ";"M 36 x 2 ";"54 ";"30,0 ";"50,0 ";"36 ";"46 ";"EVT-S-25 ";"153,39 ";"S ";"7129 "
"400 ";"30 ";"M 42 x 2 ";"62 ";"35,5 ";"55,0 ";"41 ";"50 ";"EVT-S-30 ";"201,96 ";"S ";"7130 "
"250 ";"38 ";"M 52 x 2 ";"72 ";"41,0 ";"63,0 ";"50 ";"60 ";"EVT-S-38 ";"314,45 ";"S ";"7131 "
