"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"19 ";"3/4'' ";"3/4''-14 ";"77 ";"75 ";"14,5 ";"32 ";"17,0 x 1,5 ";"I-DKOR-3/4''-90∞-DN 19 ";"53,5 ";"";"1223 "
"25 ";"1'' ";"1''-11 ";"83 ";"85 ";"20,0 ";"41 ";"22,0 x 1,0 ";"I-DKOR-1''-90∞-DN 25 ";"75 ";"";"1224 "
"31 ";"1 1/4'' ";"1 1/4''-11 ";"103 ";"100 ";"25,0 ";"50 ";"29,0 x 1,5 ";"I-DKOR-1 1/4''-90∞-DN 31 ";"142,5 ";"";"1225 "
"38 ";"1 1/2'' ";"1 1/2''-11 ";"118 ";"110 ";"31,0 ";"60 ";"34,0 x 1,5 ";"I-DKOR-1 1/2''-90∞-DN 38 ";"198,75 ";"";"1226 "
"51 ";"2'' ";"2''-11 ";"146 ";"152 ";"41,0 ";"70 ";"48,0 x 1,5 ";"I-DKOR-2''-90∞-DN 51 ";"370 ";"";"1227 "
