"Druck  Pressure  PB";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"6 ";"M 10 x 1 ";"28,0 ";"35,0 ";"8 ";"17 ";"17 ";"RV-L-06-M 10x1-wd-OMD ";"51,38 ";"L ";"7650 "
"250 ";"8 ";"M 12 x 1,5 ";"29,0 ";"36,0 ";"12 ";"17 ";"19 ";"RV-L-08-M 12x1,5-wd-OMD ";"56 ";"L ";"7651 "
"250 ";"10 ";"M 14 x 1,5 ";"38,5 ";"45,5 ";"12 ";"22 ";"24 ";"RV-L-10-M 14x1,5-wd-OMD ";"65,67 ";"L ";"7652 "
"250 ";"12 ";"M 16 x 1,5 ";"42,5 ";"49,5 ";"12 ";"27 ";"30 ";"RV-L-12-M 16x1,5-wd-OMD ";"77,92 ";"L ";"7653 "
"250 ";"15 ";"M 18 x 1,5 ";"45,5 ";"52,5 ";"12 ";"27 ";"30 ";"RV-L-15-M 18x1,5-wd-OMD ";"86,89 ";"L ";"7654 "
"160 ";"18 ";"M 22 x 1,5 ";"50,0 ";"57,5 ";"14 ";"36 ";"36 ";"RV-L-18-M 22x1,5-wd-OMD ";"111,54 ";"L ";"7655 "
"160 ";"22 ";"M 26 x 1,5 ";"55,0 ";"62,5 ";"16 ";"41 ";"46 ";"RV-L-22-M 26x1,5-wd-OMD ";"161,49 ";"L ";"7656 "
"100 ";"28 ";"M 33 x 2 ";"63,0 ";"70,5 ";"18 ";"50 ";"55 ";"RV-L-28-M 33x2-wd-OMD ";"217,79 ";"L ";"7657 "
"100 ";"35 ";"M 42 x 2 ";"69,0 ";"79,5 ";"20 ";"60 ";"60 ";"RV-L-35-M 42x2-wd-OMD ";"313,79 ";"L ";"7658 "
"100 ";"42 ";"M 48 x 2 ";"71,5 ";"82,5 ";"22 ";"65 ";"70 ";"RV-L-42-M 48x2-wd-OMD ";"445,52 ";"L ";"7659 "
"630 ";"6 ";"M 12 x 1,5 ";"31,5 ";"38,5 ";"12 ";"19 ";"19 ";"RV-S-06-M 12x1,5-wd-OMD ";"56,01 ";"S ";"7660 "
"630 ";"8 ";"M 14 x 1,5 ";"31,5 ";"38,5 ";"12 ";"19 ";"22 ";"RV-S-08-M 14x1,5-wd-OMD ";"58,16 ";"S ";"7661 "
"630 ";"10 ";"M 16 x 1,5 ";"38,0 ";"45,5 ";"12 ";"24 ";"27 ";"RV-S-10-M 16x1,5-wd-OMD ";"67,64 ";"S ";"7662 "
"630 ";"12 ";"M 18 x 1,5 ";"41,0 ";"48,5 ";"12 ";"27 ";"30 ";"RV-S-12-M 18x1,5-wd-OMD ";"72,24 ";"S ";"7663 "
"630 ";"14 ";"M 20 x 1,5 ";"44,5 ";"52,5 ";"14 ";"27 ";"32 ";"RV-S-14-M 20x1,5-wd-OMD ";"81,42 ";"S ";"7664 "
"400 ";"16 ";"M 22 x 1,5 ";"48,0 ";"56,5 ";"14 ";"32 ";"36 ";"RV-S-16-M 22x1,5-wd-OMD ";"96,61 ";"S ";"7665 "
"400 ";"20 ";"M 27 x 2 ";"52,0 ";"62,5 ";"16 ";"41 ";"46 ";"RV-S-20-M 27x2-wd-OMD ";"155,59 ";"S ";"7666 "
"400 ";"25 ";"M 33 x 2 ";"54,5 ";"66,5 ";"18 ";"46 ";"50 ";"RV-S-25-M 33x2-wd-OMD ";"193,57 ";"S ";"7667 "
"250 ";"30 ";"M 42 x 2 ";"64,0 ";"77,5 ";"20 ";"55 ";"60 ";"RV-S-30-M 42x2-wd-OMD ";"283,34 ";"S ";"7668 "
"250 ";"38 ";"M 48 x 2 ";"69,5 ";"85,5 ";"22 ";"65 ";"70 ";"RV-S-38-M 48x2-wd-OMD ";"382,34 ";"S ";"7669 "
