"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"1/4'' NPT ";"31 ";"16,0 ";"26,0 ";"15,0 ";"12 ";"17 ";"WE-S-06-1/4''-NPT-SC ";"18,46 ";"S ";"5377 "
"630 ";"6 ";"3/8'' NPT ";"32 ";"17,5 ";"29,0 ";"15,3 ";"14 ";"17 ";"WE-S-06-3/8''-NPT-SC ";"23,04 ";"S ";"5378 "
"630 ";"6 ";"1/2'' NPT ";"36 ";"21,0 ";"34,0 ";"20,0 ";"17 ";"17 ";"WE-S-06-1/2''-NPT-SC ";"33,8 ";"S ";"5379 "
"630 ";"8 ";"1/4'' NPT ";"32 ";"17,0 ";"27,0 ";"15,0 ";"14 ";"19 ";"WE-S-08-1/4''-NPT-SC ";"22,17 ";"S ";"5380 "
"630 ";"8 ";"3/8'' NPT ";"33 ";"18,0 ";"28,0 ";"15,3 ";"14 ";"19 ";"WE-S-08-3/8''-NPT-SC ";"23,63 ";"S ";"5381 "
"630 ";"8 ";"1/2'' NPT ";"38 ";"23,0 ";"34,0 ";"20,0 ";"17 ";"19 ";"WE-S-08-1/2''-NPT-SC ";"33,24 ";"S ";"5382 "
"630 ";"10 ";"1/4'' NPT ";"34 ";"17,5 ";"28,0 ";"15,0 ";"17 ";"22 ";"WE-S-10-1/4''-NPT-SC ";"27,15 ";"S ";"5383 "
"630 ";"10 ";"3/8'' NPT ";"34 ";"17,5 ";"28,0 ";"15,3 ";"17 ";"22 ";"WE-S-10-3/8''-NPT-SC ";"24,08 ";"S ";"5384 "
"630 ";"10 ";"1/2'' NPT ";"39 ";"22,5 ";"32,0 ";"20,0 ";"17 ";"22 ";"WE-S-10-1/2''-NPT-SC ";"32,36 ";"S ";"5385 "
"630 ";"12 ";"1/4'' NPT ";"38 ";"21,5 ";"29,0 ";"15,0 ";"17 ";"24 ";"WE-S-12-1/4''-NPT-SC ";"30,44 ";"S ";"5386 "
"630 ";"12 ";"3/8'' NPT ";"38 ";"21,5 ";"28,0 ";"15,3 ";"17 ";"24 ";"WE-S-12-3/8''-NPT-SC ";"29,65 ";"S ";"5387 "
"630 ";"12 ";"1/2'' NPT ";"39 ";"21,5 ";"32,5 ";"20,0 ";"17 ";"24 ";"WE-S-12-1/2''-NPT-SC ";"32,9 ";"S ";"5388 "
"630 ";"14 ";"3/8'' NPT ";"40 ";"22,0 ";"30,0 ";"15,3 ";"19 ";"27 ";"WE-S-14-3/8''-NPT-SC ";"33,52 ";"S ";"5389 "
"630 ";"14 ";"1/2'' NPT ";"40 ";"22,0 ";"34,0 ";"20,0 ";"19 ";"27 ";"WE-S-14-1/2''-NPT-SC ";"33,77 ";"S ";"5390 "
"400 ";"16 ";"3/8'' NPT ";"43 ";"24,5 ";"32,0 ";"15,3 ";"24 ";"30 ";"WE-S-16-3/8''-NPT-SC ";"47,32 ";"S ";"5391 "
"400 ";"16 ";"1/2'' NPT ";"43 ";"24,5 ";"36,0 ";"20,0 ";"24 ";"30 ";"WE-S-16-1/2''-NPT-SC ";"46,02 ";"S ";"5392 "
"400 ";"16 ";"3/4'' NPT ";"43 ";"24,5 ";"41,0 ";"20,0 ";"24 ";"30 ";"WE-S-16-3/4''-NPT-SC ";"52,29 ";"S ";"5393 "
"400 ";"20 ";"1/2'' NPT ";"48 ";"26,5 ";"42,0 ";"20,0 ";"27 ";"36 ";"WE-S-20-1/2''-NPT-SC ";"54,03 ";"S ";"5394 "
"400 ";"20 ";"3/4'' NPT ";"48 ";"26,5 ";"42,0 ";"20,0 ";"27 ";"36 ";"WE-S-20-3/4''-NPT-SC ";"54,03 ";"S ";"5395 "
"400 ";"25 ";"1'' NPT ";"54 ";"30,0 ";"48,0 ";"25,0 ";"36 ";"46 ";"WE-S-25-1''-NPT-SC ";"118,04 ";"S ";"5396 "
"400 ";"30 ";"1 1/4'' NPT ";"62 ";"35,5 ";"54,0 ";"25,5 ";"41 ";"50 ";"WE-S-30-1 1/4''-NPT-SC ";"172,89 ";"S ";"5397 "
"315 ";"38 ";"1 1/2'' NPT ";"72 ";"41,0 ";"61,0 ";"26,0 ";"50 ";"60 ";"WE-S-38-1 1/2''-NPT-SC ";"233,17 ";"S ";"5398 "
