"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 12 x 1,5 ";"27 ";"12,0 ";"26,0 ";"12 ";"14 ";"EVL-L-06-SC ";"31,13 ";"L ";"7312 "
"315 ";"8 ";"M 14 x 1,5 ";"29 ";"14,0 ";"27,5 ";"12 ";"17 ";"EVL-L-08-SC ";"34,61 ";"L ";"7313 "
"315 ";"10 ";"M 16 x 1,5 ";"30 ";"15,0 ";"29,0 ";"14 ";"19 ";"EVL-L-10-SC ";"38,8 ";"L ";"7314 "
"315 ";"12 ";"M 18 x 1,5 ";"32 ";"17,0 ";"29,5 ";"17 ";"22 ";"EVL-L-12-SC ";"45,42 ";"L ";"7315 "
"315 ";"15 ";"M 22 x 1,5 ";"36 ";"21,0 ";"32,5 ";"19 ";"27 ";"EVL-L-15-SC ";"61,17 ";"L ";"7316 "
"315 ";"18 ";"M 26 x 1,5 ";"40 ";"23,5 ";"35,5 ";"24 ";"32 ";"EVL-L-18-SC ";"99,51 ";"L ";"7317 "
"160 ";"22 ";"M 30 x 2 ";"44 ";"27,5 ";"38,5 ";"27 ";"36 ";"EVL-L-22-SC ";"104,98 ";"L ";"7318 "
"160 ";"28 ";"M 36 x 2 ";"47 ";"30,5 ";"43,5 ";"36 ";"41 ";"EVL-L-28-SC ";"177,29 ";"L ";"7319 "
"160 ";"35 ";"M 45 x 2 ";"56 ";"34,5 ";"54,0 ";"41 ";"50 ";"EVL-L-35-SC ";"264,25 ";"L ";"7320 "
"160 ";"42 ";"M 52 x 2 ";"63 ";"40,0 ";"56,0 ";"50 ";"60 ";"EVL-L-42-SC ";"345,3 ";"L ";"7321 "
"630 ";"6 ";"M 14 x 1,5 ";"31 ";"16,0 ";"27,0 ";"12 ";"17 ";"EVL-S-06-SC ";"33,07 ";"S ";"7322 "
"630 ";"8 ";"M 16 x 1,5 ";"32 ";"17,0 ";"27,5 ";"14 ";"19 ";"EVL-S-08-SC ";"36,86 ";"S ";"7323 "
"630 ";"10 ";"M 18 x 1,5 ";"34 ";"17,5 ";"30,0 ";"17 ";"22 ";"EVL-S-10-SC ";"47,29 ";"S ";"7324 "
"630 ";"12 ";"M 20 x 1,5 ";"38 ";"21,5 ";"31,0 ";"17 ";"24 ";"EVL-S-12-SC ";"53,24 ";"S ";"7325 "
"630 ";"14 ";"M 22 x 1,5 ";"40 ";"22,0 ";"35,0 ";"19 ";"27 ";"EVL-S-14-SC ";"63,48 ";"S ";"7326 "
"400 ";"16 ";"M 24 x 1,5 ";"43 ";"24,5 ";"36,5 ";"24 ";"30 ";"EVL-S-16-SC ";"99,27 ";"S ";"7327 "
"400 ";"20 ";"M 30 x 2 ";"48 ";"26,5 ";"44,5 ";"27 ";"36 ";"EVL-S-20-SC ";"120,68 ";"S ";"7328 "
"400 ";"25 ";"M 36 x 2 ";"54 ";"30,0 ";"50,0 ";"36 ";"46 ";"EVL-S-25-SC ";"193,07 ";"S ";"7329 "
"400 ";"30 ";"M 42 x 2 ";"62 ";"35,5 ";"55,0 ";"41 ";"50 ";"EVL-S-30-SC ";"242,56 ";"S ";"7330 "
"250 ";"38 ";"M 52 x 2 ";"72 ";"41,0 ";"63,0 ";"50 ";"60 ";"EVL-S-38-SC ";"349,26 ";"S ";"7331 "
