"Gewinde  Thread  ";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  H";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"G 1/8'' ";"9,8 ";"14 ";"2,5 ";"DKR-G 1/8'' ";"2,81 ";"";"8324 "
"G 1/4'' ";"13,3 ";"18 ";"3,0 ";"DKR-G 1/4'' ";"2,91 ";"";"8325 "
"G 3/8'' ";"16,8 ";"22 ";"3,0 ";"DKR-G 3/8'' ";"3,43 ";"";"8326 "
"G 1/2'' ";"21,1 ";"26 ";"4,5 ";"DKR-G 1/2'' ";"3,71 ";"";"8327 "
"G 3/4'' ";"27,1 ";"32 ";"4,0 ";"DKR-G 3/4'' ";"4,09 ";"";"8328 "
"G 1'' ";"33,4 ";"39 ";"4,0 ";"DKR-G 1'' ";"4,93 ";"";"8329 "
"G 1 1/4'' ";"42,1 ";"49 ";"4,0 ";"DKR-G 1 1/4'' ";"7 ";"";"8330 "
"G 1 1/2'' ";"48,1 ";"55 ";"4,0 ";"DKR-G 1 1/2'' ";"7,54 ";"";"8331 "
"M 10 x 1 ";"10,0 ";"14 ";"2,5 ";"DKR-M 10x1 ";"2,48 ";"";"8332 "
"M 12 x 1,5 ";"12,1 ";"17 ";"3,0 ";"DKR-M 12x1,5 ";"2,91 ";"";"8333 "
"M 14 x 1,5 ";"14,1 ";"19 ";"3,0 ";"DKR-M 14x1,5 ";"3,27 ";"";"8334 "
"M 16 x 1,5 ";"16,1 ";"21 ";"3,0 ";"DKR-M 16x1,5 ";"3,5 ";"";"8335 "
"M 18 x 1,5 ";"18,1 ";"23 ";"3,0 ";"DKR-M 18x1,5 ";"3,73 ";"";"8336 "
"M 20 x 1,5 ";"20,1 ";"25 ";"3,0 ";"DKR-M 20x1,5 ";"3,78 ";"";"8337 "
"M 22 x 1,5 ";"22,1 ";"27 ";"3,0 ";"DKR-M 22x1,5 ";"3,81 ";"";"8338 "
"M 26 x 1,5 ";"26,1 ";"31 ";"3,0 ";"DKR-M 26x1,5 ";"3,94 ";"";"8339 "
"M 27 x 2 ";"27,1 ";"32 ";"4,0 ";"DKR-M 27x2 ";"4,27 ";"";"8340 "
"M 33 x 2 ";"33,1 ";"39 ";"4,0 ";"DKR-M 33x2 ";"5,19 ";"";"8341 "
"M 42 x 2 ";"42,1 ";"49 ";"4,0 ";"DKR-M 42x2 ";"7,06 ";"";"8342 "
"M 48 x 2 ";"48,1 ";"55 ";"4,0 ";"DKR-M 48x2 ";"7,54 ";"";"8343 "
