"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"1/8''-28 ";"28,0 ";"29,0 ";"3,0 ";"14 ";"DKR-1/8''-90∞-DN 05 ";"19,2 ";"";"449 "
"06 ";"1/4'' ";"1/8''-28 ";"28,5 ";"30,0 ";"4,0 ";"14 ";"DKR-1/8''-90∞-DN 06 ";"18,75 ";"";"450 "
"05 ";"3/16'' ";"1/4''-19 ";"29,0 ";"27,5 ";"3,0 ";"17 ";"DKR-1/4''-90∞-DN 05 ";"19,3 ";"";"451 "
"06 ";"1/4'' ";"1/4''-19 ";"28,5 ";"28,0 ";"4,0 ";"17 ";"DKR-1/4''-90∞-DN 06 ";"16,7 ";"";"452 "
"08 ";"5/16'' ";"1/4''-19 ";"36,0 ";"36,0 ";"5,5 ";"19 ";"DKR-1/4''-90∞-DN 08 ";"24 ";"";"453 "
"10 ";"3/8'' ";"1/4''-19 ";"34,0 ";"39,0 ";"6,0 ";"19 ";"DKR-1/4''-90∞-DN 10 ";"24 ";"";"454 "
"06 ";"1/4'' ";"3/8''-19 ";"29,0 ";"26,0 ";"4,0 ";"19 ";"DKR-3/8''-90∞-DN 06 ";"23,5 ";"";"455 "
"08 ";"5/16'' ";"3/8''-19 ";"33,0 ";"34,0 ";"5,5 ";"19 ";"DKR-3/8''-90∞-DN 08 ";"20 ";"";"456 "
"10 ";"3/8'' ";"3/8''-19 ";"33,0 ";"34,0 ";"7,0 ";"19 ";"DKR-3/8''-90∞-DN 10 ";"19,15 ";"";"457 "
"12 ";"1/2'' ";"3/8''-19 ";"44,0 ";"47,5 ";"9,0 ";"22 ";"DKR-3/8''-90∞-DN 12 ";"24 ";"";"458 "
"06 ";"1/4'' ";"1/2''-14 ";"42,0 ";"37,0 ";"4,0 ";"27 ";"DKR-1/2''-90∞-DN 06 ";"27,95 ";"";"11722 "
"10 ";"3/8'' ";"1/2''-14 ";"44,0 ";"42,5 ";"7,0 ";"27 ";"DKR-1/2''-90∞-DN 10 ";"22,65 ";"";"459 "
"12 ";"1/2'' ";"1/2''-14 ";"44,0 ";"42,5 ";"9,5 ";"27 ";"DKR-1/2''-90∞-DN 12 ";"22,45 ";"";"460 "
"16 ";"5/8'' ";"1/2''-14 ";"58,0 ";"53,0 ";"12,5 ";"27 ";"DKR-1/2''-90∞-DN 16 ";"32,5 ";"";"461 "
"12 ";"1/2'' ";"5/8''-14 ";"44,0 ";"50,5 ";"9,5 ";"27 ";"DKR-5/8''-90∞-DN 12 ";"34,9 ";"";"462 "
"16 ";"5/8'' ";"5/8''-14 ";"55,0 ";"54,0 ";"12,5 ";"27 ";"DKR-5/8''-90∞-DN 16 ";"32,5 ";"";"463 "
"12 ";"1/2'' ";"3/4''-14 ";"47,5 ";"43,0 ";"9,5 ";"32 ";"DKR-3/4''-90∞-DN 12 ";"38,75 ";"";"464 "
"16 ";"5/8'' ";"3/4''-14 ";"56,0 ";"54,0 ";"12,5 ";"32 ";"DKR-3/4''-90∞-DN 16 ";"36 ";"";"465 "
"19 ";"3/4'' ";"3/4''-14 ";"61,0 ";"54,0 ";"14,5 ";"32 ";"DKR-3/4''-90∞-DN 19 ";"31,25 ";"";"466 "
"19 ";"3/4'' ";"1''-11 ";"78,0 ";"69,0 ";"14,5 ";"41 ";"DKR-1''-90∞-DN 19 ";"50 ";"";"467 "
"25 ";"1'' ";"1''-11 ";"78,0 ";"69,0 ";"20,0 ";"41 ";"DKR-1''-90∞-DN 25 ";"44,32 ";"";"468 "
"25 ";"1'' ";"1 1/4''-11 ";"82,0 ";"81,0 ";"20,0 ";"50 ";"DKR-1 1/4''-90∞-DN 25 ";"104 ";"";"469 "
"31 ";"1 1/4'' ";"1 1/4''-11 ";"87,0 ";"81,0 ";"25,0 ";"50 ";"DKR-1 1/4''-90∞-DN 31 ";"78,9 ";"";"470 "
"31 ";"1 1/4'' ";"1 1/2''-11 ";"125,0 ";"103,0 ";"25,0 ";"55 ";"DKR-1 1/2''-90∞-DN 31 ";"135 ";"";"471 "
"38 ";"1 1/2'' ";"1 1/2''-11 ";"104,0 ";"102,0 ";"31,0 ";"55 ";"DKR-1 1/2''-90∞-DN 38 ";"97 ";"";"472 "
"51 ";"2'' ";"2''-11 ";"142,0 ";"130,0 ";"40,0 ";"70 ";"DKR-2''-90∞-DN 51 ";"171,1 ";"";"474 "
