"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 12 x 1,5 ";"27 ";"12,0 ";"26,0 ";"12 ";"14 ";"EL-DKOL-06 ";"37,91 ";"L ";"8910 "
"500 ";"8 ";"M 14 x 1,5 ";"29 ";"14,0 ";"27,5 ";"12 ";"17 ";"EL-DKOL-08 ";"39,19 ";"L ";"8911 "
"500 ";"10 ";"M 16 x 1,5 ";"30 ";"15,0 ";"29,0 ";"14 ";"19 ";"EL-DKOL-10 ";"49,52 ";"L ";"8912 "
"400 ";"12 ";"M 18 x 1,5 ";"32 ";"17,0 ";"29,5 ";"17 ";"22 ";"EL-DKOL-12 ";"53,15 ";"L ";"8913 "
"400 ";"15 ";"M 22 x 1,5 ";"36 ";"21,0 ";"32,5 ";"19 ";"27 ";"EL-DKOL-15 ";"71,58 ";"L ";"8914 "
"400 ";"18 ";"M 26 x 1,5 ";"40 ";"23,5 ";"35,5 ";"24 ";"32 ";"EL-DKOL-18 ";"94,59 ";"L ";"8915 "
"250 ";"22 ";"M 30 x 2 ";"44 ";"27,5 ";"38,5 ";"27 ";"36 ";"EL-DKOL-22 ";"117,6 ";"L ";"8916 "
"250 ";"28 ";"M 36 x 2 ";"47 ";"30,5 ";"41,5 ";"36 ";"41 ";"EL-DKOL-28 ";"191,74 ";"L ";"8917 "
"250 ";"35 ";"M 45 x 2 ";"56 ";"34,5 ";"51,0 ";"41 ";"50 ";"EL-DKOL-35 ";"294 ";"L ";"8918 "
"250 ";"42 ";"M 52 x 2 ";"63 ";"40,0 ";"56,0 ";"50 ";"60 ";"EL-DKOL-42 ";"406,48 ";"L ";"8919 "
"800 ";"6 ";"M 14 x 1,5 ";"31 ";"16,0 ";"27,0 ";"12 ";"17 ";"EL-DKOS-06 ";"39,45 ";"S ";"8920 "
"800 ";"8 ";"M 16 x 1,5 ";"32 ";"17,0 ";"27,5 ";"14 ";"19 ";"EL-DKOS-08 ";"42,77 ";"S ";"8921 "
"800 ";"10 ";"M 18 x 1,5 ";"34 ";"17,5 ";"30,0 ";"17 ";"22 ";"EL-DKOS-10 ";"53,38 ";"S ";"8922 "
"630 ";"12 ";"M 20 x 1,5 ";"38 ";"21,5 ";"31,0 ";"17 ";"24 ";"EL-DKOS-12 ";"58,8 ";"S ";"8923 "
"630 ";"14 ";"M 22 x 1,5 ";"40 ";"22,0 ";"35,0 ";"19 ";"27 ";"EL-DKOS-14 ";"74,14 ";"S ";"8924 "
"630 ";"16 ";"M 24 x 1,5 ";"43 ";"24,5 ";"36,5 ";"24 ";"30 ";"EL-DKOS-16 ";"94,59 ";"S ";"8925 "
"420 ";"20 ";"M 30 x 2 ";"48 ";"26,5 ";"44,5 ";"27 ";"36 ";"EL-DKOS-20 ";"120,16 ";"S ";"8926 "
"420 ";"25 ";"M 36 x 2 ";"54 ";"30,0 ";"50,0 ";"36 ";"46 ";"EL-DKOS-25 ";"202,47 ";"S ";"8927 "
"420 ";"30 ";"M 42 x 2 ";"62 ";"35,5 ";"55,0 ";"41 ";"50 ";"EL-DKOS-30 ";"301,67 ";"S ";"8928 "
"420 ";"38 ";"M 52 x 2 ";"72 ";"41,0 ";"63,0 ";"50 ";"60 ";"EL-DKOS-38 ";"416,71 ";"S ";"8929 "
