"Kupplungsgröße  Coupling Size  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"1/8'' ";"SS-Mu-1/8'' ";"3,65 ";"";"10542 "
"1/4'' ";"SS-Mu-1/4'' ";"3,65 ";"";"10543 "
"3/8'' ";"SS-Mu-3/8'' ";"3,65 ";"";"10544 "
"1/2'' ";"SS-Mu-1/2'' ";"3,75 ";"";"10545 "
"3/4'' ";"SS-Mu-3/4'' ";"9,1 ";"";"10546 "
"1'' ";"SS-Mu-1'' ";"12,4 ";"";"10547 "
"1 1/4'' ";"SS-Mu-1 1/4'' ";"21,45 ";"";"10548 "
"1 1/2'' ";"SS-Mu-1 1/2'' ";"21,45 ";"";"10549 "
"2'' ";"SS-Mu-2'' ";"49,5 ";"";"10550 "
