"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Gewinde  Thread  G1";"Gewinde  Thread  G2";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"6 ";"M 14 x 1,5 ";"M 12 x 1,5 ";"33,0 ";"17 ";"14 ";"GVR-DKO-06-L/06-S ";"38,86 ";"L / S ";"8518 "
"500 ";"8 ";"6 ";"M 14 x 1,5 ";"M 14 x 1,5 ";"";"17 ";"17 ";"GVR-DKO-08-L/06-S ";"43,95 ";"L / S ";"8520 "
"500 ";"8 ";"8 ";"M 16 x 1,5 ";"M 14 x 1,5 ";"35,0 ";"19 ";"17 ";"GVR-DKO-08-L/08-S ";"43,97 ";"L / S ";"8519 "
"500 ";"10 ";"10 ";"M 18 x 1,5 ";"M 16 x 1,5 ";"35,3 ";"22 ";"19 ";"GVR-DKO-10-L/10-S ";"49,08 ";"L / S ";"8521 "
"400 ";"12 ";"10 ";"M 18 x 1,5 ";"M 18 x 1,5 ";"32,5 ";"22 ";"22 ";"GVR-DKO-12-L/10-S ";"61,35 ";"L / S ";"8522 "
"400 ";"12 ";"12 ";"M 20 x 1,5 ";"M 18 x 1,5 ";"37,0 ";"24 ";"22 ";"GVR-DKO-12-L/12-S ";"61,36 ";"L / S ";"8523 "
"400 ";"15 ";"12 ";"M 22 x 1,5 ";"M 20 x 1,5 ";"38,5 ";"27 ";"24 ";"GVR-DKO-15-L/12-S ";"75,1 ";"L / S ";"8524 "
"400 ";"15 ";"14 ";"M 22 x 1,5 ";"M 22 x 1,5 ";"44,5 ";"27 ";"27 ";"GVR-DKO-15-L/14-S ";"77,9 ";"L / S ";"8525 "
"400 ";"18 ";"16 ";"M 26 x 1,5 ";"M 24 x 1,5 ";"40,0 ";"32 ";"30 ";"GVR-DKO-18-L/16-S ";"84,36 ";"L / S ";"8526 "
"250 ";"22 ";"20 ";"M 30 x 2 ";"M 30 x 2 ";"53,0 ";"36 ";"36 ";"GVR-DKO-22-L/20-S ";"93,31 ";"L / S ";"8527 "
"250 ";"28 ";"25 ";"M 36 x 2 ";"M 36 x 2 ";"46,0 ";"46 ";"41 ";"GVR-DKO-28-L/25-S ";"122,84 ";"L / S ";"8528 "
"250 ";"35 ";"30 ";"M 45 x 2 ";"M 42 x 2 ";"51,0 ";"50 ";"50 ";"GVR-DKO-35-L/30-S ";"148,53 ";"L / S ";"8529 "
"250 ";"42 ";"38 ";"M 52 x 2 ";"M 52 x 2 ";"52,0 ";"60 ";"60 ";"GVR-DKO-42-L/38-S ";"194,29 ";"L / S ";"8530 "
"500 ";"10 ";"8 ";"M 18 x 1,5 ";"M 14 x 1,5 ";"33,0 ";"22 ";"17 ";"GVR-DKO-10-S/08-L ";"49 ";"S / L ";"8531 "
"500 ";"12 ";"8 ";"M 20 x 1,5 ";"M 14 x 1,5 ";"34,0 ";"24 ";"17 ";"GVR-DKO-12-S/08-L ";"61,35 ";"S / L ";"8532 "
"500 ";"12 ";"10 ";"M 20 x 1,5 ";"M 16 x 1,5 ";"33,0 ";"24 ";"19 ";"GVR-DKO-12-S/10-L ";"61,35 ";"S / L ";"8533 "
"500 ";"16 ";"10 ";"M 24 x 1,5 ";"M 16 x 1,5 ";"35,5 ";"30 ";"19 ";"GVR-DKO-16-S/10-L ";"82,4 ";"S / L ";"8534 "
"400 ";"16 ";"12 ";"M 24 x 1,5 ";"M 18 x 1,5 ";"39,0 ";"30 ";"22 ";"GVR-DKO-16-S/12-L ";"82,4 ";"S / L ";"8535 "
"400 ";"16 ";"15 ";"M 24 x 1,5 ";"M 22 x 1,5 ";"38,5 ";"30 ";"27 ";"GVR-DKO-16-S/15-L ";"82,5 ";"S / L ";"8536 "
"400 ";"20 ";"18 ";"M 30 x 2 ";"M 26 x 1,5 ";"43,0 ";"36 ";"32 ";"GVR-DKO-20-S/18-L ";"86,4 ";"S / L ";"8537 "
"400 ";"25 ";"18 ";"M 36 x 2 ";"M 26 x 1,5 ";"46,0 ";"46 ";"32 ";"GVR-DKO-25-S/18-L ";"109,9 ";"S / L ";"11947 "
"250 ";"25 ";"22 ";"M 36 x 2 ";"M 30 x 2 ";"46,0 ";"46 ";"36 ";"GVR-DKO-25-S/22-L ";"99,7 ";"S / L ";"8538 "
"250 ";"30 ";"28 ";"M 42 x 2 ";"M 36 x 2 ";"49,5 ";"50 ";"41 ";"GVR-DKO-30-S/28-L ";"144,8 ";"S / L ";"8539 "
"250 ";"38 ";"35 ";"M 52 x 2 ";"M 45 x 2 ";"53,0 ";"60 ";"50 ";"GVR-DKO-38-S/35-L ";"191,8 ";"S / L ";"11948 "
