"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"M 12 x 1,5 ";"6 ";"27,9 ";"4,0 ";"12 ";"SR-CEL-06-DN 06 ";"26,8 ";"L ";"1392 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"8 ";"27,9 ";"4,0 ";"14 ";"SR-CEL-08-DN 06 ";"26,8 ";"L ";"1393 "
"08 ";"5/16'' ";"M 16 x 1,5 ";"10 ";"29,7 ";"6,0 ";"17 ";"SR-CEL-10-DN 08 ";"25,05 ";"L ";"1394 "
"10 ";"3/8'' ";"M 18 x 1,5 ";"12 ";"30,0 ";"7,5 ";"19 ";"SR-CEL-12-DN 10 ";"25,05 ";"L ";"1395 "
"12 ";"1/2'' ";"M 22 x 1,5 ";"15 ";"32,0 ";"10,0 ";"22 ";"SR-CEL-15-DN 12 ";"26,15 ";"L ";"1396 "
"16 ";"5/8'' ";"M 26 x 1,5 ";"18 ";"35,1 ";"13,0 ";"27 ";"SR-CEL-18-DN 16 ";"45 ";"L ";"1397 "
"19 ";"3/4'' ";"M 30 x 2 ";"22 ";"38,4 ";"15,5 ";"32 ";"SR-CEL-22-DN 19 ";"45 ";"L ";"1398 "
"25 ";"1'' ";"M 36 x 2 ";"28 ";"43,2 ";"21,5 ";"36 ";"SR-CEL-28-DN 25 ";"61,5 ";"L ";"1399 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"6 ";"27,9 ";"4,0 ";"14 ";"SR-CES-06-DN 06 ";"";"S ";"1400 "
"06 ";"1/4'' ";"M 16 x 1,5 ";"8 ";"28,5 ";"4,0 ";"17 ";"SR-CES-08-DN 06 ";"28,05 ";"S ";"1401 "
"06 ";"1/4'' ";"M 18 x 1,5 ";"10 ";"28,5 ";"4,0 ";"19 ";"SR-CES-10-DN 06 ";"29,6 ";"S ";"1402 "
"08 ";"5/16'' ";"M 20 x 1,5 ";"12 ";"31,4 ";"6,0 ";"22 ";"SR-CES-12-DN 08 ";"25,85 ";"S ";"1403 "
"10 ";"3/8'' ";"M 20 x 1,5 ";"12 ";"31,0 ";"7,5 ";"22 ";"SR-CES-12-DN 10 ";"27,95 ";"S ";"11820 "
"10 ";"3/8'' ";"M 22 x 1,5 ";"14 ";"33,6 ";"7,5 ";"22 ";"SR-CES-14-DN 10 ";"29,9 ";"S ";"1404 "
"12 ";"1/2'' ";"M 24 x 1,5 ";"16 ";"35,2 ";"10,0 ";"24 ";"SR-CES-16-DN 12 ";"26,3 ";"S ";"1405 "
"16 ";"5/8'' ";"M 30 x 2 ";"20 ";"40,4 ";"13,0 ";"30 ";"SR-CES-20-DN 16 ";"45 ";"S ";"1406 "
"19 ";"3/4'' ";"M 36 x 2 ";"25 ";"43,9 ";"15,5 ";"36 ";"SR-CES-25-DN 19 ";"53,35 ";"S ";"1407 "
"25 ";"1'' ";"M 42 x 2 ";"30 ";"54,9 ";"21,5 ";"46 ";"SR-CES-30-DN 25 ";"";"S ";"1408 "
