"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"M 10 x 1 keg ";"27 ";"12,0 ";"20 ";"8 ";"12 ";"14 ";"WE-L-06-M 10x1-k ";"12,35 ";"L ";"5193 "
"315 ";"8 ";"M 12 x 1,5 keg ";"29 ";"14,0 ";"26 ";"12 ";"12 ";"17 ";"WE-L-08-M 12x1,5-k ";"14,27 ";"L ";"5194 "
"315 ";"10 ";"M 12 x 1,5 keg ";"30 ";"15,0 ";"27 ";"12 ";"14 ";"19 ";"WE-L-10-M 12x1,5-k ";"17,26 ";"L ";"5195 "
"315 ";"10 ";"M 14 x 1,5 keg ";"30 ";"15,0 ";"27 ";"12 ";"14 ";"19 ";"WE-L-10-M 14x1,5-k ";"15,8 ";"L ";"5196 "
"315 ";"10 ";"M 16 x 1,5 keg ";"30 ";"15,0 ";"28 ";"12 ";"14 ";"19 ";"WE-L-10-M 16x1,5-k ";"18,5 ";"L ";"5197 "
"315 ";"12 ";"M 14 x 1,5 keg ";"32 ";"17,0 ";"27 ";"12 ";"17 ";"22 ";"WE-L-12-M 14x1,5-k ";"18,95 ";"L ";"11875 "
"315 ";"12 ";"M 16 x 1,5 keg ";"32 ";"17,0 ";"28 ";"12 ";"17 ";"22 ";"WE-L-12-M 16x1,5-k ";"16,34 ";"L ";"5198 "
"315 ";"15 ";"M 18 x 1,5 keg ";"36 ";"21,0 ";"32 ";"12 ";"19 ";"27 ";"WE-L-15-M 18x1,5-k ";"24,44 ";"L ";"5199 "
"315 ";"18 ";"M 22 x 1,5 keg ";"40 ";"23,0 ";"36 ";"14 ";"24 ";"32 ";"WE-L-18-M 22x1,5-k ";"33,67 ";"L ";"5200 "
"100 ";"4 ";"M 6 x 1 keg ";"21 ";"11,0 ";"17 ";"8 ";"9 ";"10 ";"WE-LL-04-M 6x1-k ";"16,62 ";"LL ";"5184 "
"100 ";"4 ";"M 8 x 1 keg ";"21 ";"11,0 ";"17 ";"8 ";"9 ";"10 ";"WE-LL-04-M 8x1-k ";"13,81 ";"LL ";"5185 "
"100 ";"4 ";"M 10 x 1 keg ";"21 ";"11,0 ";"17 ";"8 ";"9 ";"10 ";"WE-LL-04-M 10x1-k ";"16,62 ";"LL ";"5186 "
"100 ";"6 ";"M 6 x 1 keg ";"23 ";"10,0 ";"17 ";"8 ";"9 ";"12 ";"WE-LL-06-M 6x1-k ";"17,13 ";"LL ";"5187 "
"100 ";"6 ";"M 8 x 1 keg ";"23 ";"10,0 ";"17 ";"8 ";"9 ";"12 ";"WE-LL-06-M 8x1-k ";"17,13 ";"LL ";"5188 "
"100 ";"6 ";"M 10 x 1 keg ";"21 ";"9,5 ";"17 ";"8 ";"9 ";"12 ";"WE-LL-06-M 10x1-k ";"14,27 ";"LL ";"5189 "
"100 ";"8 ";"M 6 x 1 keg ";"23 ";"11,5 ";"20 ";"8 ";"12 ";"14 ";"WE-LL-08-M 6x1-k ";"17,64 ";"LL ";"5190 "
"100 ";"8 ";"M 8 x 1 keg ";"23 ";"11,5 ";"20 ";"8 ";"12 ";"14 ";"WE-LL-08-M 8x1-k ";"17,64 ";"LL ";"5191 "
"100 ";"8 ";"M 10 x 1 keg ";"23 ";"11,5 ";"20 ";"8 ";"12 ";"14 ";"WE-LL-08-M 10x1-k ";"14,57 ";"LL ";"5192 "
"630 ** ";"6 ";"M 12 x 1,5 keg ";"31 ";"16,0 ";"26 ";"12 ";"12 ";"17 ";"WE-S-06-M 12x1,5-k ";"15,24 ";"S ";"5201 "
"630 ** ";"8 ";"M 14 x 1,5 keg ";"32 ";"17,0 ";"27 ";"12 ";"14 ";"19 ";"WE-S-08-M 14x1,5-k ";"17,28 ";"S ";"5202 "
"630 ** ";"10 ";"M 16 x 1,5 keg ";"34 ";"17,5 ";"28 ";"12 ";"17 ";"22 ";"WE-S-10-M 16x1,5-k ";"20,86 ";"S ";"5203 "
"630 ** ";"12 ";"M 18 x 1,5 keg ";"38 ";"21,5 ";"28 ";"12 ";"17 ";"24 ";"WE-S-12-M 18x1,5-k ";"26,05 ";"S ";"5204 "
"630 ** ";"14 ";"M 20 x 1,5 keg ";"40 ";"22,0 ";"32 ";"14 ";"19 ";"27 ";"WE-S-14-M 20x1,5-k ";"31,75 ";"S ";"5205 "
"630 ** ";"16 ";"M 22 x 1,5 keg ";"43 ";"24,5 ";"32 ";"14 ";"24 ";"30 ";"WE-S-16-M 22x1,5-k ";"40,03 ";"S ";"11893 "
