"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4ì ";"1/4ì-19 ";"36,5 ";"15,0 ";"4,0 ";"17 ";"6 x 1,2 ";"DKOR-1/4ì-45∞-DN 06 ";"17,9 ";"";"12223 "
"08 ";"5/16ì ";"3/8ì-19 ";"40,0 ";"15,0 ";"5,5 ";"19 ";"9 x 1,0 ";"DKOR-3/8ì-45∞-DN 08 ";"24,9 ";"";"12224 "
"10 ";"3/8ì ";"3/8ì-19 ";"40,0 ";"15,0 ";"7,0 ";"19 ";"9 x 1,0 ";"DKOR-3/8ì-45∞-DN 10 ";"20,96 ";"";"12225 "
"10 ";"3/8ì ";"1/2ì-14 ";"54,0 ";"20,5 ";"7,0 ";"27 ";"13 x 1,0 ";"DKOR-1/2ì-45∞-DN 10 ";"27,45 ";"";"12226 "
"12 ";"1/2ì ";"1/2ì-14 ";"54,0 ";"20,5 ";"9,5 ";"27 ";"13 x 1,0 ";"DKOR-1/2ì-45∞-DN 12 ";"23,84 ";"";"12227 "
"19 ";"3/4ì ";"3/4ì-14 ";"70,0 ";"30,0 ";"14,5 ";"32 ";"17 x 1,5 ";"DKOR-3/4ì-45∞-DN 19 ";"33,97 ";"";"12228 "
"25 ";"1ì ";"1ì-11 ";"95,0 ";"39,5 ";"20,0 ";"41 ";"22 x 1,0 ";"DKOR-1ì-45∞-DN 25 ";"53,51 ";"";"12229 "
"31 ";"1 1/4ì ";"1 1/4ì-11 ";"100,0 ";"40,0 ";"25,0 ";"50 ";"29 x 1,5 ";"DKOR-1 1/4ì-45∞-DN 31 ";"93,52 ";"";"12230 "
"38 ";"1 1/2ì ";"1 1/2ì-11 ";"115,0 ";"55,0 ";"31,0 ";"55 ";"34 x 1,5 ";"DKOR-1 1/2ì-45∞-DN 38 ";"125,73 ";"";"12231 "
"38 ";"1 1/2ì ";"2ì-11 ";"143,0 ";"60,0 ";"31,0 ";"70 ";"48 x 1,5 ";"DKOR-2ì-45∞-DN 38 ";"229 ";"";"12255 "
"51 ";"2ì ";"2ì-11 ";"149,0 ";"57,0 ";"40,0 ";"70 ";"48 x 1,5 ";"DKOR-2ì-45∞-DN 51 ";"283,01 ";"";"12232 "
"60 ";"2 3/8ì ";"2 1/2ì-11 ";"";"";"";"";"58 x 2,0 ";"DKOR-2 1/2ì-45∞-DN 60 ";"";"";"12233 "
"63 ";"2 1/2ì ";"2 1/2ì-11 ";"";"";"";"";"58 x 2,0 ";"DKOR-2 1/2ì-45∞-DN 63 ";"";"";"12234 "
