"Druck  Pressure  PN";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"20,0 ";"18,0 ";"20,0 ";"4,0 ";"12 ";"14 ";"1570510-02 ";"37,5 ";"";"1756 "
"400 ";"1/4''-19 ";"24,5 ";"24,5 ";"24,5 ";"6,0 ";"14 ";"19 ";"1570510-04 ";"29,95 ";"";"1757 "
"400 ";"3/8''-19 ";"25,5 ";"25,5 ";"25,5 ";"8,0 ";"17 ";"22 ";"1570510-06 ";"32,3 ";"";"1758 "
"400 ";"1/2''-14 ";"29,5 ";"29,5 ";"29,5 ";"11,0 ";"19 ";"27 ";"1570510-08 ";"39 ";"";"1759 "
"400 ";"3/4''-14 ";"37,0 ";"37,0 ";"37,0 ";"16,0 ";"27 ";"32 ";"1570510-12 ";"59,8 ";"";"1760 "
"400 ";"1''-11 ";"43,0 ";"43,0 ";"43,0 ";"22,0 ";"36 ";"41 ";"1570510-16 ";"85 ";"";"1761 "
"200 ";"1 1/4''-11 ";"51,0 ";"51,0 ";"51,0 ";"28,0 ";"41 ";"50 ";"1570510-20 ";"110,9 ";"";"1762 "
"200 ";"1 1/2''-11 ";"59,0 ";"50,0 ";"59,0 ";"33,5 ";"50 ";"55 ";"1570510-24 ";"155 ";"";"1763 "
"100 ";"2''-11 ";"77,5 ";"80,0 ";"77,5 ";"42,0 ";"65 ";"70 ";"1570510-32 ";"750 ";"";"1764 "
