"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"8 ";"6 ";"47,0 ";"32,0 ";"14 ";"19 ";"17 ";"KOR-S-08/06 ";"17,54 ";"S ";"7790 "
"630 ";"10 ";"6 ";"48,0 ";"33,0 ";"14 ";"22 ";"17 ";"KOR-S-10/06 ";"17,79 ";"S ";"7791 "
"630 ";"10 ";"8 ";"48,0 ";"33,0 ";"17 ";"22 ";"19 ";"KOR-S-10/08 ";"18,3 ";"S ";"7792 "
"630 ";"12 ";"6 ";"50,0 ";"35,0 ";"14 ";"24 ";"17 ";"KOR-S-12/06 ";"19,17 ";"S ";"7793 "
"630 ";"12 ";"8 ";"50,0 ";"35,0 ";"17 ";"24 ";"19 ";"KOR-S-12/08 ";"20,61 ";"S ";"7794 "
"630 ";"12 ";"10 ";"51,0 ";"34,5 ";"19 ";"24 ";"22 ";"KOR-S-12/10 ";"21,42 ";"S ";"7795 "
"630 ";"14 ";"6 ";"50,0 ";"35,0 ";"17 ";"27 ";"17 ";"KOR-S-14/06 ";"20,71 ";"S ";"7796 "
"630 ";"14 ";"8 ";"50,0 ";"35,0 ";"17 ";"27 ";"19 ";"KOR-S-14/08 ";"21,3 ";"S ";"7797 "
"630 ";"14 ";"10 ";"51,0 ";"34,5 ";"19 ";"27 ";"22 ";"KOR-S-14/10 ";"22,39 ";"S ";"7798 "
"630 ";"14 ";"12 ";"51,0 ";"34,5 ";"22 ";"27 ";"24 ";"KOR-S-14/12 ";"24,34 ";"S ";"7799 "
"400 ";"16 ";"6 ";"54,0 ";"39,0 ";"17 ";"30 ";"17 ";"KOR-S-16/06 ";"26,15 ";"S ";"7800 "
"400 ";"16 ";"8 ";"54,0 ";"39,0 ";"17 ";"30 ";"19 ";"KOR-S-16/08 ";"26,26 ";"S ";"7801 "
"400 ";"16 ";"10 ";"55,0 ";"38,5 ";"19 ";"30 ";"22 ";"KOR-S-16/10 ";"27,28 ";"S ";"7802 "
"400 ";"16 ";"12 ";"55,0 ";"38,5 ";"22 ";"30 ";"24 ";"KOR-S-16/12 ";"29,25 ";"S ";"7803 "
"400 ";"16 ";"14 ";"58,0 ";"40,0 ";"22 ";"30 ";"27 ";"KOR-S-16/14 ";"28,35 ";"S ";"7804 "
"400 ";"20 ";"6 ";"58,5 ";"43,5 ";"22 ";"36 ";"17 ";"KOR-S-20/06 ";"28,89 ";"S ";"7805 "
"400 ";"20 ";"8 ";"58,5 ";"43,5 ";"22 ";"36 ";"19 ";"KOR-S-20/08 ";"29,09 ";"S ";"7806 "
"400 ";"20 ";"10 ";"59,5 ";"43,0 ";"22 ";"36 ";"22 ";"KOR-S-20/10 ";"32,57 ";"S ";"7807 "
