"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Rohr A.D.  Tube O.D.  D3";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"8 ";"6 ";"14 ";"17 ";"14 ";"14 ";"TRV-L-06/08/06 ";"36,77 ";"L ";"3140 "
"500 ";"6 ";"8 ";"8 ";"14 ";"17 ";"17 ";"14 ";"TRV-L-06/08/08 ";"36,77 ";"L ";"11790 "
"500 ";"6 ";"10 ";"6 ";"14 ";"19 ";"14 ";"17 ";"TRV-L-06/10/06 ";"40,2 ";"L ";"3142 "
"500 ";"8 ";"6 ";"8 ";"17 ";"14 ";"17 ";"14 ";"TRV-L-08/06/08 ";"36,69 ";"L ";"3141 "
"500 ";"8 ";"10 ";"8 ";"17 ";"19 ";"17 ";"17 ";"TRV-L-08/10/08 ";"40,53 ";"L ";"3143 "
"400 ";"8 ";"12 ";"8 ";"17 ";"22 ";"17 ";"17 ";"TRV-L-08/12/08 ";"43,34 ";"L ";"3147 "
"500 ";"10 ";"6 ";"10 ";"19 ";"14 ";"19 ";"17 ";"TRV-L-10/06/10 ";"40,23 ";"L ";"3144 "
"500 ";"10 ";"8 ";"10 ";"19 ";"17 ";"19 ";"17 ";"TRV-L-10/08/10 ";"40,4 ";"L ";"3145 "
"500 ";"10 ";"10 ";"6 ";"19 ";"19 ";"14 ";"17 ";"TRV-L-10/10/06 ";"40,23 ";"L ";"3146 "
"400 ";"10 ";"12 ";"10 ";"19 ";"22 ";"19 ";"17 ";"TRV-L-10/12/10 ";"43,7 ";"L ";"3154 "
"400 ";"10 ";"15 ";"10 ";"19 ";"27 ";"19 ";"19 ";"TRV-L-10/15/10 ";"65,83 ";"L ";"3155 "
"400 ";"12 ";"6 ";"12 ";"22 ";"14 ";"22 ";"17 ";"TRV-L-12/06/12 ";"43,37 ";"L ";"3148 "
"400 ";"12 ";"8 ";"8 ";"22 ";"17 ";"17 ";"17 ";"TRV-L-12/08/08 ";"43,34 ";"L ";"3149 "
"400 ";"12 ";"8 ";"12 ";"22 ";"17 ";"22 ";"17 ";"TRV-L-12/08/12 ";"43,56 ";"L ";"3150 "
"400 ";"12 ";"10 ";"10 ";"22 ";"19 ";"19 ";"17 ";"TRV-L-12/10/10 ";"43,7 ";"L ";"3151 "
"400 ";"12 ";"10 ";"12 ";"22 ";"19 ";"22 ";"17 ";"TRV-L-12/10/12 ";"43,74 ";"L ";"3152 "
"400 ";"12 ";"12 ";"10 ";"22 ";"22 ";"19 ";"17 ";"TRV-L-12/12/10 ";"43,74 ";"L ";"3153 "
"400 ";"12 ";"15 ";"12 ";"22 ";"27 ";"22 ";"19 ";"TRV-L-12/15/12 ";"66,18 ";"L ";"3156 "
"400 ";"12 ";"18 ";"12 ";"22 ";"32 ";"22 ";"24 ";"TRV-L-12/18/12 ";"84,7 ";"L ";"3164 "
"400 ";"15 ";"6 ";"15 ";"27 ";"14 ";"27 ";"19 ";"TRV-L-15/06/15 ";"66,99 ";"L ";"3157 "
"400 ";"15 ";"8 ";"15 ";"27 ";"17 ";"27 ";"19 ";"TRV-L-15/08/15 ";"66,99 ";"L ";"3158 "
"400 ";"15 ";"10 ";"15 ";"27 ";"19 ";"27 ";"19 ";"TRV-L-15/10/15 ";"66,87 ";"L ";"3159 "
"400 ";"15 ";"12 ";"12 ";"27 ";"22 ";"22 ";"19 ";"TRV-L-15/12/12 ";"66,58 ";"L ";"3160 "
"400 ";"15 ";"12 ";"15 ";"27 ";"22 ";"27 ";"19 ";"TRV-L-15/12/15 ";"66,94 ";"L ";"3161 "
"400 ";"15 ";"15 ";"12 ";"27 ";"27 ";"22 ";"19 ";"TRV-L-15/15/12 ";"66,94 ";"L ";"3162 "
