"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 10 x 1 ";"12,0 ";"24,0 ";"19,0 ";"17 ";"18 ";"THV-L-06-M 10x1-OMD ";"130,87 ";"L ";"6903 "
"400 ";"8 ";"M 12 x 1,5 ";"14,5 ";"30,0 ";"22,5 ";"19 ";"22 ";"THV-L-08-M 12x1,5-OMD ";"145,23 ";"L ";"6904 "
"350 ";"10 ";"M 14 x 1,5 ";"15,5 ";"30,0 ";"22,5 ";"19 ";"22 ";"THV-L-10-M 14x1,5-OMD ";"169,68 ";"L ";"6905 "
"350 ";"12 ";"M 16 x 1,5 ";"18,0 ";"36,0 ";"25,5 ";"24 ";"27 ";"THV-L-12-M 16x1,5-OMD ";"186,51 ";"L ";"6906 "
"315 ";"15 ";"M 18 x 1,5 ";"20,5 ";"39,5 ";"27,5 ";"27 ";"30 ";"THV-L-15-M 18x1,5-OMD ";"255,6 ";"L ";"6907 "
"315 ";"18 ";"M 22 x 1,5 ";"21,0 ";"45,0 ";"28,5 ";"30 ";"32 ";"THV-L-18-M 22x1,5-OMD ";"315,1 ";"L ";"6908 "
"200 ";"22 ";"M 26 x 1,5 ";"27,5 ";"53,0 ";"35,0 ";"36 ";"40 ";"THV-L-22-M 26x1,5-OMD ";"498,35 ";"L ";"6909 "
"200 ";"28 ";"M 33 x 2 ";"32,0 ";"66,0 ";"39,5 ";"46 ";"50 ";"THV-L-28-M 33x2-OMD ";"719,35 ";"L ";"6910 "
"200 ";"35 ";"M 42 x 2 ";"36,0 ";"76,0 ";"46,5 ";"55 ";"60 ";"THV-L-35-M 42x2-OMD ";"965,04 ";"L ";"6911 "
"200 ";"42 ";"M 48 x 2 ";"40,5 ";"87,0 ";"51,0 ";"60 ";"70 ";"THV-L-42-M 48x2-OMD ";"1192,71 ";"L ";"6912 "
"100 ";"4 ";"M 8 x 1 ";"11,0 ";"24,0 ";"17,0 ";"17 ";"18 ";"THV-LL-04-M 8x1-OMD ";"131,61 ";"LL ";"6900 "
"100 ";"6 ";"M 10 x 1 ";"11,5 ";"24,0 ";"17,0 ";"17 ";"18 ";"THV-LL-06-M 10x1-OMD ";"130,85 ";"LL ";"6901 "
"100 ";"8 ";"M 10 x 1 ";"12,5 ";"24,0 ";"18,0 ";"17 ";"18 ";"THV-LL-08-M 10x1-OMD ";"129,93 ";"LL ";"6902 "
"500 ";"6 ";"M 12 x 1,5 ";"16,5 ";"30,0 ";"22,5 ";"19 ";"22 ";"THV-S-06-M 12x1,5-OMD ";"145,25 ";"S ";"6913 "
"450 ";"8 ";"M 14 x 1,5 ";"16,5 ";"30,0 ";"22,5 ";"19 ";"22 ";"THV-S-08-M 14x1,5-OMD ";"162,33 ";"S ";"6914 "
"400 ";"10 ";"M 16 x 1,5 ";"18,5 ";"36,0 ";"25,5 ";"24 ";"27 ";"THV-S-10-M 16x1,5-OMD ";"191,53 ";"S ";"6915 "
"400 ";"12 ";"M 18 x 1,5 ";"20,0 ";"39,5 ";"25,5 ";"27 ";"30 ";"THV-S-12-M 18x1,5-OMD ";"203,29 ";"S ";"6916 "
"400 ";"14 ";"M 20 x 1,5 ";"22,5 ";"43,5 ";"";"30 ";"32 ";"THV-S-14-M 20x1,5-OMD ";"265,1 ";"S ";"6917 "
"400 ";"16 ";"M 22 x 1,5 ";"22,0 ";"45,0 ";"30,5 ";"30 ";"32 ";"THV-S-16-M 22x1,5-OMD ";"331,26 ";"S ";"6918 "
"400 ";"20 ";"M 27 x 2 ";"26,5 ";"53,0 ";"37,0 ";"36 ";"40 ";"THV-S-20-M 27x2-OMD ";"492,7 ";"S ";"6919 "
"250 ";"25 ";"M 33 x 2 ";"31,5 ";"66,0 ";"43,5 ";"46 ";"50 ";"THV-S-25-M 33x2-OMD ";"660,68 ";"S ";"6920 "
"250 ";"30 ";"M 42 x 2 ";"37,0 ";"76,0 ";"51,0 ";"55 ";"60 ";"THV-S-30-M 42x2-OMD ";"883,69 ";"S ";"6921 "
"250 ";"38 ";"M 48 x 2 ";"41,5 ";"87,0 ";"57,0 ";"60 ";"70 ";"THV-S-38-M 48x2-OMD ";"1056,47 ";"S ";"6922 "
