"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"12,0 ";"24 ";"17 ";"18 ";"14 ";"THV-L-06-G 1/8''-SC ";"131,02 ";"L ";"6810 "
"400 ";"8 ";"G 1/4'' ";"14,5 ";"30 ";"19 ";"22 ";"17 ";"THV-L-08-G 1/4''-SC ";"144,04 ";"L ";"6811 "
"350 ";"10 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"19 ";"THV-L-10-G 1/4''-SC ";"167,05 ";"L ";"6812 "
"350 ";"12 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"22 ";"THV-L-12-G 1/4''-SC ";"201,02 ";"L ";"6813 "
"350 ";"12 ";"G 3/8'' ";"18,0 ";"36 ";"24 ";"27 ";"22 ";"THV-L-12-G 3/8''-SC ";"185,19 ";"L ";"6814 "
"315 ";"15 ";"G 1/2'' ";"21,5 ";"45 ";"30 ";"32 ";"27 ";"THV-L-15-G 1/2''-SC ";"255,25 ";"L ";"6815 "
"315 ";"18 ";"G 1/2'' ";"21,0 ";"45 ";"30 ";"32 ";"32 ";"THV-L-18-G 1/2''-SC ";"317,73 ";"L ";"6816 "
"200 ";"22 ";"G 3/4'' ";"27,5 ";"53 ";"36 ";"40 ";"36 ";"THV-L-22-G 3/4''-SC ";"499,48 ";"L ";"6817 "
"200 ";"28 ";"G 1'' ";"32,0 ";"66 ";"46 ";"50 ";"41 ";"THV-L-28-G 1''-SC ";"719,82 ";"L ";"6818 "
"200 ";"35 ";"G 1 1/4'' ";"36,0 ";"76 ";"55 ";"60 ";"50 ";"THV-L-35-G 1 1/4''-SC ";"968,68 ";"L ";"6819 "
"200 ";"42 ";"G 1 1/2'' ";"40,5 ";"87 ";"60 ";"70 ";"60 ";"THV-L-42-G 1 1/2''-SC ";"1199,97 ";"L ";"6820 "
"500 ";"6 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"17 ";"THV-S-06-G 1/4''-SC ";"144,04 ";"S ";"6821 "
"450 ";"8 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"19 ";"THV-S-08-G 1/4''-SC ";"161,94 ";"S ";"6822 "
"400 ";"10 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"22 ";"THV-S-10-G 1/4''-SC ";"200,62 ";"S ";"6823 "
"400 ";"10 ";"G 3/8'' ";"18,5 ";"36 ";"24 ";"27 ";"22 ";"THV-S-10-G 3/8''-SC ";"190,3 ";"S ";"6824 "
"400 ";"12 ";"G 3/8'' ";"18,5 ";"36 ";"24 ";"27 ";"24 ";"THV-S-12-G 3/8''-SC ";"203,64 ";"S ";"6825 "
"400 ";"14 ";"G 1/2'' ";"22,5 ";"45 ";"30 ";"32 ";"27 ";"THV-S-14-G 1/2''-SC ";"263,88 ";"S ";"6826 "
"400 ";"16 ";"G 1/2'' ";"22,0 ";"45 ";"30 ";"32 ";"30 ";"THV-S-16-G 1/2''-SC ";"332,91 ";"S ";"6827 "
"400 ";"20 ";"G 3/4'' ";"26,5 ";"53 ";"36 ";"40 ";"36 ";"THV-S-20-G 3/4''-SC ";"494,61 ";"S ";"6828 "
"250 ";"25 ";"G 1'' ";"31,5 ";"66 ";"46 ";"50 ";"46 ";"THV-S-25-G 1''-SC ";"670,69 ";"S ";"6829 "
"250 ";"30 ";"G 1 1/4'' ";"37,0 ";"76 ";"55 ";"60 ";"50 ";"THV-S-30-G 1 1/4''-SC ";"895,43 ";"S ";"6830 "
"250 ";"38 ";"G 1 1/2'' ";"41,5 ";"87 ";"60 ";"70 ";"60 ";"THV-S-38-G 1 1/2''-SC ";"1131,03 ";"S ";"6831 "
