"Druck  Pressure  PB";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"6 ";"M 10 x 1 ";"26,5 ";"33,5 ";"8 ";"17 ";"17 ";"RZ-L-06-M 10x1-wd-OMD ";"51,38 ";"L ";"7530 "
"250 ";"8 ";"M 12 x 1,5 ";"28,5 ";"35,5 ";"12 ";"19 ";"17 ";"RZ-L-08-M 12x1,5-wd-OMD ";"56 ";"L ";"7531 "
"250 ";"10 ";"M 14 x 1,5 ";"38,5 ";"45,5 ";"12 ";"24 ";"22 ";"RZ-L-10-M 14x1,5-wd-OMD ";"65,67 ";"L ";"7532 "
"250 ";"12 ";"M 16 x 1,5 ";"40,5 ";"47,5 ";"12 ";"30 ";"27 ";"RZ-L-12-M 16x1,5-wd-OMD ";"77,92 ";"L ";"7533 "
"250 ";"15 ";"M 18 x 1,5 ";"42,5 ";"49,5 ";"12 ";"30 ";"27 ";"RZ-L-15-M 18x1,5-wd-OMD ";"86,89 ";"L ";"7534 "
"160 ";"18 ";"M 22 x 1,5 ";"48,0 ";"55,5 ";"14 ";"36 ";"36 ";"RZ-L-18-M 22x1,5-wd-OMD ";"111,54 ";"L ";"7535 "
"160 ";"22 ";"M 26 x 1,5 ";"56,0 ";"63,5 ";"16 ";"46 ";"41 ";"RZ-L-22-M 26x1,5-wd-OMD ";"161,49 ";"L ";"7536 "
"100 ";"28 ";"M 33 x 2 ";"64,0 ";"71,5 ";"18 ";"55 ";"50 ";"RZ-L-28-M 33x2-wd-OMD ";"217,79 ";"L ";"7537 "
"100 ";"35 ";"M 42 x 2 ";"70,0 ";"80,5 ";"20 ";"60 ";"60 ";"RZ-L-35-M 42x2-wd-OMD ";"313,79 ";"L ";"7538 "
"100 ";"42 ";"M 48 x 2 ";"71,5 ";"82,5 ";"22 ";"70 ";"65 ";"RZ-L-42-M 48x2-wd-OMD ";"445,52 ";"L ";"7539 "
"630 ";"6 ";"M 12 x 1,5 ";"31,5 ";"38,5 ";"12 ";"19 ";"19 ";"RZ-S-06-M 12x1,5-wd-OMD ";"56,01 ";"S ";"7540 "
"630 ";"8 ";"M 14 x 1,5 ";"31,5 ";"38,5 ";"12 ";"22 ";"19 ";"RZ-S-08-M 14x1,5-wd-OMD ";"58,16 ";"S ";"7541 "
"630 ";"10 ";"M 16 x 1,5 ";"38,0 ";"45,5 ";"12 ";"27 ";"24 ";"RZ-S-10-M 16x1,5-wd-OMD ";"67,64 ";"S ";"7542 "
"630 ";"12 ";"M 18 x 1,5 ";"41,0 ";"48,5 ";"12 ";"30 ";"27 ";"RZ-S-12-M 18x1,5-wd-OMD ";"72,24 ";"S ";"7543 "
"630 ";"14 ";"M 20 x 1,5 ";"43,5 ";"51,5 ";"14 ";"32 ";"27 ";"RZ-S-14-M 20x1,5-wd-OMD ";"81,42 ";"S ";"7544 "
"400 ";"16 ";"M 22 x 1,5 ";"46,0 ";"54,5 ";"14 ";"36 ";"32 ";"RZ-S-16-M 22x1,5-wd-OMD ";"96,61 ";"S ";"7545 "
"400 ";"20 ";"M 27 x 2 ";"50,0 ";"60,5 ";"16 ";"46 ";"41 ";"RZ-S-20-M 27x2-wd-OMD ";"155,59 ";"S ";"7546 "
"400 ";"25 ";"M 33 x 2 ";"54,5 ";"66,5 ";"18 ";"50 ";"46 ";"RZ-S-25-M 33x2-wd-OMD ";"193,57 ";"S ";"7547 "
"250 ";"30 ";"M 42 x 2 ";"64,0 ";"77,5 ";"20 ";"60 ";"55 ";"RZ-S-30-M 42x2-wd-OMD ";"283,34 ";"S ";"7548 "
"250 ";"38 ";"M 48 x 2 ";"71,5 ";"87,5 ";"22 ";"70 ";"65 ";"RZ-S-38-M 48x2-wd-OMD ";"382,34 ";"S ";"7549 "
