"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"1/8'' NPT ";"27 ";"12,0 ";"20,0 ";"10,0 ";"12 ";"14 ";"TE-L-06-1/8''-NPT ";"30,17 ";"L ";"5591 "
"315 ";"6 ";"1/4'' NPT ";"27 ";"12,0 ";"25,0 ";"15,0 ";"12 ";"14 ";"TE-L-06-1/4''-NPT ";"31,7 ";"L ";"5592 "
"315 ";"8 ";"1/4'' NPT ";"29 ";"14,0 ";"26,0 ";"15,0 ";"12 ";"17 ";"TE-L-08-1/4''-NPT ";"31,93 ";"L ";"5593 "
"315 ";"10 ";"1/4'' NPT ";"30 ";"15,0 ";"27,0 ";"15,0 ";"14 ";"19 ";"TE-L-10-1/4''-NPT ";"35,28 ";"L ";"5594 "
"315 ";"10 ";"3/8'' NPT ";"30 ";"15,0 ";"27,5 ";"15,3 ";"14 ";"19 ";"TE-L-10-3/8''-NPT ";"42,18 ";"L ";"5595 "
"315 ";"10 ";"1/2'' NPT ";"37 ";"21,0 ";"33,0 ";"20,0 ";"17 ";"19 ";"TE-L-10-1/2''-NPT ";"44,38 ";"L ";"5596 "
"315 ";"12 ";"1/4'' NPT ";"32 ";"17,0 ";"28,0 ";"15,0 ";"17 ";"22 ";"TE-L-12-1/4''-NPT ";"42,57 ";"L ";"5597 "
"315 ";"12 ";"3/8'' NPT ";"32 ";"17,0 ";"28,0 ";"15,3 ";"17 ";"22 ";"TE-L-12-3/8''-NPT ";"42,57 ";"L ";"5598 "
"315 ";"12 ";"1/2'' NPT ";"36 ";"21,0 ";"34,0 ";"20,0 ";"17 ";"22 ";"TE-L-12-1/2''-NPT ";"44,74 ";"L ";"5599 "
"315 ";"15 ";"3/8'' NPT ";"36 ";"21,0 ";"34,0 ";"15,3 ";"19 ";"27 ";"TE-L-15-3/8''-NPT ";"";"L ";"5600 "
"315 ";"15 ";"1/2'' NPT ";"36 ";"21,0 ";"34,0 ";"20,0 ";"19 ";"27 ";"TE-L-15-1/2''-NPT ";"58,54 ";"L ";"5601 "
"315 ";"18 ";"1/2'' NPT ";"40 ";"23,5 ";"36,0 ";"20,0 ";"24 ";"32 ";"TE-L-18-1/2''-NPT ";"94,59 ";"L ";"5602 "
"160 ";"22 ";"3/4'' NPT ";"44 ";"27,5 ";"42,0 ";"20,0 ";"27 ";"36 ";"TE-L-22-3/4''-NPT ";"99,7 ";"L ";"5603 "
"160 ";"28 ";"1'' NPT ";"47 ";"30,5 ";"48,0 ";"25,0 ";"36 ";"41 ";"TE-L-28-1''-NPT ";"163,62 ";"L ";"5604 "
"160 ";"35 ";"1 1/4'' NPT ";"56 ";"34,5 ";"54,0 ";"25,5 ";"41 ";"50 ";"TE-L-35-1 1/4''-NPT ";"309,34 ";"L ";"5605 "
"160 ";"42 ";"1 1/2'' NPT ";"63 ";"40,0 ";"61,0 ";"26,0 ";"50 ";"60 ";"TE-L-42-1 1/2''-NPT ";"317,01 ";"L ";"5606 "
"100 ";"4 ";"1/8'' NPT ";"21 ";"11,0 ";"17,0 ";"10,0 ";"9 ";"10 ";"TE-LL-04-1/8''-NPT ";"";"LL ";"5588 "
"100 ";"6 ";"1/8'' NPT ";"21 ";"9,5 ";"17,0 ";"10,0 ";"9 ";"12 ";"TE-LL-06-1/8''-NPT ";"28,38 ";"LL ";"5589 "
"100 ";"8 ";"1/8'' NPT ";"23 ";"11,5 ";"20,0 ";"10,0 ";"12 ";"14 ";"TE-LL-08-1/8''-NPT ";"29,14 ";"LL ";"5590 "
"630 ";"6 ";"1/4'' NPT ";"31 ";"16,0 ";"26,0 ";"15,0 ";"12 ";"17 ";"TE-S-06-1/4''-NPT ";"32,88 ";"S ";"5607 "
"630 ";"8 ";"1/4'' NPT ";"32 ";"17,0 ";"27,0 ";"15,0 ";"14 ";"19 ";"TE-S-08-1/4''-NPT ";"33,59 ";"S ";"5608 "
"630 ";"10 ";"1/4'' NPT ";"34 ";"17,5 ";"28,0 ";"15,0 ";"17 ";"22 ";"TE-S-10-1/4''-NPT ";"";"S ";"5609 "
"630 ";"10 ";"3/8'' NPT ";"34 ";"17,5 ";"28,0 ";"15,3 ";"17 ";"22 ";"TE-S-10-3/8''-NPT ";"40,98 ";"S ";"5610 "
"630 ";"10 ";"1/2'' NPT ";"";"";"";"20,0 ";"17 ";"22 ";"TE-S-10-1/2''-NPT ";"";"S ";"5611 "
"630 ";"12 ";"1/4'' NPT ";"38 ";"21,5 ";"29,0 ";"15,0 ";"17 ";"24 ";"TE-S-12-1/4''-NPT ";"";"S ";"5612 "
"630 ";"12 ";"3/8'' NPT ";"38 ";"21,5 ";"28,0 ";"15,3 ";"17 ";"24 ";"TE-S-12-3/8''-NPT ";"47,93 ";"S ";"5613 "
"630 ";"12 ";"1/2'' NPT ";"39 ";"21,5 ";"34,0 ";"20,0 ";"19 ";"24 ";"TE-S-12-1/2''-NPT ";"64,8 ";"S ";"5614 "
"630 ";"14 ";"1/2'' NPT ";"40 ";"22,0 ";"34,0 ";"20,0 ";"19 ";"27 ";"TE-S-14-1/2''-NPT ";"58,8 ";"S ";"5615 "
"400 ";"16 ";"1/2'' NPT ";"43 ";"24,5 ";"36,0 ";"20,0 ";"24 ";"30 ";"TE-S-16-1/2''-NPT ";"92,03 ";"S ";"5616 "
"400 ";"20 ";"3/4'' NPT ";"48 ";"26,5 ";"42,0 ";"20,0 ";"27 ";"36 ";"TE-S-20-3/4''-NPT ";"112,49 ";"S ";"5617 "
"400 ";"25 ";"1'' NPT ";"54 ";"30,0 ";"48,0 ";"25,0 ";"36 ";"46 ";"TE-S-25-1''-NPT ";"173,84 ";"S ";"5618 "
"400 ";"30 ";"1 1/4'' NPT ";"62 ";"35,5 ";"54,0 ";"25,5 ";"41 ";"50 ";"TE-S-30-1 1/4''-NPT ";"232,64 ";"S ";"5619 "
"315 ";"38 ";"1 1/2'' NPT ";"72 ";"41,0 ";"61,0 ";"26,0 ";"50 ";"60 ";"TE-S-38-1 1/2''-NPT ";"432,05 ";"S ";"5620 "
