"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 10 x 1 ";"12,0 ";"34,5 ";"26,0 ";"19,0 ";"8 ";"14 ";"12 ";"14 ";"ET-DKOL-06-M 10x1-wd-OMD ";"38,91 ";"L ";"8830 "
"500 ";"8 ";"M 12 x 1,5 ";"14,0 ";"37,5 ";"27,5 ";"21,0 ";"12 ";"17 ";"12 ";"17 ";"ET-DKOL-08-M 12x1,5-wd-OMD ";"40,71 ";"L ";"8831 "
"500 ";"10 ";"M 14 x 1,5 ";"15,0 ";"40,0 ";"29,0 ";"22,0 ";"12 ";"19 ";"14 ";"19 ";"ET-DKOL-10-M 14x1,5-wd-OMD ";"48,69 ";"L ";"8832 "
"400 ";"12 ";"M 16 x 1,5 ";"17,0 ";"42,0 ";"29,5 ";"24,0 ";"12 ";"22 ";"17 ";"22 ";"ET-DKOL-12-M 16x1,5-wd-OMD ";"54,47 ";"L ";"8833 "
"400 ";"15 ";"M 18 x 1,5 ";"21,0 ";"46,0 ";"32,5 ";"28,0 ";"12 ";"24 ";"19 ";"27 ";"ET-DKOL-15-M 18x1,5-wd-OMD ";"72,49 ";"L ";"8834 "
"400 ";"18 ";"M 22 x 1,5 ";"23,5 ";"50,0 ";"35,5 ";"31,0 ";"14 ";"27 ";"24 ";"32 ";"ET-DKOL-18-M 22x1,5-wd-OMD ";"91,44 ";"L ";"8835 "
"250 ";"22 ";"M 26 x 1,5 ";"27,5 ";"55,0 ";"38,5 ";"35,0 ";"16 ";"32 ";"27 ";"36 ";"ET-DKOL-22-M 26x1,5-wd-OMD ";"109,94 ";"L ";"8836 "
"250 ";"28 ";"M 33 x 2 ";"30,5 ";"59,0 ";"41,5 ";"38,0 ";"18 ";"41 ";"36 ";"41 ";"ET-DKOL-28-M 33x2-wd-OMD ";"192,56 ";"L ";"8837 "
"250 ";"35 ";"M 42 x 2 ";"34,5 ";"68,5 ";"51,0 ";"45,0 ";"20 ";"50 ";"41 ";"50 ";"ET-DKOL-35-M 42x2-wd-OMD ";"272,33 ";"L ";"8838 "
"250 ";"42 ";"M 48 x 2 ";"40,0 ";"75,0 ";"56,0 ";"51,0 ";"22 ";"55 ";"50 ";"60 ";"ET-DKOL-42-M 48x2-wd-OMD ";"370,21 ";"L ";"8839 "
"800 ";"6 ";"M 12 x 1,5 ";"16,0 ";"40,0 ";"27,0 ";"23,0 ";"12 ";"17 ";"12 ";"17 ";"ET-DKOS-06-M 12x1,5-wd-OMD ";"42,81 ";"S ";"8840 "
"800 ";"8 ";"M 14 x 1,5 ";"17,0 ";"42,5 ";"27,5 ";"24,0 ";"12 ";"19 ";"14 ";"19 ";"ET-DKOS-08-M 14x1,5-wd-OMD ";"46,44 ";"S ";"8841 "
"800 ";"10 ";"M 16 x 1,5 ";"17,5 ";"45,0 ";"30,0 ";"25,0 ";"12 ";"22 ";"17 ";"22 ";"ET-DKOS-10-M 16x1,5-wd-OMD ";"55,96 ";"S ";"8842 "
"630 ";"12 ";"M 18 x 1,5 ";"21,5 ";"48,0 ";"31,0 ";"29,0 ";"12 ";"24 ";"17 ";"24 ";"ET-DKOS-12-M 18x1,5-wd-OMD ";"60,1 ";"S ";"8843 "
"630 ";"14 ";"M 20 x 1,5 ";"22,0 ";"54,0 ";"35,0 ";"30,0 ";"14 ";"27 ";"19 ";"27 ";"ET-DKOS-14-M 20x1,5-wd-OMD ";"76,38 ";"S ";"8844 "
"630 ";"16 ";"M 22 x 1,5 ";"24,5 ";"55,0 ";"36,5 ";"33,0 ";"14 ";"27 ";"24 ";"30 ";"ET-DKOS-16-M 22x1,5-wd-OMD ";"92,97 ";"S ";"8845 "
"420 ";"20 ";"M 27 x 2 ";"26,5 ";"65,0 ";"44,5 ";"37,0 ";"16 ";"32 ";"27 ";"36 ";"ET-DKOS-20-M 27x2-wd-OMD ";"120,98 ";"S ";"8846 "
"420 ";"25 ";"M 33 x 2 ";"30,0 ";"73,0 ";"50,0 ";"42,0 ";"18 ";"41 ";"36 ";"46 ";"ET-DKOS-25-M 33x2-wd-OMD ";"187,53 ";"S ";"8847 "
"420 ";"30 ";"M 42 x 2 ";"35,5 ";"78,5 ";"55,0 ";"49,0 ";"20 ";"50 ";"41 ";"50 ";"ET-DKOS-30-M 42x2-wd-OMD ";"241,83 ";"S ";"8848 "
"420 ";"38 ";"M 48 x 2 ";"41,0 ";"89,0 ";"63,0 ";"57,0 ";"22 ";"55 ";"50 ";"60 ";"ET-DKOS-38-M 48x2-wd-OMD ";"366,03 ";"S ";"8849 "
