"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"12,0 ";"24 ";"19,0 ";"17 ";"18 ";"THV-L-06-G 1/8''-OMD ";"125,76 ";"L ";"6835 "
"400 ";"8 ";"G 1/4'' ";"14,5 ";"30 ";"22,5 ";"19 ";"22 ";"THV-L-08-G 1/4''-OMD ";"137,56 ";"L ";"6836 "
"350 ";"10 ";"G 1/4'' ";"15,5 ";"30 ";"22,5 ";"19 ";"22 ";"THV-L-10-G 1/4''-OMD ";"159,45 ";"L ";"6837 "
"350 ";"12 ";"G 1/4'' ";"15,5 ";"30 ";"22,5 ";"19 ";"22 ";"THV-L-12-G 1/4''-OMD ";"192,12 ";"L ";"6838 "
"350 ";"12 ";"G 3/8'' ";"18,0 ";"36 ";"25,5 ";"24 ";"27 ";"THV-L-12-G 3/8''-OMD ";"176,29 ";"L ";"6839 "
"315 ";"15 ";"G 1/2'' ";"21,5 ";"45 ";"28,5 ";"30 ";"32 ";"THV-L-15-G 1/2''-OMD ";"242,81 ";"L ";"6840 "
"315 ";"18 ";"G 1/2'' ";"21,0 ";"45 ";"28,5 ";"30 ";"32 ";"THV-L-18-G 1/2''-OMD ";"297,21 ";"L ";"6841 "
"200 ";"22 ";"G 3/4'' ";"27,5 ";"53 ";"35,0 ";"36 ";"40 ";"THV-L-22-G 3/4''-OMD ";"475,34 ";"L ";"6842 "
"200 ";"28 ";"G 1'' ";"32,0 ";"66 ";"39,5 ";"46 ";"50 ";"THV-L-28-G 1''-OMD ";"686,12 ";"L ";"6843 "
"200 ";"35 ";"G 1 1/4'' ";"36,0 ";"76 ";"46,5 ";"55 ";"60 ";"THV-L-35-G 1 1/4''-OMD ";"919,02 ";"L ";"6844 "
"200 ";"42 ";"G 1 1/2'' ";"40,5 ";"87 ";"51,0 ";"60 ";"70 ";"THV-L-42-G 1 1/2''-OMD ";"1136,47 ";"L ";"6845 "
"100 ";"4 ";"G 1/8'' ";"11,0 ";"24 ";"17,0 ";"17 ";"18 ";"THV-LL-04-G 1/8''-OMD ";"125,06 ";"LL ";"6832 "
"100 ";"6 ";"G 1/8'' ";"11,5 ";"24 ";"17,0 ";"17 ";"18 ";"THV-LL-06-G 1/8''-OMD ";"124,3 ";"LL ";"6833 "
"100 ";"8 ";"G 1/8'' ";"12,5 ";"24 ";"18,0 ";"17 ";"18 ";"THV-LL-08-G 1/8''-OMD ";"123,38 ";"LL ";"6834 "
"500 ";"6 ";"G 1/4'' ";"16,5 ";"30 ";"22,5 ";"19 ";"22 ";"THV-S-06-G 1/4''-OMD ";"137,58 ";"S ";"6846 "
"450 ";"8 ";"G 1/4'' ";"16,5 ";"30 ";"22,5 ";"19 ";"22 ";"THV-S-08-G 1/4''-OMD ";"154,66 ";"S ";"6847 "
"400 ";"10 ";"G 1/4'' ";"16,5 ";"30 ";"25,5 ";"19 ";"22 ";"THV-S-10-G 1/4''-OMD ";"191,62 ";"S ";"6848 "
"400 ";"10 ";"G 3/8'' ";"18,5 ";"36 ";"25,5 ";"24 ";"27 ";"THV-S-10-G 3/8''-OMD ";"181,3 ";"S ";"6849 "
"400 ";"12 ";"G 3/8'' ";"18,5 ";"36 ";"25,5 ";"24 ";"27 ";"THV-S-12-G 3/8''-OMD ";"193,06 ";"S ";"6850 "
"400 ";"14 ";"G 1/2'' ";"22,5 ";"45 ";"30,5 ";"30 ";"32 ";"THV-S-14-G 1/2''-OMD ";"249,76 ";"S ";"6851 "
"400 ";"16 ";"G 1/2'' ";"22,0 ";"45 ";"30,5 ";"30 ";"32 ";"THV-S-16-G 1/2''-OMD ";"313,37 ";"S ";"6852 "
"400 ";"20 ";"G 3/4'' ";"26,5 ";"53 ";"37,0 ";"36 ";"40 ";"THV-S-20-G 3/4''-OMD ";"469,69 ";"S ";"6853 "
"250 ";"25 ";"G 1'' ";"31,5 ";"66 ";"43,5 ";"46 ";"50 ";"THV-S-25-G 1''-OMD ";"627,45 ";"S ";"6854 "
"250 ";"30 ";"G 1 1/4'' ";"37,0 ";"76 ";"51,0 ";"55 ";"60 ";"THV-S-30-G 1 1/4''-OMD ";"840,23 ";"S ";"6855 "
"250 ";"38 ";"G 1 1/2'' ";"41,5 ";"87 ";"57,0 ";"60 ";"70 ";"THV-S-38-G 1 1/2''-OMD ";"1056,47 ";"S ";"6856 "
