"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/8'' ";"27 ";"12,0 ";"34,5 ";"26,0 ";"8 ";"14 ";"12 ";"14 ";"EVT-L-06-G 1/8'' ";"33,74 ";"L ";"7172 "
"315 ";"8 ";"G 1/4'' ";"29 ";"14,0 ";"37,5 ";"27,5 ";"12 ";"19 ";"12 ";"17 ";"EVT-L-08-G 1/4'' ";"37,95 ";"L ";"7173 "
"315 ";"10 ";"G 1/4'' ";"30 ";"15,0 ";"40,0 ";"29,0 ";"12 ";"19 ";"14 ";"19 ";"EVT-L-10-G 1/4'' ";"42,5 ";"L ";"7174 "
"315 ";"12 ";"G 3/8'' ";"32 ";"17,0 ";"42,0 ";"29,5 ";"12 ";"22 ";"17 ";"22 ";"EVT-L-12-G 3/8'' ";"48,49 ";"L ";"7175 "
"315 ";"15 ";"G 1/2'' ";"36 ";"21,0 ";"46,5 ";"32,5 ";"14 ";"27 ";"19 ";"27 ";"EVT-L-15-G 1/2'' ";"65,64 ";"L ";"7176 "
"315 ";"18 ";"G 1/2'' ";"40 ";"23,5 ";"50,0 ";"35,5 ";"14 ";"27 ";"24 ";"32 ";"EVT-L-18-G 1/2'' ";"89,96 ";"L ";"7177 "
"160 ";"22 ";"G 3/4'' ";"44 ";"27,5 ";"65,0 ";"38,5 ";"16 ";"32 ";"27 ";"36 ";"EVT-L-22-G 3/4'' ";"102,64 ";"L ";"7178 "
"160 ";"28 ";"G 1'' ";"47 ";"30,5 ";"59,0 ";"41,5 ";"18 ";"41 ";"36 ";"41 ";"EVT-L-28-G 1'' ";"165,02 ";"L ";"7179 "
"160 ";"35 ";"G 1 1/4'' ";"56 ";"34,5 ";"71,5 ";"54,0 ";"20 ";"50 ";"41 ";"50 ";"EVT-L-35-G 1 1/4'' ";"254,99 ";"L ";"7180 "
"160 ";"42 ";"G 1 1/2'' ";"63 ";"40,0 ";"75,0 ";"56,0 ";"22 ";"55 ";"50 ";"60 ";"EVT-L-42-G 1 1/2'' ";"346,33 ";"L ";"7181 "
"630 ";"6 ";"G 1/4'' ";"31 ";"16,0 ";"40,0 ";"27,0 ";"12 ";"19 ";"12 ";"17 ";"EVT-S-06-G 1/4'' ";"35,66 ";"S ";"7182 "
"630 ";"8 ";"G 1/4'' ";"32 ";"17,0 ";"42,5 ";"27,5 ";"12 ";"19 ";"14 ";"19 ";"EVT-S-08-G 1/4'' ";"41,44 ";"S ";"7183 "
"630 ";"10 ";"G 3/8'' ";"34 ";"17,5 ";"45,0 ";"30,0 ";"12 ";"22 ";"17 ";"22 ";"EVT-S-10-G 3/8'' ";"47,4 ";"S ";"7184 "
"630 ";"12 ";"G 3/8'' ";"38 ";"21,5 ";"48,0 ";"31,0 ";"12 ";"22 ";"17 ";"24 ";"EVT-S-12-G 3/8'' ";"50,73 ";"S ";"7185 "
"630 ";"14 ";"G 1/2'' ";"40 ";"22,0 ";"54,0 ";"35,0 ";"14 ";"27 ";"19 ";"27 ";"EVT-S-14-G 1/2'' ";"69,05 ";"S ";"7186 "
"400 ";"16 ";"G 1/2'' ";"43 ";"24,5 ";"55,0 ";"36,5 ";"14 ";"27 ";"24 ";"30 ";"EVT-S-16-G 1/2'' ";"86,9 ";"S ";"7187 "
"400 ";"20 ";"G 3/4'' ";"48 ";"26,5 ";"65,0 ";"44,5 ";"16 ";"32 ";"27 ";"36 ";"EVT-S-20-G 3/4'' ";"117,65 ";"S ";"7188 "
"400 ";"25 ";"G 1'' ";"54 ";"30,0 ";"73,0 ";"50,0 ";"18 ";"41 ";"36 ";"46 ";"EVT-S-25-G 1'' ";"184,02 ";"S ";"7189 "
"400 ";"30 ";"G 1 1/4'' ";"62 ";"35,5 ";"78,5 ";"55,0 ";"20 ";"50 ";"41 ";"50 ";"EVT-S-30-G 1 1/4'' ";"237,32 ";"S ";"7190 "
"250 ";"38 ";"G 1 1/2'' ";"72 ";"41,0 ";"89,0 ";"63,0 ";"22 ";"55 ";"50 ";"60 ";"EVT-S-38-G 1 1/2'' ";"356,78 ";"S ";"7191 "
