"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"M 12 x 1,5 ";"6 ";"18,7 ";"3,0 ";"14 ";"DKL-M 12x1,5-DN 05 ";"13 ";"L ";"240 "
"06 ";"1/4'' ";"M 12 x 1,5 ";"6 ";"20,0 ";"4,0 ";"14 ";"DKL-M 12x1,5-DN 06 ";"11,9 ";"L ";"241 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"8 ";"21,0 ";"4,0 ";"17 ";"DKL-M 14x1,5-DN 06 ";"11,9 ";"L ";"242 "
"08 ";"5/16'' ";"M 14 x 1,5 ";"8 ";"21,0 ";"5,5 ";"17 ";"DKL-M 14x1,5-DN 08 ";"13,9 ";"L ";"243 "
"06 ";"1/4'' ";"M 16 x 1,5 ";"10 ";"21,5 ";"4,0 ";"19 ";"DKL-M 16x1,5-DN 06 ";"13,9 ";"L ";"244 "
"08 ";"5/16'' ";"M 16 x 1,5 ";"10 ";"22,0 ";"5,5 ";"19 ";"DKL-M 16x1,5-DN 08 ";"11,9 ";"L ";"245 "
"10 ";"3/8'' ";"M 16 x 1,5 ";"10 ";"23,5 ";"7,0 ";"19 ";"DKL-M 16x1,5-DN 10 ";"13,9 ";"L ";"246 "
"06 ";"1/4'' ";"M 18 x 1,5 ";"12 ";"";"4,0 ";"22 ";"DKL-M 18x1,5-DN 06 ";"";"L ";"247 "
"08 ";"5/16'' ";"M 18 x 1,5 ";"12 ";"22,5 ";"5,5 ";"22 ";"DKL-M 18x1,5-DN 08 ";"13,9 ";"L ";"248 "
"10 ";"3/8'' ";"M 18 x 1,5 ";"12 ";"23,0 ";"7,0 ";"22 ";"DKL-M 18x1,5-DN 10 ";"11,9 ";"L ";"249 "
"10 ";"3/8'' ";"M 22 x 1,5 ";"15 ";"23,5 ";"7,0 ";"27 ";"DKL-M 22x1,5-DN 10 ";"13,9 ";"L ";"250 "
"12 ";"1/2'' ";"M 22 x 1,5 ";"15 ";"23,5 ";"9,5 ";"27 ";"DKL-M 22x1,5-DN 12 ";"12,3 ";"L ";"251 "
"16 ";"5/8'' ";"M 26 x 1,5 ";"18 ";"25,5 ";"12,5 ";"32 ";"DKL-M 26x1,5-DN 16 ";"14,8 ";"L ";"252 "
"19 ";"3/4'' ";"M 30 x 2 ";"22 ";"29,0 ";"14,5 ";"36 ";"DKL-M 30x2-DN 19 ";"17,4 ";"L ";"253 "
"25 ";"1'' ";"M 36 x 2 ";"28 ";"31,0 ";"20,0 ";"41 ";"DKL-M 36x2-DN 25 ";"25 ";"L ";"254 "
"31 ";"1 1/4'' ";"M 45 x 2 ";"35 ";"33,0 ";"25,5 ";"50 ";"DKL-M 45x2-DN 31 ";"51 ";"L ";"255 "
"38 ";"1 1/2'' ";"M 52 x 2 ";"42 ";"33,0 ";"31,5 ";"60 ";"DKL-M 52x2-DN 38 ";"58,5 ";"L ";"256 "
"19 ";"3/4'' ";"M 30 x 1,5* ";"";"29,0 ";"14,5 ";"36 ";"DKLL-M 30x1,5-DN 19 ";"18 ";"LL ";"257 "
"25 ";"1'' ";"M 38 x 1,5* ";"";"31,0 ";"20,0 ";"46 ";"DKLL-M 38x1,5-DN 25 ";"26,1 ";"LL ";"258 "
"31 ";"1 1/4'' ";"M 45 x 1,5* ";"";"33,0 ";"25,5 ";"55 ";"DKLL-M 45x1,5-DN 31 ";"51 ";"LL ";"259 "
"38 ";"1 1/2'' ";"M 52 x 1,5* ";"";"33,0 ";"31,5 ";"60 ";"DKLL-M 52x1,5-DN 38 ";"58,5 ";"LL ";"260 "
"51 ";"2'' ";"M 65 x 2* ";"";"37,5 ";"43,0 ";"75 ";"DKLL-M 65x2-DN 51 ";"103,9 ";"LL ";"261 "
"60 ";"2 3/8'' ";"M 78 x 2* ";"";"32,0 ";"51,0 ";"90 ";"DKLL-M 78x2-DN 60 ";"200 ";"LL ";"262 "
"80 ";"3'' ";"M 100 x 2* ";"";"52,5 ";"73,0 ";"110 ";"DKLL-M 100x2-DN 80 ";"498 ";"LL ";"263 "
